[locus_tag=SynWH7803_0001],[protein_id=CAK22427.1],[gene=dnaN],[protein=DNA polymerase III beta subunit],[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=7.58933E-157]
[locus_tag=SynWH7803_0594],[protein_id=CAK23020.1],[gene=murE],"[protein=UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase]",[locus_tag=PMM0413],[protein_id=CAE18872.1],[gene=murE],[protein=UDP-N-acetylmuramyl-tripeptide synthetase],[evalue=1.73446E-159],[locus_tag=PMM1364],[protein_id=CAE19823.1],[gene=murD],[protein=UDP-N-acetylmuramoylalanine--D-glutamate ligase],[evalue=5.68586E-16]
[locus_tag=SynWH7803_0596],[protein_id=CAK23022.1],[gene=None],[protein=L-cysteine/cystine lyase],[locus_tag=PMM0415],[protein_id=CAE18874.1],[gene=None],[protein=putative L-cysteine/cystine lyase],[evalue=1.40560E-127],[locus_tag=PMM0070],[protein_id=CAE18529.1],[gene=None],[protein=putative cysteine desulfurase or selenocysteine lyase],[evalue=6.76351E-13]
[locus_tag=SynWH7803_0599],[protein_id=CAK23025.1],[gene=None],"[protein=Possible ABC transporter, substrate binding protein]",[locus_tag=PMM0970],[protein_id=CAE19429.1],[gene=urtA],"[protein=putative urea ABC transporter, substrate binding protein]",[evalue=1.41937E-126]
[locus_tag=SynWH7803_0601],[protein_id=CAK23027.1],[gene=None],[protein=NifU-like protein],[locus_tag=PMM0418],[protein_id=CAE18877.1],[gene=None],[protein=NifU-like protein],[evalue=5.05282E-49]
[locus_tag=SynWH7803_0602],[protein_id=CAK23028.1],[gene=mqoA],[protein=Malate:quinone oxidoreductase],[locus_tag=PMM0419],[protein_id=CAE18878.1],[gene=mqo],[protein=putative malate/quinone oxidoreductase],[evalue=1.06837E-162]
[locus_tag=SynWH7803_0603],[protein_id=CAK23029.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM0308],[protein_id=CAE18767.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.48445E-85]
[locus_tag=SynWH7803_0605],[protein_id=CAK23031.1],[gene=ppa],[protein=Inorganic pyrophosphatase],[locus_tag=PMM0494],[protein_id=CAE18953.1],[gene=ppa (ipyR)],[protein=putative inorganic pyrophosphatase],[evalue=5.62874E-123],[locus_tag=PMM0511],[protein_id=CAE18970.1],[gene=ppa (ipyR)],[protein=Inorganic pyrophosphatase],[evalue=9.74945E-25]
[locus_tag=SynWH7803_0609],[protein_id=CAK23035.1],[gene=hemC],[protein=Porphobilinogen deaminase],[locus_tag=PMM0495],[protein_id=CAE18954.1],[gene=hemC],[protein=Porphobilinogen deaminase],[evalue=1.22273E-167]
[locus_tag=SynWH7803_0611],[protein_id=CAK23037.1],[gene=rpoD],"[protein=RNA polymerase sigma factor RpoD, sigma-70 family]",[locus_tag=PMM0496],[protein_id=CAE18955.1],"[gene=sigA, rpoD]",[protein=Putative principal RNA polymerase sigma factor],[evalue=0.00000E+00],[locus_tag=PMM1289],[protein_id=CAE19748.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=4.19040E-86],[locus_tag=PMM1629],[protein_id=CAE20088.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=6.78618E-81]
[locus_tag=SynWH7803_0612],[protein_id=CAK23038.1],[gene=priA],[protein=Primosomal protein N' (replication factor Y)],[locus_tag=PMM0497],[protein_id=CAE18956.1],[gene=priA],[protein=primosomal protein N' (replication factor Y)],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0613],[protein_id=CAK23039.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM0498],[protein_id=CAE18957.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.82336E-37]
[locus_tag=SynWH7803_0614],[protein_id=CAK23040.1],[gene=argB],[protein=Acetylglutamate kinase],[locus_tag=PMM0499],[protein_id=CAE18958.1],[gene=argB],[protein=Aspartokinase superfamily:Acetylglutamate kinase],[evalue=1.07815E-147]
[locus_tag=SynWH7803_0615],[protein_id=CAK23041.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM0500],[protein_id=CAE18959.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.59553E-57]
[locus_tag=SynWH7803_0616],[protein_id=CAK23042.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0501],[protein_id=CAE18960.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.07567E-12]
[locus_tag=SynWH7803_0617],[protein_id=CAK23043.1],[gene=None],[protein=Single-stranded DNA-binding protein],[locus_tag=PMM0502],[protein_id=CAE18961.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.18335E-47]
[locus_tag=SynWH7803_0618],[protein_id=CAK23044.1],[gene=cobK],[protein=Precorrin-6x reductase],[locus_tag=PMM0503],[protein_id=CAE18962.1],[gene=None],[protein=possible precorrin-6X reductase],[evalue=2.77878E-42]
[locus_tag=SynWH7803_0619],[protein_id=CAK23045.1],[gene=None],"[protein=Sugar kinase, ribokinase family]",[locus_tag=PMM0505],[protein_id=CAE18964.1],[gene=None],[protein=Possible carbohydrate kinase],[evalue=2.77671E-122]
[locus_tag=SynWH7803_0620],[protein_id=CAK23046.1],[gene=purA],[protein=Adenylosuccinate synthase],[locus_tag=PMM0506],[protein_id=CAE18965.1],"[gene=purA,adeK]",[protein=Adenylosuccinate synthetase],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0621],[protein_id=CAK23047.1],[gene=psb27],[protein=Photosystem II protein Psb27],[locus_tag=PMM0507],[protein_id=CAE18966.1],[gene=psb27],[protein=possible Photosystem II reaction center Psb27 protein],[evalue=2.34453E-33]
[locus_tag=SynWH7803_0622],[protein_id=CAK23048.1],[gene=proS],[protein=Prolyl-tRNA synthetase],[locus_tag=PMM0508],[protein_id=CAE18967.1],[gene=proS],[protein=Prolyl-tRNA synthetase],[evalue=0.00000E+00],[locus_tag=PMM0597],[protein_id=CAE19056.1],[gene=thrS],[protein=Threonyl-tRNA synthetase],[evalue=4.66477E-11]
[locus_tag=SynWH7803_0623],[protein_id=CAK23049.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0509],[protein_id=CAE18968.1],[gene=None],[protein=possible Helix-turn-helix domain of resolvase],[evalue=8.60547E-59]
[locus_tag=SynWH7803_0624],[protein_id=CAK23050.1],[gene=ppa],[protein=Inorganic pyrophosphatase],[locus_tag=PMM0511],[protein_id=CAE18970.1],[gene=ppa (ipyR)],[protein=Inorganic pyrophosphatase],[evalue=7.89787E-93],[locus_tag=PMM0494],[protein_id=CAE18953.1],[gene=ppa (ipyR)],[protein=putative inorganic pyrophosphatase],[evalue=2.21157E-29]
[locus_tag=SynWH7803_0625],[protein_id=CAK23051.1],[gene=None],[protein=Ferredoxin],[locus_tag=PMM0316],[protein_id=CAE18775.1],[gene=None],[protein=possible ferredoxin],[evalue=1.12584E-23]
[locus_tag=SynWH7803_0626],[protein_id=CAK23052.1],[gene=None],[protein=Arsenate reductase related protein (arsC family)],[locus_tag=PMM0512],[protein_id=CAE18971.1],[gene=None],[protein=putative arsenate reductase],[evalue=1.13784E-20]
[locus_tag=SynWH7803_0628],[protein_id=CAK23054.1],[gene=lepB],[protein=Signal peptidase I],[locus_tag=PMM0513],[protein_id=CAE18972.1],[gene=lepB],[protein=Signal peptidase I],[evalue=1.96557E-71],[locus_tag=PMM0606],[protein_id=CAE19065.1],[gene=lepB],[protein=leader peptidase I],[evalue=2.43419E-28]
[locus_tag=SynWH7803_0629],[protein_id=CAK23055.1],[gene=pyrC],[protein=Dihydroorotase],[locus_tag=PMM0514],[protein_id=CAE18973.1],[gene=None],[protein=putative dihydroorotase],[evalue=1.01085E-85]
[locus_tag=SynWH7803_0630],[protein_id=CAK23056.1],[gene=gmpB],[protein=Probable phosphoglycerate mutase],[locus_tag=PMM0515],[protein_id=CAE18974.1],[gene=cobC],[protein=possible alpha-ribazole-5'-P phosphatase],[evalue=1.91590E-159]
[locus_tag=SynWH7803_0631],[protein_id=CAK23057.1],[gene=None],[protein=Predicted metal-dependent membrane protease],[locus_tag=PMM0516],[protein_id=CAE18975.1],[gene=None],[protein=Possible membrane associated protease],[evalue=8.81443E-93]
[locus_tag=SynWH7803_0633],[protein_id=CAK23059.1],[gene=ftsI],[protein=Possible peptidoglycan synthetase],[locus_tag=PMM0518],[protein_id=CAE18977.1],[gene=ftsI],[protein=putative peptidoglycan synthetase (pbp transpeptidase domain)],[evalue=0.00000E+00],[locus_tag=PMM0040],[protein_id=CAE18499.1],[gene=None],[protein=Putative penicillin-binding protein],[evalue=1.14079E-23]
[locus_tag=SynWH7803_0634],[protein_id=CAK23060.1],[gene=tal],[protein=Transaldolase],[locus_tag=PMM0519],[protein_id=CAE18978.1],[gene=tal],[protein=Transaldolase],[evalue=7.43634E-151]
[locus_tag=SynWH7803_0636],[protein_id=CAK23062.1],[gene=phr],[protein=Deoxyribodipyrimidine photolyase],[locus_tag=PMM0285],[protein_id=CAE18744.1],[gene=phr],[protein=putative DNA photolyase],[evalue=2.98037E-24]
[locus_tag=SynWH7803_0637],[protein_id=CAK23063.1],[gene=None],[protein=Dehydrogenase],[locus_tag=PMM0520],[protein_id=CAE18979.1],[gene=None],[protein=NAD binding site],[evalue=3.21643E-124]
[locus_tag=SynWH7803_0638],[protein_id=CAK23064.1],[gene=frr],[protein=Ribosome recycling factor],[locus_tag=PMM0521],[protein_id=CAE18980.1],"[gene=frr,rrf]",[protein=Ribosome recycling factor],[evalue=3.88290E-100]
[locus_tag=SynWH7803_0639],[protein_id=CAK23065.1],[gene=pyrH],[protein=Uridylate kinase],[locus_tag=PMM0522],[protein_id=CAE18981.1],"[gene=pyrH,smbA]",[protein=uridylate kinase],[evalue=2.27286E-142]
[locus_tag=SynWH7803_0641],[protein_id=CAK23067.1],[gene=cobO],[protein=Cob(I)alamin adenosyltransferase],[locus_tag=PMM0523],[protein_id=CAE18982.1],[gene=cobO],[protein=possible cob(I)alamin adenosyltransferase],[evalue=8.80605E-93],[locus_tag=PMM1570],[protein_id=CAE20029.1],[gene=None],[protein=ATP:corrinoid adenosyltransferase BtuR/CobO/CobP],[evalue=3.37376E-20],[locus_tag=PMM1570],[protein_id=CAE20029.1],[gene=None],[protein=ATP:corrinoid adenosyltransferase BtuR/CobO/CobP],[evalue=6.32887E-20]
[locus_tag=SynWH7803_0643],[protein_id=CAK23069.1],[gene=None],[protein=Phage integrase family protein],[locus_tag=PMM0524],[protein_id=CAE18983.1],[gene=None],[protein=Phage integrase family],[evalue=2.63668E-153]
[locus_tag=SynWH7803_0644],[protein_id=CAK23070.1],[gene=hemH],[protein=HLIP-like domain-containing ferrochelatase],[locus_tag=PMM0525],[protein_id=CAE18984.1],[gene=None],[protein=Ferrochelatase],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0645],[protein_id=CAK23071.1],[gene=ilvB],[protein=Acetolactate synthase large subunit],[locus_tag=PMM0526],[protein_id=CAE18985.1],[gene=ilvH],[protein=Acetolactate synthase large subunit],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0646],[protein_id=CAK23072.1],[gene=None],[protein=Possible staphylococcus nuclease homologue (SNase-like)],[locus_tag=PMM0527],[protein_id=CAE18986.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.25849E-24]
[locus_tag=SynWH7803_0650],[protein_id=CAK23076.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0528],[protein_id=CAE18987.1],[gene=None],[protein=DUF152],[evalue=2.35348E-37]
[locus_tag=SynWH7803_0651],[protein_id=CAK23077.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0529],[protein_id=CAE18988.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.15188E-99]
[locus_tag=SynWH7803_0652],[protein_id=CAK23078.1],[gene=rpsA],[protein=30S ribosomal protein S1],[locus_tag=PMM0530],[protein_id=CAE18989.1],"[gene=rps1b, rpsA2, nbp1]","[protein=30S ribosomal protein S1 homolog B, putative Nbp1]",[evalue=4.94804E-149],[locus_tag=PMM0312],[protein_id=CAE18771.1],"[gene=rps1a, rpsA1]","[protein=30S ribosomal protein S1, homolog A]",[evalue=1.60965E-63]
[locus_tag=SynWH7803_0653],[protein_id=CAK23079.1],[gene=None],[protein=Creatininase],[locus_tag=PMM0531],[protein_id=CAE18990.1],[gene=None],[protein=Creatininase],[evalue=1.00370E-108]
[locus_tag=SynWH7803_0654],[protein_id=CAK23080.1],[gene=None],"[protein=Ferritin-like, diiron-carboxylate protein]",[locus_tag=PMM0532],[protein_id=CAE18991.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.94501E-125]
[locus_tag=SynWH7803_0655],[protein_id=CAK23081.1],[gene=None],[protein=Predicted dehydrogenase],[locus_tag=PMM0533],[protein_id=CAE18992.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0656],[protein_id=CAK23082.1],[gene=accA],[protein=Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha],[locus_tag=PMM0534],[protein_id=CAE18993.1],[gene=accA],"[protein=acetyl-CoA carboxylase, alpha subunit]",[evalue=3.94614E-168]
[locus_tag=SynWH7803_0657],[protein_id=CAK23083.1],[gene=None],[protein=Possible short chain dehydrogenase],[locus_tag=PMM0535],[protein_id=CAE18994.1],[gene=None],[protein=putative short-chain dehydrogenase],[evalue=2.79051E-93],[locus_tag=PMM0453],[protein_id=CAE18912.1],[gene=fabG],[protein=3-oxoacyl-[acyl-carrier protein],[evalue=1.81249E-20]
[locus_tag=SynWH7803_0658],[protein_id=CAK23084.1],[gene=folE],[protein=GTP cyclohydrolase I],[locus_tag=PMM0536],[protein_id=CAE18995.1],[gene=folE],[protein=putative GTP cyclohydrolase I],[evalue=3.31569E-140]
[locus_tag=SynWH7803_0660],[protein_id=CAK23086.1],[gene=trpF],[protein=Phosphoribosylanthranilate isomerase],[locus_tag=PMM0537],[protein_id=CAE18996.1],[gene=trpF],[protein=phosphoribosylanthranilate isomerase],[evalue=6.84171E-54]
[locus_tag=SynWH7803_0661],[protein_id=CAK23087.1],[gene=None],[protein=Zn-dependent membrane associated protease],[locus_tag=PMM0538],[protein_id=CAE18997.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.26164E-74]
[locus_tag=SynWH7803_0662],[protein_id=CAK23088.1],[gene=lplA],[protein=Lipoate-protein ligase A],[locus_tag=PMM0539],[protein_id=CAE18998.1],[gene=None],[protein=Biotin/lipoate A/B protein ligase family],[evalue=1.56502E-52]
[locus_tag=SynWH7803_0668],[protein_id=CAK23094.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0541],[protein_id=CAE19000.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.19333E-18]
[locus_tag=SynWH7803_0669],[protein_id=CAK23095.1],[gene=por],[protein=Light dependent protochlorophyllide oxido-reductase],[locus_tag=PMM0542],[protein_id=CAE19001.1],"[gene=por, pcr]",[protein=Light dependent protochlorophyllide oxido-reductase],[evalue=9.69043E-121],[locus_tag=PMM0634],[protein_id=CAE19093.1],"[gene=por, pcr]",[protein=possible light-dependent protochlorophyllide oxido-reductase],[evalue=5.61243E-32]
[locus_tag=SynWH7803_0670],[protein_id=CAK23096.1],"[gene=chlL, frxC]",[protein=Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein],[locus_tag=PMM0543],[protein_id=CAE19002.1],"[gene=chlL,frxC]",[protein=Protochlorophyllide reductase iron-sulfur ATP-binding protein],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0671],[protein_id=CAK23097.1],[gene=chlB],[protein=Light-independent protochlorophyllide reductase subunit B],[locus_tag=PMM0544],[protein_id=CAE19003.1],[gene=chlB],[protein=Light-independent protochlorophyllide reductase subunit B],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0672],[protein_id=CAK23098.1],[gene=chlN],[protein=Light-independent protochlorophyllide reductase subunit N],[locus_tag=PMM0545],[protein_id=CAE19004.1],[gene=chlN],[protein=Light-independent protochlorophyllide reductase subunit N],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0674],[protein_id=CAK23100.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0546],[protein_id=CAE19005.1],[gene=None],[protein=conserved hypothetical],[evalue=2.94855E-30]
[locus_tag=SynWH7803_0675],[protein_id=CAK23101.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0547],[protein_id=CAE19006.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.52548E-142]
[locus_tag=SynWH7803_0676],[protein_id=CAK23102.1],[gene=None],[protein=Xanthosine triphosphate pyrophosphatase],[locus_tag=PMM0548],[protein_id=CAE19007.1],[gene=None],[protein=HAM1 family protein],[evalue=3.80379E-79],[locus_tag=PMM0279],[protein_id=CAE18738.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.24059E-37]
[locus_tag=SynWH7803_0677],[protein_id=CAK23103.1],[gene=csoS1/ccmK1],[protein=Carboxysome shell peptide],[locus_tag=PMM0549],[protein_id=CAE19008.1],[gene=csoS1],[protein=carboxysome shell protein CsoS1],[evalue=6.98133E-66]
[locus_tag=SynWH7803_0678],[protein_id=CAK23104.1],"[gene=rbcL, cbbL]",[protein=Ribulose bisphosphate carboxylase large subunit],[locus_tag=PMM0550],[protein_id=CAE19009.1],"[gene=rbcL, cbbL]","[protein=Ribulose bisphosphate carboxylase, large chain]",[evalue=0.00000E+00]
[locus_tag=SynWH7803_0679],[protein_id=CAK23105.1],"[gene=rbcS, cbbS]",[protein=Ribulose bisphosphate carboxylase small subunit],[locus_tag=PMM0551],[protein_id=CAE19010.1],"[gene=rbcS, cbbS]","[protein=Ribulose bisphosphate carboxylase, small chain]",[evalue=3.07325E-78]
[locus_tag=SynWH7803_0680],[protein_id=CAK23106.1],[gene=csoS2],"[protein=Carboxysome shell polypeptide, CsoS2]",[locus_tag=PMM0552],[protein_id=CAE19011.1],[gene=csoS2],[protein=carboxysome shell protein CsoS2],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0681],[protein_id=CAK23107.1],[gene=csoS3],"[protein=Carboxysome shell polypeptide, CsoS3]",[locus_tag=PMM0553],[protein_id=CAE19012.1],[gene=csoS3],[protein=carboxysome shell protein CsoS3],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0682],[protein_id=CAK23108.1],[gene=None],[protein=Carboxysome peptide A],[locus_tag=PMM0554],[protein_id=CAE19013.1],[gene=None],[protein=putative carboxysome peptide A],[evalue=1.03930E-51],[locus_tag=PMM0555],[protein_id=CAE19014.1],[gene=None],[protein=putative carboxysome peptide B],[evalue=4.87026E-17]
[locus_tag=SynWH7803_0683],[protein_id=CAK23109.1],[gene=None],[protein=Carboxysome peptide B],[locus_tag=PMM0555],[protein_id=CAE19014.1],[gene=None],[protein=putative carboxysome peptide B],[evalue=8.96502E-39],[locus_tag=PMM0554],[protein_id=CAE19013.1],[gene=None],[protein=putative carboxysome peptide A],[evalue=3.33300E-19]
[locus_tag=SynWH7803_0684],[protein_id=CAK23110.1],[gene=csoS1/ccmK2],"[protein=Carboxysome shell peptide, CsoS1]",[locus_tag=PMM0549],[protein_id=CAE19008.1],[gene=csoS1],[protein=carboxysome shell protein CsoS1],[evalue=1.54719E-54]
[locus_tag=SynWH7803_0685],[protein_id=CAK23111.1],[gene=ndhF],[protein=NAD(P)H-quinone oxidoreductase chain 5],[locus_tag=PMM0149],[protein_id=CAE18608.1],[gene=ndhF],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 5)],[evalue=2.59285E-57],[locus_tag=PMM0594],[protein_id=CAE19053.1],[gene=ndhD],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 4)],[evalue=1.31074E-12]
[locus_tag=SynWH7803_0686],[protein_id=CAK23112.1],[gene=ndhD],[protein=NAD(P)H-quinone oxidoreductase chain 4],[locus_tag=PMM0594],[protein_id=CAE19053.1],[gene=ndhD],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 4)],[evalue=6.60371E-103],[locus_tag=PMM0150],[protein_id=CAE18609.1],[gene=ndhD],[protein=putative NADH dehydrogenase subunit (chain 4)],[evalue=3.67272E-88],[locus_tag=PMM0149],[protein_id=CAE18608.1],[gene=ndhF],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 5)],[evalue=2.69923E-28]
[locus_tag=SynWH7803_0688],[protein_id=CAK23114.1],[gene=None],[protein=Pterin-4 alpha-carbinolamine dehydratase-like protein],[locus_tag=PMM0556],[protein_id=CAE19015.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.58379E-12]
[locus_tag=SynWH7803_0690],[protein_id=CAK23116.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0557],[protein_id=CAE19016.1],[gene=None],[protein=conserved hypothetical],[evalue=1.79294E-38]
[locus_tag=SynWH7803_0692],[protein_id=CAK23118.1],[gene=None],[protein=Putative translation initiation inhibitor],[locus_tag=PMM0558],[protein_id=CAE19017.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.80102E-46]
[locus_tag=SynWH7803_0693],[protein_id=CAK23119.1],[gene=None],"[protein=ABC transporter, ATPase component]",[locus_tag=PMM0803],[protein_id=CAE19262.1],"[gene=futC, sfuC]","[protein=ABC transporter, ATP binding component, possibly iron transporter]",[evalue=9.55604E-117],[locus_tag=PMM0372],[protein_id=CAE18831.1],[gene=None],[protein=putative cyanate ABC transporter],[evalue=1.16787E-43],[locus_tag=PMM0750],[protein_id=CAE19209.1],[gene=None],"[protein=ABC transporter, ATP-binding component]",[evalue=2.31266E-30]
[locus_tag=SynWH7803_0694],[protein_id=CAK23120.1],[gene=gloB],[protein=Hydroxyacylglutathione hydrolase],[locus_tag=PMM0559],[protein_id=CAE19018.1],[gene=None],[protein=Putative hydroxyacylglutathione hydrolase],[evalue=3.47732E-84]
[locus_tag=SynWH7803_0695],[protein_id=CAK23121.1],[gene=hisG],[protein=ATP phosphoribosyltransferase],[locus_tag=PMM0560],[protein_id=CAE19019.1],[gene=None],[protein=possible ATP phosphoribosyltransferase],[evalue=2.73381E-101]
[locus_tag=SynWH7803_0696],[protein_id=CAK23122.1],[gene=None],[protein=ABC-type multidrug transport system ATPase and permease components],[locus_tag=PMM0561],[protein_id=CAE19020.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=0.00000E+00],[locus_tag=PMM0827],[protein_id=CAE19286.1],[gene=None],"[protein=ABC transporter, possibly multidrug efflux]",[evalue=4.12116E-77],[locus_tag=PMM1099],[protein_id=CAE19558.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[evalue=1.39255E-72]
[locus_tag=SynWH7803_0698],[protein_id=CAK23124.1],[gene=None],[protein=Possible acetyltransferase],[locus_tag=PMM0562],[protein_id=CAE19021.1],[gene=None],[protein=possible acetyltransferase],[evalue=4.07068E-71]
[locus_tag=SynWH7803_0699],[protein_id=CAK23125.1],[gene=None],[protein=Glycosyltransferase of family GT2],[locus_tag=PMM0563],[protein_id=CAE19022.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.68071E-64]
[locus_tag=SynWH7803_0700],[protein_id=CAK23126.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0564],[protein_id=CAE19023.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.46003E-39]
[locus_tag=SynWH7803_0701],[protein_id=CAK23127.1],[gene=None],[protein=Serine protease],[locus_tag=PMM1490],[protein_id=CAE19949.1],[gene=None],[protein=Serine protease],[evalue=5.92397E-92],[locus_tag=PMM0090],[protein_id=CAE18549.1],[gene=None],[protein=possible serine protease],[evalue=2.72668E-70],[locus_tag=PMM1425],[protein_id=CAE19884.1],[gene=None],"[protein=Serine proteases, trypsin family:HtrA/DegQ protease family]",[evalue=4.47676E-28]
[locus_tag=SynWH7803_0702],[protein_id=CAK23128.1],[gene=dnaA],[protein=Chromosomal replication initiator protein dnaA],[locus_tag=PMM0565],[protein_id=CAE19024.1],[gene=dnaA],[protein=chromosomal replication initiator protein DnaA],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0706],[protein_id=CAK23132.1],[gene=gor],[protein=Glutathione reductase],[locus_tag=PMM0567],[protein_id=CAE19026.1],[gene=gshR],[protein=probable glutathione reductase (NADPH)],[evalue=8.59564E-141],[locus_tag=PMM1298],[protein_id=CAE19757.1],[gene=lpdA],[protein=putative dihydrolipoamide dehydrogenase],[evalue=1.17367E-61]
[locus_tag=SynWH7803_0713],[protein_id=CAK23139.1],"[gene=ctaE, coxC]",[protein=Cytochrome c oxidase subunit III],[locus_tag=PMM0444],[protein_id=CAE18903.1],[gene=ctaE],"[protein=Cytochrome c oxidase, subunit III]",[evalue=2.03594E-34]
[locus_tag=SynWH7803_0714],[protein_id=CAK23140.1],"[gene=ctaD, coxA]",[protein=Cytochrome c oxidase subunit I],[locus_tag=PMM0445],[protein_id=CAE18904.1],[gene=ctaD (coxA)],"[protein=Cytochrome c oxidase, subunit I]",[evalue=0.00000E+00]
[locus_tag=SynWH7803_0715],[protein_id=CAK23141.1],"[gene=ctaC, coxB]",[protein=Cytochrome c oxidase subunit II],[locus_tag=PMM0446],[protein_id=CAE18905.1],[gene=ctaC (coxB)],"[protein=putative cytochrome c oxidase, subunit 2]",[evalue=3.17272E-32]
[locus_tag=SynWH7803_0718],[protein_id=CAK23144.1],[gene=None],[protein=Ca2+/Na+ antiporter],[locus_tag=PMM0568],[protein_id=CAE19027.1],[gene=None],[protein=putative CaCA family sodium/calcium exchanger],[evalue=7.13364E-132]
[locus_tag=SynWH7803_0719],[protein_id=CAK23145.1],[gene=None],"[protein=Sulfate permease, MFS superfamily]",[locus_tag=PMM0214],[protein_id=CAE18673.1],[gene=None],[protein=putative sulfate transporter],[evalue=5.58072E-158],[locus_tag=PMM0644],[protein_id=CAE19103.1],[gene=None],[protein=putative sulfate transporter],[evalue=7.30880E-36]
[locus_tag=SynWH7803_0720],[protein_id=CAK23146.1],[gene=pyrC],[protein=Dihydroorotase],[locus_tag=PMM0569],[protein_id=CAE19028.1],[gene=pyrC],[protein=Dihydroorotase],[evalue=6.21774E-140]
[locus_tag=SynWH7803_0725],[protein_id=CAK23151.1],[gene=gdh],[protein=Glucose 1-dehydrogenase],[locus_tag=PMM0453],[protein_id=CAE18912.1],[gene=fabG],[protein=3-oxoacyl-[acyl-carrier protein],[evalue=1.12206E-53],[locus_tag=PMM0535],[protein_id=CAE18994.1],[gene=None],[protein=putative short-chain dehydrogenase],[evalue=8.07769E-18]
[locus_tag=SynWH7803_0730],[protein_id=CAK23156.1],[gene=ictA],"[protein=Inorganic carbon transport protein, IctA]",[locus_tag=PMM0570],[protein_id=CAE19029.1],[gene=ndhL],[protein=NADH dehydrogenase subunit NdhL (ndhL)],[evalue=1.60087E-27]
[locus_tag=SynWH7803_0731],[protein_id=CAK23157.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM0571],[protein_id=CAE19030.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.04469E-21]
[locus_tag=SynWH7803_0732],[protein_id=CAK23158.1],[gene=trpA],[protein=Tryptophan synthase alpha chain],[locus_tag=PMM0572],[protein_id=CAE19031.1],[gene=trpA],[protein=Tryptophan synthase alpha chain],[evalue=1.25151E-112]
[locus_tag=SynWH7803_0733],[protein_id=CAK23159.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0573],[protein_id=CAE19032.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.53297E-50],[locus_tag=PMM0443],[protein_id=CAE18902.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.86225E-22]
