[locus_tag=SynWH8103_00001],[protein_id=CRY90759.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=3.93831E-159]
[locus_tag=SynWH8103_00503],[protein_id=CRY91248.1],[gene=None],[protein=Predicted oxidoreductase],[locus_tag=PMM0273],[protein_id=CAE18732.1],[gene=None],[protein=probable oxidoreductase],[evalue=3.26557E-07]
[locus_tag=SynWH8103_00504],[protein_id=CRY91249.1],[gene=None],[protein=ABC transporter family protein],[locus_tag=PMM1239],[protein_id=CAE19698.1],[gene=hetA],[protein=ABC transporter],[evalue=6.38133E-115],[locus_tag=PMM1099],[protein_id=CAE19558.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[evalue=1.46021E-43],[locus_tag=PMM0561],[protein_id=CAE19020.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=6.47451E-38]
[locus_tag=SynWH8103_00505],[protein_id=CRY91250.1],[gene=rfbF],[protein=glucose-1-phosphate cytidylyltransferase],[locus_tag=PMM1204],[protein_id=CAE19663.1],"[gene=ddhA, rfbF]",[protein=glucose-1-phosphate cytidylyltransferase],[evalue=3.82772E-115],[locus_tag=PMM0152],[protein_id=CAE18611.1],[gene=None],[protein=Putative sugar-phosphate nucleotidyl transferase],[evalue=8.55666E-14]
[locus_tag=SynWH8103_00506],[protein_id=CRY91251.1],[gene=rfbG],"[protein=CDP-glucose 4,6-dehydratase]",[locus_tag=PMM1203],[protein_id=CAE19662.1],[gene=rfbG],"[protein=CDP-glucose 4,6-dehydratase]",[evalue=8.11932E-127],[locus_tag=PMM1201],[protein_id=CAE19660.1],[gene=None],[protein=Putative CDP-tyvelose-2-epimerase (RfbE)],[evalue=8.21854E-09],[locus_tag=PMM1209],[protein_id=CAE19668.1],[gene=galE],[protein=UDP-glucose-4-epimerase],[evalue=3.63596E-08]
[locus_tag=SynWH8103_00507],[protein_id=CRY91252.1],[gene=None],[protein=degT/DnrJ/EryC1/StrS aminotransferase family protein],[locus_tag=PMM1205],[protein_id=CAE19664.1],[gene=None],"[protein=NDP-hexose 3,4-dehydratase]",[evalue=1.36640E-45],[locus_tag=PMM0284],[protein_id=CAE18743.1],[gene=degT],[protein=putative pleiotropic regulatory protein],[evalue=2.95838E-18],[locus_tag=PMM1258],[protein_id=CAE19717.1],[gene=None],[protein=pyridoxal-phosphate-dependent aminotransferase],[evalue=4.39134E-13]
[locus_tag=SynWH8103_00508],[protein_id=CRY91253.1],[gene=ilvB2],"[protein=acetolactate synthase, large subunit, biosynthetic type]",[locus_tag=PMM0526],[protein_id=CAE18985.1],[gene=ilvH],[protein=Acetolactate synthase large subunit],[evalue=4.88358E-53]
[locus_tag=SynWH8103_00510],[protein_id=CRY91255.1],[gene=None],[protein=methyltransferase domain protein],[locus_tag=PMM1232],[protein_id=CAE19691.1],[gene=None],[protein=methyltransferase],[evalue=2.13211E-09]
[locus_tag=SynWH8103_00515],[protein_id=CRY91260.1],[gene=None],[protein=NAD dependent epimerase/dehydratase family protein],[locus_tag=PMM1260],[protein_id=CAE19719.1],[gene=None],[protein=Nucleoside-diphosphate-sugar epimerase],[evalue=2.17522E-16]
[locus_tag=SynWH8103_00519],[protein_id=CRY91264.1],[gene=None],[protein=histidine biosynthesis family protein],[locus_tag=PMM0430],[protein_id=CAE18889.1],[gene=hisF],[protein=Imidazole glycerol phosphate synthase subunit HisF (cyclase)],[evalue=1.77344E-07]
[locus_tag=SynWH8103_00526],[protein_id=CRY91271.1],[gene=hisH3],"[protein=imidazole glycerol phosphate synthase, glutamineamidotransferase subunit]",[locus_tag=PMM1060],[protein_id=CAE19519.1],[gene=None],[protein=Glutamine amidotransferase class-I],[evalue=2.25725E-32]
[locus_tag=SynWH8103_00527],[protein_id=CRY91272.1],[gene=None],[protein=histidine biosynthesis family protein],[locus_tag=PMM0430],[protein_id=CAE18889.1],[gene=hisF],[protein=Imidazole glycerol phosphate synthase subunit HisF (cyclase)],[evalue=4.85120E-10],[locus_tag=PMM0796],[protein_id=CAE19255.1],[gene=hisA],[protein=PHOSPHORIBOSYLFORMIMINO-5-AMINOIMIDAZOLE CARBOXAMIDE RIBOTIDE ISOMERASE],[evalue=9.40832E-07]
[locus_tag=SynWH8103_00530],[protein_id=CRY91275.1],[gene=None],[protein=short chain dehydrogenase family protein],[locus_tag=PMM1207],[protein_id=CAE19666.1],[gene=None],[protein=Putative fucose synthetase],[evalue=1.42799E-20],[locus_tag=PMM1260],[protein_id=CAE19719.1],[gene=None],[protein=Nucleoside-diphosphate-sugar epimerase],[evalue=2.45738E-15],[locus_tag=PMM1665],[protein_id=CAE20124.1],[gene=sqdB],[protein=sulfolipid (UDP-sulfoquinovose) biosynthesis protein],[evalue=1.00370E-10]
[locus_tag=SynWH8103_00535],[protein_id=CRY91280.1],[gene=None],[protein=glycosyl transferase 4 family protein],[locus_tag=PMM1709],[protein_id=CAE20168.1],[gene=mraY],[protein=Putative phospho-N-acetylmuramoyl-pentapeptide-transferase],[evalue=9.83418E-14],[locus_tag=PMM1227],[protein_id=CAE19686.1],[gene=None],[protein=putative UDP-N-acetylglucosamine-1-phosphate transferase],[evalue=2.76027E-11]
[locus_tag=SynWH8103_00540],[protein_id=CRY91285.1],[gene=glnB],[protein=PII regulatory protein],[locus_tag=PMM1463],[protein_id=CAE19922.1],[gene=glnB],[protein=Nitrogen regulatory protein P-II],[evalue=2.66033E-56]
[locus_tag=SynWH8103_00541],[protein_id=CRY91286.1],[gene=queF],[protein=7-cyano-7-deazaguanine reductase],[locus_tag=PMM1461],[protein_id=CAE19920.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.19331E-56]
[locus_tag=SynWH8103_00543],[protein_id=CRY91288.1],[gene=None],[protein=resB-like family protein],[locus_tag=PMM1460],[protein_id=CAE19919.1],[gene=ycf44],[protein=putative c-type cytochrome biogenesis protein Ccs1],[evalue=4.77485E-105]
[locus_tag=SynWH8103_00544],[protein_id=CRY91289.1],[gene=None],[protein=cytochrome C biogenesis transmembrane region family protein],[locus_tag=PMM1459],[protein_id=CAE19918.1],[gene=ccdA],[protein=putative c-type cytochrome biogenesis protein CcdA],[evalue=2.40773E-66]
[locus_tag=SynWH8103_00548],[protein_id=CRY91293.1],[gene=ftsW],[protein=cell division protein FtsW],[locus_tag=PMM1458],[protein_id=CAE19917.1],[gene=ftsW],[protein=Cell division protein FtsW],[evalue=5.87603E-146],[locus_tag=PMM1580],[protein_id=CAE20039.1],[gene=rodA],[protein=None],[evalue=5.63970E-28]
[locus_tag=SynWH8103_00560],[protein_id=CRY91303.1],[gene=None],[protein=hemolysin TlyA family protein],[locus_tag=PMM1464],[protein_id=CAE19923.1],[gene=None],[protein=FtsJ cell division protein:S4 domain:Hemolysin A],[evalue=5.68460E-99]
[locus_tag=SynWH8103_00562],[protein_id=CRY91305.1],[gene=apcB],"[protein=allophycocyanin, beta chain]",[locus_tag=PMM0305],[protein_id=CAE18764.1],[gene=cpeB],[protein=Phycobilisome protein],[evalue=1.85317E-13]
[locus_tag=SynWH8103_00563],[protein_id=CRY91306.1],[gene=apcA],"[protein=allophycocyanin, alpha chain]",[locus_tag=PMM0305],[protein_id=CAE18764.1],[gene=cpeB],[protein=Phycobilisome protein],[evalue=2.24083E-09]
[locus_tag=SynWH8103_00566],[protein_id=CRY91309.1],[gene=cpcM],[protein=phycobiliprotein asparagine methyltransferase],[locus_tag=PMM1243],[protein_id=CAE19702.1],[gene=None],[protein=possible methyltransferase],[evalue=2.30495E-12]
[locus_tag=SynWH8103_00567],[protein_id=CRY91310.1],[gene=atp1],[protein=ATP synthase protein I],[locus_tag=PMM1457],[protein_id=CAE19916.1],[gene=atp1],[protein=possible ATP synthase subunit 1],[evalue=3.48577E-24]
[locus_tag=SynWH8103_00568],[protein_id=CRY91311.1],[gene=atpI],[protein=ATP synthase A chain],[locus_tag=PMM1456],[protein_id=CAE19915.1],[gene=atpI],[protein=ATP synthase A subunit],[evalue=2.75775E-127]
[locus_tag=SynWH8103_00569],[protein_id=CRY91312.1],[gene=atpH],[protein=ATP synthase C chain],[locus_tag=PMM1455],[protein_id=CAE19914.1],[gene=None],[protein=H+-transporting ATP synthase c subunit],[evalue=2.53984E-47]
[locus_tag=SynWH8103_00570],[protein_id=CRY91313.1],[gene=atpG],[protein=ATP synthase B'],[locus_tag=PMM1454],[protein_id=CAE19913.1],[gene=atpG],[protein=ATP synthase B/B' CF(0)],[evalue=3.58439E-56]
[locus_tag=SynWH8103_00571],[protein_id=CRY91314.1],[gene=atpF],[protein=ATP synthase subunit B],[locus_tag=PMM1453],[protein_id=CAE19912.1],[gene=atpF],[protein=ATP synthase B/B' CF(0)],[evalue=2.77162E-42]
[locus_tag=SynWH8103_00572],[protein_id=CRY91315.1],[gene=atpD],[protein=ATP synthase delta chain],[locus_tag=PMM1452],[protein_id=CAE19911.1],"[gene=atpH,atpD]","[protein=ATP synthase, delta (OSCP) subunit]",[evalue=2.19155E-62]
[locus_tag=SynWH8103_00573],[protein_id=CRY91316.1],[gene=atpA],[protein=ATP synthase alpha chain],[locus_tag=PMM1451],[protein_id=CAE19910.1],[gene=atpA],[protein=H+-transporting ATP synthase alpha-subunit],[evalue=0.00000E+00],[locus_tag=PMM1438],[protein_id=CAE19897.1],[gene=atpB],[protein=H+-transporting ATP synthase beta subunit],[evalue=3.30708E-20]
[locus_tag=SynWH8103_00574],[protein_id=CRY91317.1],[gene=atpC],[protein=ATP synthase gamma chain],[locus_tag=PMM1450],[protein_id=CAE19909.1],[gene=atpC],[protein=ATP synthase gamma subunit],[evalue=1.66981E-155]
[locus_tag=SynWH8103_00576],[protein_id=CRY91319.1],[gene=petF],[protein=2Fe-2S ferredoxin],[locus_tag=PMM1449],[protein_id=CAE19908.1],[gene=petF],[protein=ferredoxin],[evalue=2.62224E-41],[locus_tag=PMM0898],[protein_id=CAE19357.1],[gene=petF],"[protein=ferredoxin, petF-like protein]",[evalue=6.91782E-23],[locus_tag=PMM1352],[protein_id=CAE19811.1],[gene=petF],[protein=ferredoxin],[evalue=3.83694E-20]
[locus_tag=SynWH8103_00577],[protein_id=CRY91320.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1448],[protein_id=CAE19907.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.31399E-07]
[locus_tag=SynWH8103_00578],[protein_id=CRY91321.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1447],[protein_id=CAE19906.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.30464E-132]
[locus_tag=SynWH8103_00580],[protein_id=CRY91323.1],[gene=ald],[protein=Alanine dehydrogenase],[locus_tag=PMM1147],[protein_id=CAE19606.1],[gene=pntA-1],"[protein=putative nicotinamide nucleotide transhydrogenase, subunit alpha 1 (A1)]",[evalue=5.22011E-29]
[locus_tag=SynWH8103_00581],[protein_id=CRY91324.1],[gene=nadE],[protein=NAD synthetase / Glutamine amidotransferase chain of NAD synthetase],[locus_tag=PMM1446],[protein_id=CAE19905.1],[gene=None],[protein=Carbon-nitrogen hydrolase:NAD+ synthase],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00582],[protein_id=CRY91325.1],[gene=nadD],[protein=nicotinate (nicotinamide) nucleotide adenylyltransferase],[locus_tag=PMM1445],[protein_id=CAE19904.1],[gene=None],[protein=Putative nicotinate-nucleotide adenylyltransferase],[evalue=2.37115E-42]
[locus_tag=SynWH8103_00583],[protein_id=CRY91326.1],[gene=None],[protein=small GTP-binding domain protein],[locus_tag=PMM1444],[protein_id=CAE19903.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.56729E-77],[locus_tag=PMM0916],[protein_id=CAE19375.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.18846E-20],[locus_tag=PMM1281],[protein_id=CAE19740.1],[gene=None],[protein=GTP-binding protein ERA homolog],[evalue=8.60523E-07]
[locus_tag=SynWH8103_00584],[protein_id=CRY91327.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1443],[protein_id=CAE19902.1],[gene=None],[protein=Domain of unknown function DUF21],[evalue=8.96524E-129]
[locus_tag=SynWH8103_00586],[protein_id=CRY91328.1],[gene=None],"[protein=aminopeptidase P, N-terminal domain protein]",[locus_tag=PMM1442],[protein_id=CAE19901.1],[gene=pepP],[protein=putative aminopeptidase P],[evalue=0.00000E+00],[locus_tag=PMM0477],[protein_id=CAE18936.1],[gene=map],[protein=putative methionine aminopeptidase],[evalue=1.89803E-09]
[locus_tag=SynWH8103_00587],[protein_id=CRY91330.1],[gene=None],"[protein=HAD hydrolase, IA, variant 1 family protein]",[locus_tag=PMM1526],[protein_id=CAE19985.1],[gene=hisB],[protein=putative imidazoleglycerol-phosphate dehydratase],[evalue=3.40688E-79]
[locus_tag=SynWH8103_00589],[protein_id=CRY91332.1],[gene=ycf65],[protein=ribosomal protein Ycf65],[locus_tag=PMM1440],[protein_id=CAE19899.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.12110E-75]
[locus_tag=SynWH8103_00590],[protein_id=CRY91333.1],[gene=atpE],[protein=ATP synthase epsilon chain],[locus_tag=PMM1439],[protein_id=CAE19898.1],"[gene=atpC,atpE]","[protein=ATP synthase, Epsilon subunit]",[evalue=3.10317E-56]
[locus_tag=SynWH8103_00591],[protein_id=CRY91334.1],[gene=atpB],[protein=ATP synthase beta chain],[locus_tag=PMM1438],[protein_id=CAE19897.1],[gene=atpB],[protein=H+-transporting ATP synthase beta subunit],[evalue=0.00000E+00],[locus_tag=PMM1451],[protein_id=CAE19910.1],[gene=atpA],[protein=H+-transporting ATP synthase alpha-subunit],[evalue=1.75228E-23]
[locus_tag=SynWH8103_00592],[protein_id=CRY91335.1],[gene=groS],[protein=10 kDa chaperonin (Protein Cpn10) (groES protein)],[locus_tag=PMM1437],[protein_id=CAE19896.1],[gene=groES],[protein=GroES protein (Chaperonin cpn10)],[evalue=9.46984E-64]
[locus_tag=SynWH8103_00593],[protein_id=CRY91336.1],[gene=groL1],[protein=chaperonin GroEL],[locus_tag=PMM1436],[protein_id=CAE19895.1],[gene=groEL],[protein=GroEL protein (Chaperonin cpn60)],[evalue=0.00000E+00],[locus_tag=PMM0452],[protein_id=CAE18911.1],"[gene=groEL2,cpn60-2]",[protein=GroEL2 protein (Chaperonin cpn60 2)],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00597],[protein_id=CRY91340.1],[gene=secG],"[protein=preprotein translocase, SecG subunit]",[locus_tag=PMM1435],[protein_id=CAE19894.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.76879E-31]
[locus_tag=SynWH8103_00598],[protein_id=CRY91341.1],[gene=gpmI],"[protein=2,3-bisphosphoglycerate-independent phosphoglycerate mutase]",[locus_tag=PMM1434],[protein_id=CAE19893.1],[gene=pgmI],"[protein=Phosphoglycerate mutase, co-factor-independent (iPGM)]",[evalue=0.00000E+00]
[locus_tag=SynWH8103_00600],[protein_id=CRY91342.1],[gene=pyrR],[protein=bifunctional protein pyrR],[locus_tag=PMM1433],[protein_id=CAE19892.1],[gene=None],[protein=Phosphoribosyl transferase],[evalue=6.76497E-71]
[locus_tag=SynWH8103_00602],[protein_id=CRY91345.1],[gene=dnaK1],[protein=chaperone protein DnaK],[locus_tag=PMM1432],[protein_id=CAE19891.1],[gene=None],[protein=putative DnaK-type molecular chaperone (HSP70 family)],[evalue=9.71591E-128],[locus_tag=PMM1704],[protein_id=CAE20163.1],[gene=dnaK2],"[protein=Molecular chaperone DnaK2, heat shock protein hsp70-2]",[evalue=1.46714E-17],[locus_tag=PMM0897],[protein_id=CAE19356.1],[gene=dnaK],"[protein=Molecular chaperone DnaK, heat shock protein hsp70]",[evalue=3.80530E-12]
[locus_tag=SynWH8103_00604],[protein_id=CRY91347.1],[gene=None],[protein=RNA polymerase Rpb6 family protein],[locus_tag=PMM1431],[protein_id=CAE19890.1],[gene=rpoZ],[protein=putative DNA-directed RNA polymerase (omega chain)],[evalue=4.36841E-44]
[locus_tag=SynWH8103_00606],[protein_id=CRY91348.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1430],[protein_id=CAE19889.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.07650E-23]
[locus_tag=SynWH8103_00608],[protein_id=CRY91350.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1429],[protein_id=CAE19888.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.62614E-26],[locus_tag=PMM0647],[protein_id=CAE19106.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.86598E-16]
[locus_tag=SynWH8103_00609],[protein_id=CRY91352.1],[gene=None],[protein=EVE domain protein],[locus_tag=PMM1428],[protein_id=CAE19887.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.10785E-70]
[locus_tag=SynWH8103_00610],[protein_id=CRY91353.1],[gene=murD],[protein=UDP-N-acetylmuramoylalanine--D-glutamate ligase],[locus_tag=PMM1364],[protein_id=CAE19823.1],[gene=murD],[protein=UDP-N-acetylmuramoylalanine--D-glutamate ligase],[evalue=4.11300E-135],[locus_tag=PMM0413],[protein_id=CAE18872.1],[gene=murE],[protein=UDP-N-acetylmuramyl-tripeptide synthetase],[evalue=3.72253E-18]
[locus_tag=SynWH8103_00613],[protein_id=CRY91355.1],[gene=None],[protein=photosystem II S4 domain protein],[locus_tag=PMM1356],[protein_id=CAE19815.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.54779E-70]
[locus_tag=SynWH8103_00614],[protein_id=CRY91356.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1355],[protein_id=CAE19814.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.79811E-26]
[locus_tag=SynWH8103_00615],[protein_id=CRY91357.1],[gene=serA],[protein=D-3-phosphoglycerate dehydrogenase (PGDH)],[locus_tag=PMM1354],[protein_id=CAE19813.1],[gene=serA],[protein=putative D-3-phosphoglycerate dehydrogenase (PGDH)],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00616],[protein_id=CRY91358.1],[gene=prmA],[protein=ribosomal protein L11 methyltransferase],[locus_tag=PMM1353],[protein_id=CAE19812.1],[gene=prmA],[protein=putative methyltransferase for Ribosomal protein L11],[evalue=3.36845E-78]
[locus_tag=SynWH8103_00617],[protein_id=CRY91359.1],[gene=petF],[protein=2Fe-2S ferredoxin],[locus_tag=PMM1352],[protein_id=CAE19811.1],[gene=petF],[protein=ferredoxin],[evalue=3.05702E-66],[locus_tag=PMM1449],[protein_id=CAE19908.1],[gene=petF],[protein=ferredoxin],[evalue=5.95452E-21],[locus_tag=PMM0898],[protein_id=CAE19357.1],[gene=petF],"[protein=ferredoxin, petF-like protein]",[evalue=1.83945E-18]
[locus_tag=SynWH8103_00618],[protein_id=CRY91360.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1351],[protein_id=CAE19810.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.70125E-59]
[locus_tag=SynWH8103_00620],[protein_id=CRY91362.1],[gene=rnz],[protein=ribonuclease Z],[locus_tag=PMM1349],[protein_id=CAE19808.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.11312E-134]
[locus_tag=SynWH8103_00621],[protein_id=CRY91363.1],[gene=None],[protein=LytB/SpoIID protein homolog],[locus_tag=PMM1348],[protein_id=CAE19807.1],[gene=spoIID],[protein=possible sporulation protein SpoIID],[evalue=9.69764E-96],[locus_tag=PMM1660],[protein_id=CAE20119.1],[gene=None],[protein=possible amidase enhancer],[evalue=1.50892E-15]
[locus_tag=SynWH8103_00626],[protein_id=CRY91368.1],[gene=truB],[protein=tRNA pseudouridine(55) synthase],[locus_tag=PMM1347],[protein_id=CAE19806.1],[gene=truB],[protein=Putative tRNA pseudouridine 55 synthase],[evalue=4.76345E-83]
[locus_tag=SynWH8103_00627],[protein_id=CRY91369.1],[gene=None],[protein=possible S-adenosyl-L-methionine-dependent methyltransferase],[locus_tag=PMM1346],[protein_id=CAE19805.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.32063E-85]
[locus_tag=SynWH8103_00628],[protein_id=CRY91370.1],[gene=rpmA],[protein=50S ribosomal protein L27],[locus_tag=PMM1345],[protein_id=CAE19804.1],"[gene=rpl27, rpmA]",[protein=50S ribosomal protein L27],[evalue=3.26794E-47]
[locus_tag=SynWH8103_00629],[protein_id=CRY91371.1],[gene=rplU],[protein=50S ribosomal protein L21],[locus_tag=PMM1344],[protein_id=CAE19803.1],"[gene=rpl21, rplU]",[protein=50S ribosomal protein L21],[evalue=8.73452E-46]
[locus_tag=SynWH8103_00632],[protein_id=CRY91374.1],[gene=kaiB],[protein=Circadian clock protein KaiB],[locus_tag=PMM1343],[protein_id=CAE19802.1],[gene=kaiB],[protein=possible circadian oscillation regulator KaiB],[evalue=3.32356E-61]
[locus_tag=SynWH8103_00634],[protein_id=CRY91375.1],[gene=kaiC],[protein=circadian clock protein KaiC],[locus_tag=PMM1342],[protein_id=CAE19801.1],[gene=kaiC],[protein=possible circadian clock protein KaiC],[evalue=0.00000E+00],[locus_tag=PMM0133],[protein_id=CAE18592.1],[gene=radA],[protein=putative DNA repair protein RadA],[evalue=2.61783E-06]
[locus_tag=SynWH8103_00633],[protein_id=CRY91376.1],[gene=nblS],"[protein=two component sensor, signal transduction histidine kinase]",[locus_tag=PMM1341],[protein_id=CAE19800.1],[gene=nblS],[protein=two-component sensor histidine kinase],[evalue=0.00000E+00],[locus_tag=PMM1077],[protein_id=CAE19536.1],[gene=None],[protein=two-component sensor histidine kinase],[evalue=1.50357E-18],[locus_tag=PMM0706],[protein_id=CAE19165.1],[gene=phoR],"[protein=two-component sensor histidine kinase, phosphate sensing]",[evalue=7.58522E-11]
[locus_tag=SynWH8103_00635],[protein_id=CRY91377.1],[gene=purD],[protein=phosphoribosylamine--glycine ligase],[locus_tag=PMM1340],[protein_id=CAE19799.1],[gene=purD],[protein=phosphoribosylglycinamide synthetase],[evalue=1.85275E-167],[locus_tag=PMM0060],[protein_id=CAE18519.1],"[gene=accC, fabG]","[protein=acetyl-CoA carboxylase, biotin carboxylase subunit]",[evalue=1.85990E-06]
[locus_tag=SynWH8103_00637],[protein_id=CRY91379.1],[gene=purC],[protein=phosphoribosylaminoimidazolesuccinocarboxamide synthase],[locus_tag=PMM1339],[protein_id=CAE19798.1],[gene=purC],[protein=SAICAR synthetase],[evalue=1.87033E-90]
[locus_tag=SynWH8103_00638],[protein_id=CRY91380.1],[gene=None],[protein=surface antigen family protein],[locus_tag=PMM1338],[protein_id=CAE19797.1],[gene=None],[protein=chloroplast outer envelope membrane protein homolog],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00639],[protein_id=CRY91381.1],[gene=lpxC],[protein=UDP-3-O-[3-hydroxymyristoyl],[locus_tag=PMM1337],[protein_id=CAE19796.1],[gene=lpxC],[protein=UDP-3-0-acyl N-acetylglucosamine deacetylase],[evalue=4.17819E-103]
[locus_tag=SynWH8103_00640],[protein_id=CRY91382.1],[gene=fabZ],[protein=beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ],[locus_tag=PMM1336],[protein_id=CAE19795.1],[gene=None],[protein=Putative (3R)-hydroxymyristoyl-[acyl carrier protein],[evalue=6.97724E-86]
[locus_tag=SynWH8103_00641],[protein_id=CRY91383.1],[gene=lpxA],[protein=acyl-[acyl-carrier-protein],[locus_tag=PMM1335],[protein_id=CAE19794.1],[gene=lpxA],[protein=UDP-N-acetylglucosamine acyltransferase],[evalue=1.11505E-127],[locus_tag=PMM0787],[protein_id=CAE19246.1],[gene=lpxD],[protein=UDP-3-O-[3-hydroxymyristoyl],[evalue=1.06268E-08]
[locus_tag=SynWH8103_00642],[protein_id=CRY91384.1],[gene=lpxB],[protein=lipid-A-disaccharide synthase],[locus_tag=PMM1334],[protein_id=CAE19793.1],[gene=lpxB],[protein=Lipid-A-disaccharide synthetase],[evalue=2.09940E-135]
[locus_tag=SynWH8103_00643],[protein_id=CRY91385.1],[gene=msrA2],[protein=peptide methionine sulfoxide reductase],[locus_tag=PMM1333],[protein_id=CAE19792.1],[gene=None],[protein=Peptide methionine sulfoxide reductase],[evalue=6.98603E-76],[locus_tag=PMM0955],[protein_id=CAE19414.1],[gene=msrA],[protein=Peptide methionine sulfoxide reductase],[evalue=1.38611E-25]
[locus_tag=SynWH8103_00646],[protein_id=CRY91388.1],[gene=PM25],[protein=leucine aminopeptidase 1],[locus_tag=PMM1332],[protein_id=CAE19791.1],[gene=None],[protein=Cytosol aminopeptidase],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00648],[protein_id=CRY91390.1],[gene=None],[protein=Uncharacterized protein specific for cyanobacteria],[locus_tag=PMM1331],[protein_id=CAE19790.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.37845E-48]
[locus_tag=SynWH8103_00652],[protein_id=CRY91394.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1330],[protein_id=CAE19789.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.72876E-56]
[locus_tag=SynWH8103_00654],[protein_id=CRY91395.1],[gene=tyrS],[protein=Tyrosyl-tRNA synthetase],[locus_tag=PMM1329],[protein_id=CAE19788.1],[gene=tyrS],[protein=Tyrosyl-tRNA synthetase],[evalue=4.41427E-172]
[locus_tag=SynWH8103_00656],[protein_id=CRY91398.1],[gene=pyrF],[protein=Orotidine 5-phosphate decarboxylase],[locus_tag=PMM1328],[protein_id=CAE19787.1],[gene=pyrF],[protein=orotidine 5'-phosphate decarboxylase],[evalue=2.11666E-80]
[locus_tag=SynWH8103_00663],[protein_id=CRY91405.1],[gene=plsY],[protein=acyl-phosphate glycerol 3-phosphate acyltransferase],[locus_tag=PMM1327],[protein_id=CAE19786.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.85614E-74]
[locus_tag=SynWH8103_00664],[protein_id=CRY91406.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1326],[protein_id=CAE19785.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.82328E-120]
[locus_tag=SynWH8103_00667],[protein_id=CRY91409.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1325],[protein_id=CAE19784.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.76438E-33]
[locus_tag=SynWH8103_00668],[protein_id=CRY91410.1],[gene=None],"[protein=ABC-type transport system, membrane component]",[locus_tag=PMM1324],[protein_id=CAE19783.1],[gene=None],"[protein=possible transporter, membrane component]",[evalue=2.24492E-122]
[locus_tag=SynWH8103_00669],[protein_id=CRY91411.1],[gene=None],[protein=High affinity sugar transporter],[locus_tag=PMM1323],[protein_id=CAE19782.1],[gene=None],[protein=putative GPH family sugar transporter],[evalue=4.82599E-179]
[locus_tag=SynWH8103_00671],[protein_id=CRY91412.1],[gene=None],"[protein=alpha amylase, catalytic domain protein]",[locus_tag=PMM1322],[protein_id=CAE19781.1],[gene=glgX],[protein=Putative isoamylase],[evalue=0.00000E+00],[locus_tag=PMM0584],[protein_id=CAE19043.1],[gene=glgB],"[protein=1,4-alpha-glucan branching enzyme]",[evalue=4.62592E-08]
[locus_tag=SynWH8103_00673],[protein_id=CRY91414.1],[gene=hup],[protein=DNA-binding protein HU],[locus_tag=PMM1321],[protein_id=CAE19780.1],[gene=None],[protein=Bacterial histone-like DNA-binding protein],[evalue=2.67370E-60]
[locus_tag=SynWH8103_00674],[protein_id=CRY91415.1],[gene=yadB],[protein=Glutamyl-Q-tRNA(Asp) synthetase],[locus_tag=PMM0473],[protein_id=CAE18932.1],[gene=gltX],[protein=Glutamyl-tRNA synthetase],[evalue=3.11830E-39]
