Locus tag,Protein ID,Gene,Protein name
PMM2015,CAP16520.1,None,Hypothetical protein
PMM1426,CAE19885.1,None,hypothetical
PMM1427,CAE19886.1,None,conserved hypothetical
PMM2016,CAP16521.1,None,Conserved hypothetical protein
PMM1441,CAE19900.1,None,hypothetical
PMM1448,CAE19907.1,None,conserved hypothetical protein
PMM1462,CAE19921.1,None,conserved hypothetical protein
PMM2017,None,None,None
PMM1467,CAE19926.1,None,putative DNA helicase
PMM1495,CAE19954.1,None,hypothetical
PMM1496,CAE19955.1,None,Dolichyl-phosphate-mannose-protein mannosyltransferase
PMM1497,CAE19956.1,None,"Glycosyl transferase, family 2"
PMM1515,CAE19974.1,None,Site-specific recombinase
PMM1516,CAE19975.1,None,hypothetical
PMM1520,CAE19979.1,psaI,photosystem I subunit VIII (PsaI)
PMM1521,CAE19980.1,None,possible Annexin
PMM1567,CAE20026.1,None,conserved hypothetical protein
PMM1587,CAE20046.1,None,conserved hypothetical protein
PMM1612,CAE20071.1,None,conserved hypothetical
PMM1631,CAE20090.1,None,conserved hypothetical protein
PMM1632,CAE20091.1,None,conserved hypothetical protein
PMM1633,CAE20092.1,None,conserved hypothetical protein
PMM1638,CAE20097.1,cysE,Serine acetyltransferase
PMM1641,CAE20100.1,None,hypothetical protein
PMM1644,CAE20103.1,psbZ,possible Photosystem II reaction center Z protein (PsbZ)
PMM1667,CAE20126.1,None,conserved hypothetical protein
PMM1671,CAE20130.1,None,conserved hypothetical protein
PMM1679,CAE20138.1,lig,ATP-dependent DNA ligase
PMM2020,CAP16525.1,None,Conserved hypothetical protein
