[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[evalue=5.02794E-142]
[locus_tag=PMM0175],[protein_id=CAE18634.1],[gene=menC],[protein=putative O-succinylbenzoate synthase],[locus_tag=Syncc8109_2547],[protein_id=AHF64854.1],[gene=menC],[protein=putative O-succinylbenzoate synthase],[evalue=3.21869E-62]
[locus_tag=PMM0176],[protein_id=CAE18635.1],[gene=menA],"[protein=1,4-dihydroxy-2-naphthoate (DHNA) octaprenyltransferase; UbiA prenyltranferase family]",[locus_tag=Syncc8109_2548],[protein_id=AHF64855.1],[gene=menA],"[protein=1,4-dihydroxy-2-naphthoate phytyltransferase]",[evalue=4.74317E-106]
[locus_tag=PMM0177],[protein_id=CAE18636.1],[gene=menF],[protein=Isochorismate synthase],[locus_tag=Syncc8109_2549],[protein_id=AHF64856.1],[gene=menF],[protein=isochorismate synthase],[evalue=5.97593E-88]
[locus_tag=PMM0178],[protein_id=CAE18637.1],[gene=gshB],[protein=putative Glutathione synthetase],[locus_tag=Syncc8109_2550],[protein_id=AHF64857.1],[gene=gshB],[protein=glutathione synthetase],[evalue=3.92018E-138]
[locus_tag=PMM0179],[protein_id=CAE18638.1],[gene=None],[protein=Glutaredoxin],[locus_tag=Syncc8109_2551],[protein_id=AHF64858.1],[gene=None],"[protein=Glutaredoxin, GrxC]",[evalue=4.44471E-39]
[locus_tag=PMM0180],[protein_id=CAE18639.1],[gene=prfB],[protein=peptide chain release factor RF-2],[locus_tag=Syncc8109_2552],[protein_id=AHF64859.1],[gene=prfB],[protein=peptide chain release factor 2],[evalue=0.00000E+00],[locus_tag=Syncc8109_0351],[protein_id=AHF62758.1],[gene=prfA],[protein=peptide chain release factor 1],[evalue=2.08364E-49]
[locus_tag=PMM0181],[protein_id=CAE18640.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2553],[protein_id=AHF64860.1],[gene=None],[protein=hypothetical protein],[evalue=3.83728E-17]
[locus_tag=PMM0182],[protein_id=CAE18641.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2554],[protein_id=AHF64861.1],[gene=None],[protein=hypothetical protein],[evalue=1.70509E-34]
[locus_tag=PMM0183],[protein_id=CAE18642.1],[gene=dgkA],[protein=Prokaryotic diacylglycerol kinase],[locus_tag=Syncc8109_2555],[protein_id=AHF64862.1],[gene=dgkA],[protein=putative diacylglycerol kinase],[evalue=2.43678E-23]
[locus_tag=PMM0184],[protein_id=CAE18643.1],[gene=pabA],[protein=para-aminobenzoate synthase component II],[locus_tag=Syncc8109_2556],[protein_id=AHF64863.1],[gene=pabA],[protein=glutamine amidotransferase of anthranilate synthase or para-aminobenzoate synthase],[evalue=2.45879E-93],[locus_tag=Syncc8109_0052],[protein_id=AHF62477.1],[gene=guaA],[protein=GMP synthase],[evalue=7.01806E-17],[locus_tag=Syncc8109_1532],[protein_id=AHF63893.1],[gene=carA],"[protein=carbamoyl-phosphate synthase, small subunit]",[evalue=1.50420E-16]
[locus_tag=PMM0185],[protein_id=CAE18644.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2557],[protein_id=AHF64864.1],[gene=None],[protein=hypothetical protein],[evalue=5.19484E-57]
[locus_tag=PMM0186],[protein_id=CAE18645.1],[gene=hisC],[protein=Aminotransferases class-I],[locus_tag=Syncc8109_2559],[protein_id=AHF64866.1],[gene=hisC],[protein=aminotransferases class-I],[evalue=2.23446E-124],[locus_tag=Syncc8109_2572],[protein_id=AHF64879.1],[gene=hisC/cobC],"[protein=L-threonine-O-3-phosphate decarboxylase, putative]",[evalue=4.67748E-15]
[locus_tag=PMM0187],[protein_id=CAE18646.1],[gene=argS],[protein=Arginyl-tRNA synthetase],[locus_tag=Syncc8109_2560],[protein_id=AHF64867.1],[gene=argS],[protein=arginyl-tRNA synthetase],[evalue=0.00000E+00]
[locus_tag=PMM0188],[protein_id=CAE18647.1],[gene=nadC],[protein=Nicotinate-nucleotide pyrophosphorylase:Quinolinate phosphoriobsyl transferase],[locus_tag=Syncc8109_2561],[protein_id=AHF64868.1],[gene=nadC],[protein=nicotinate-nucleotide pyrophosphorylase],[evalue=2.45480E-106]
[locus_tag=PMM0189],[protein_id=CAE18648.1],[gene=None],[protein=putative thiophen / furan oxidation protein],[locus_tag=Syncc8109_2562],[protein_id=AHF64869.1],[gene=trmE],[protein=tRNA modification GTPase TrmE],[evalue=2.13020E-133],[locus_tag=Syncc8109_2120],[protein_id=AHF64458.1],[gene=None],[protein=Small GTP-binding protein domain protein],[evalue=3.66614E-19]
[locus_tag=PMM0190],[protein_id=CAE18649.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2563],[protein_id=AHF64870.1],[gene=None],[protein=hypothetical protein],[evalue=7.05657E-39]
[locus_tag=PMM0191],[protein_id=CAE18650.1],[gene=spoT],"[protein=guanosine-3',5'-bis(diphosphate) 3'-diphosphatase, (ppGpp)ase]",[locus_tag=Syncc8109_2564],[protein_id=AHF64871.1],[gene=spoT],[protein=metal dependent phosphohydrolase],[evalue=0.00000E+00]
[locus_tag=PMM0192],[protein_id=CAE18651.1],[gene=None],"[protein=ABC transporter, ATP binding component, possibly for oligopeptides]",[locus_tag=Syncc8109_2565],[protein_id=AHF64872.1],[gene=None],[protein=ATPase],[evalue=1.88124E-158],[locus_tag=Syncc8109_0880],[protein_id=AHF63257.1],[gene=glnQ],[protein=ATPase],[evalue=3.66717E-33],[locus_tag=Syncc8109_0880],[protein_id=AHF63257.1],[gene=glnQ],[protein=ATPase],[evalue=6.67562E-24]
[locus_tag=PMM0193],[protein_id=CAE18652.1],[gene=rluD],[protein=putative pseudouridylate synthase specific to ribosomal large subunit],[locus_tag=Syncc8109_2566],[protein_id=AHF64873.1],[gene=rluD],"[protein=Pseudouridine synthase, RluD]",[evalue=9.15432E-168],[locus_tag=Syncc8109_2537],[protein_id=AHF64844.1],[gene=None],[protein=putative pseudouridine synthase],[evalue=5.74358E-18]
[locus_tag=PMM0194],[protein_id=CAE18653.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2567],[protein_id=AHF64874.1],[gene=rbgA],[protein=GTP-binding protein],[evalue=3.51346E-113]
[locus_tag=PMM0195],[protein_id=CAE18654.1],"[gene=pgk, cbbK]",[protein=Phosphoglycerate kinase],[locus_tag=Syncc8109_2568],[protein_id=AHF64875.1],[gene=pgk],[protein=Phosphoglycerate kinase],[evalue=0.00000E+00]
[locus_tag=PMM0196],[protein_id=CAE18655.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2570],[protein_id=AHF64877.1],[gene=None],[protein=hypothetical protein],[evalue=2.69257E-33]
[locus_tag=PMM0197],[protein_id=CAE18656.1],[gene=murG],[protein=Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase],[locus_tag=Syncc8109_2571],[protein_id=AHF64878.1],[gene=murG],[protein=UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase],[evalue=2.32928E-99]
[locus_tag=PMM0198],[protein_id=CAE18657.1],[gene=hisC/cobC],[protein=Aminotransferases class-I],[locus_tag=Syncc8109_2572],[protein_id=AHF64879.1],[gene=hisC/cobC],"[protein=L-threonine-O-3-phosphate decarboxylase, putative]",[evalue=4.76703E-93],[locus_tag=Syncc8109_2559],[protein_id=AHF64866.1],[gene=hisC],[protein=aminotransferases class-I],[evalue=1.06949E-11]
[locus_tag=PMM0199],[protein_id=CAE18658.1],[gene=pyrD],[protein=Dihydroorotate dehydrogenase],[locus_tag=Syncc8109_2573],[protein_id=AHF64880.1],[gene=pyrD],[protein=dihydroorotate dehydrogenase],[evalue=8.29868E-146]
[locus_tag=PMM0200],[protein_id=CAE18659.1],[gene=rnhA],[protein=possible ribonuclease HI],[locus_tag=Syncc8109_2574],[protein_id=AHF64881.1],[gene=rnhA],[protein=putative ribonuclease HI],[evalue=2.13654E-58]
[locus_tag=PMM0201],[protein_id=CAE18660.1],"[gene=rpl12, rplL, rpl7]",[protein=50S ribosomal protein L7/L12],[locus_tag=Syncc8109_2577],[protein_id=AHF64884.1],[gene=rplL],[protein=ribosomal protein L7/L12],[evalue=5.36065E-49]
[locus_tag=PMM0202],[protein_id=CAE18661.1],"[gene=rpl10, rplJ]",[protein=50S ribosomal protein L10],[locus_tag=Syncc8109_2578],[protein_id=AHF64885.1],[gene=rpl10],[protein=50S ribosomal protein L10],[evalue=7.54160E-94]
[locus_tag=PMM0203],[protein_id=CAE18662.1],"[gene=rpl1, rplA]",[protein=50S ribosomal protein L1],[locus_tag=Syncc8109_2580],[protein_id=AHF64887.1],[gene=rpl1],[protein=ribosomal protein L1],[evalue=9.93318E-143]
[locus_tag=PMM0204],[protein_id=CAE18663.1],"[gene=rpl11, rplK]",[protein=50S ribosomal protein L11],[locus_tag=Syncc8109_2581],[protein_id=AHF64888.1],[gene=rplK],[protein=ribosomal protein L11],[evalue=8.48162E-94]
[locus_tag=PMM0205],[protein_id=CAE18664.1],[gene=nusG],"[protein=transcription antitermination protein, NusG]",[locus_tag=Syncc8109_2582],[protein_id=AHF64889.1],[gene=nusG],[protein=NusG antitermination factor],[evalue=1.70222E-120]
[locus_tag=PMM0206],[protein_id=CAE18665.1],[gene=secE],"[protein=putative preprotein translocase, SecE subunit]",[locus_tag=Syncc8109_2583],[protein_id=AHF64890.1],[gene=secE],[protein=SecE subunit of protein translocation complex],[evalue=2.06955E-31]
[locus_tag=PMM0207],[protein_id=CAE18666.1],[gene=clpB2],"[protein=putative ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB]",[locus_tag=Syncc8109_2584],[protein_id=AHF64891.1],[gene=clpB],[protein=ATPase],[evalue=0.00000E+00],[locus_tag=Syncc8109_1681],[protein_id=AHF64038.1],[gene=clpB1],[protein=ATPase],[evalue=0.00000E+00],[locus_tag=Syncc8109_1000],[protein_id=AHF63374.1],[gene=clpC],[protein=ATPase],[evalue=0.00000E+00]
[locus_tag=PMM0208],[protein_id=CAE18667.1],[gene=eno],[protein=Enolase],[locus_tag=Syncc8109_2586],[protein_id=AHF64893.1],[gene=eno],[protein=enolase],[evalue=0.00000E+00]
[locus_tag=PMM0209],[protein_id=CAE18668.1],[gene=None],[protein=possible kinase],[locus_tag=Syncc8109_2587],[protein_id=AHF64894.1],[gene=None],[protein=putative kinase],[evalue=0.00000E+00],[locus_tag=Syncc8109_1007],[protein_id=AHF63381.1],[gene=None],[protein=putative kinase],[evalue=1.36373E-71],[locus_tag=Syncc8109_2762],[protein_id=AHF65068.1],[gene=None],[protein=putative protein kinase],[evalue=2.89381E-64]
[locus_tag=PMM0211],[protein_id=CAE18670.1],[gene=trxB],[protein=FAD-dependent pyridine nucleotide-disulphide oxidoreductase],[locus_tag=Syncc8109_2081],[protein_id=AHF64420.1],[gene=None],[protein=thioredoxin reductase],[evalue=4.71474E-49]
[locus_tag=PMM0214],[protein_id=CAE18673.1],[gene=None],[protein=putative sulfate transporter],[locus_tag=Syncc8109_0556],[protein_id=AHF62943.1],[gene=None],[protein=putative sulfate transporter],[evalue=0.00000E+00],[locus_tag=Syncc8109_1704],[protein_id=AHF64060.1],[gene=None],[protein=putative sulfate transporter],[evalue=1.38120E-151],[locus_tag=Syncc8109_0875],[protein_id=AHF63252.1],[gene=None],[protein=putative sulfate transporter],[evalue=1.17169E-39]
[locus_tag=PMM0215],[protein_id=CAE18674.1],[gene=None],[protein=Delta-aminolevulinic acid dehydratase],[locus_tag=Syncc8109_0559],[protein_id=AHF62946.1],[gene=None],[protein=Porphobilinogen synthase],[evalue=0.00000E+00]
[locus_tag=PMM0216],[protein_id=CAE18675.1],[gene=None],[protein=Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily],[locus_tag=Syncc8109_0560],[protein_id=AHF62947.1],[gene=None],[protein=putative ring-cleaving dioxygenase],[evalue=8.15678E-65]
[locus_tag=PMM0217],[protein_id=CAE18676.1],[gene=mutS],[protein=putative DNA mismatch repair protein MutS family],[locus_tag=Syncc8109_0561],[protein_id=AHF62948.1],[gene=mutS2],[protein=MutS2 family protein],[evalue=0.00000E+00],[locus_tag=Syncc8109_0085],[protein_id=AHF62508.1],[gene=mutS],[protein=DNA mismatch repair protein MutS],[evalue=1.42542E-16]
[locus_tag=PMM0218],[protein_id=CAE18677.1],[gene=None],[protein=GTP1/OBG family],[locus_tag=Syncc8109_0563],[protein_id=AHF62950.1],[gene=None],[protein=Small GTP-binding protein domain protein],[evalue=1.06242E-148],[locus_tag=Syncc8109_2063],[protein_id=AHF64402.1],[gene=None],[protein=translation-associated GTPase],[evalue=3.92694E-14]
[locus_tag=PMM0219],[protein_id=CAE18678.1],[gene=None],[protein=conserved hypothetical],[locus_tag=Syncc8109_0564],[protein_id=AHF62951.1],[gene=None],[protein=hypothetical protein],[evalue=3.27499E-30]
[locus_tag=PMM0220],[protein_id=None],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0565],[protein_id=AHF62952.1],[gene=None],[protein=hypothetical protein],[evalue=3.51816E-32],[locus_tag=Syncc8109_1628],[protein_id=AHF63985.1],[gene=None],[protein=hypothetical protein],[evalue=4.36004E-27]
[locus_tag=PMM0221],[protein_id=CAE18680.1],[gene=None],[protein=Glutathione S-transferase C terminus],[locus_tag=Syncc8109_0568],[protein_id=AHF62955.1],[gene=None],[protein=putative glutathione S-transferase],[evalue=2.54687E-88]
[locus_tag=PMM0222],[protein_id=CAE18681.1],[gene=None],[protein=putative aspartoacylase],[locus_tag=Syncc8109_0569],[protein_id=AHF62956.1],[gene=None],[protein=Aspartoacylase],[evalue=3.50222E-88]
[locus_tag=PMM0223],[protein_id=CAE18682.1],[gene=psbA],[protein=Photosystem II PsbA protein (D1)],[locus_tag=Syncc8109_1647],[protein_id=AHF64004.1],[gene=psbA1],[protein=photosystem II D1 protein form I],[evalue=0.00000E+00],[locus_tag=Syncc8109_0572],[protein_id=AHF62959.1],[gene=psbA2],[protein=photosystem II D1 protein form II],[evalue=0.00000E+00],[locus_tag=Syncc8109_0312],[protein_id=AHF62721.1],[gene=psbA2],[protein=photosystem II D1 protein form II],[evalue=0.00000E+00]
[locus_tag=PMM0224],[protein_id=CAE18683.1],[gene=aroC],[protein=Chorismate synthase],[locus_tag=Syncc8109_0309],[protein_id=AHF62718.1],[gene=aroC],[protein=chorismate synthase],[evalue=0.00000E+00]
[locus_tag=PMM0225],[protein_id=CAE18684.1],[gene=None],[protein=possible 2-keto-3-deoxy-6-phosphogluconate aldolase],[locus_tag=Syncc8109_0307],[protein_id=AHF62716.1],[gene=None],[protein=2-dehydro-3-deoxyphosphogluconate aldolase / 4-hydroxy-2-oxoglutarate aldolase],[evalue=1.63471E-26]
[locus_tag=PMM0226],[protein_id=CAE18685.1],[gene=ftsH2],[protein=cell division protein FtsH2],[locus_tag=Syncc8109_0306],[protein_id=AHF62715.1],[gene=ftsH2],[protein=ATP-dependent metalloprotease FtsH],[evalue=0.00000E+00],[locus_tag=Syncc8109_1238],[protein_id=AHF63606.1],[gene=ftsH1],[protein=ATP-dependent metalloprotease FtsH],[evalue=0.00000E+00],[locus_tag=Syncc8109_1816],[protein_id=AHF64168.1],[gene=ftsH],[protein=ATP-dependent metalloprotease FtsH],[evalue=0.00000E+00]
[locus_tag=PMM0227],[protein_id=CAE18686.1],[gene=cysD],[protein=ATP-sulfurylase],[locus_tag=Syncc8109_0305],[protein_id=AHF62714.1],[gene=cysD],[protein=sulfate adenylyltransferase],[evalue=0.00000E+00]
[locus_tag=PMM0228],[protein_id=CAE18687.1],[gene=psbO],[protein=Photosystem II manganese-stabilizing protein],[locus_tag=Syncc8109_0304],[protein_id=AHF62713.1],[gene=psbO],[protein=photosystem II manganese-stabilizing polypeptide],[evalue=1.01278E-79]
[locus_tag=PMM0229],[protein_id=CAE18688.1],[gene=dfp (coaBC)],[protein=putative p-pantothenate cysteine ligase and p-pantothenenoylcysteine decarboxylase],[locus_tag=Syncc8109_0302],[protein_id=AHF62711.1],[gene=dfp],[protein=phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase],[evalue=2.00454E-111]
[locus_tag=PMM0230],[protein_id=CAE18689.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0301],[protein_id=AHF62710.1],[gene=None],[protein=hypothetical protein],[evalue=2.35176E-11]
[locus_tag=PMM0231],[protein_id=CAE18690.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0298],[protein_id=AHF62708.1],[gene=None],[protein=hypothetical protein],[evalue=3.04932E-29]
[locus_tag=PMM0232],[protein_id=CAE18691.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0297],[protein_id=AHF62707.1],[gene=None],[protein=hypothetical protein],[evalue=5.95198E-19]
[locus_tag=PMM0233],[protein_id=CAE18692.1],[gene=pyrB],[protein=aspartate carbamoyltransferase],[locus_tag=Syncc8109_0293],[protein_id=AHF62703.1],[gene=pyrB],[protein=aspartate carbamoyltransferase catalytic subunit],[evalue=8.75463E-145],[locus_tag=Syncc8109_2694],[protein_id=AHF65000.1],[gene=pyrB],[protein=putative aspartate carbamoyltransferase],[evalue=3.00125E-22],[locus_tag=Syncc8109_1815],[protein_id=AHF64167.1],[gene=argF],[protein=ornithine carbamoyltransferase],[evalue=1.96832E-14]
[locus_tag=PMM0234],[protein_id=CAE18693.1],[gene=None],[protein=possible Methylpurine-DNA glycosylase (MPG)],[locus_tag=Syncc8109_0292],[protein_id=AHF62702.1],[gene=None],[protein=DNA-3-methyladenine glycosylase],[evalue=2.28960E-57]
[locus_tag=PMM0235],[protein_id=CAE18694.1],[gene=gatC],[protein=Glutamyl-tRNA(Gln) amidotransferase subunit C],[locus_tag=Syncc8109_0288],[protein_id=AHF62698.1],[gene=gatC],"[protein=glutamyl-tRNA(Gln) amidotransferase, C subunit]",[evalue=2.16103E-35]
[locus_tag=PMM0236],[protein_id=None],[gene=crtR],[protein=beta carotene hydroxylase],[locus_tag=Syncc8109_0287],[protein_id=AHF62697.1],[gene=crtR],[protein=beta-carotene hydroxylase],[evalue=5.75078E-174]
[locus_tag=PMM1806],[protein_id=CAP16310.1],[gene=None],[protein=Beta-carotene hydroxylase],[locus_tag=Syncc8109_0287],[protein_id=AHF62697.1],[gene=crtR],[protein=beta-carotene hydroxylase],[evalue=3.68691E-146]
[locus_tag=PMM0238],[protein_id=CAE18697.1],[gene=ileS],[protein=Isoleucyl-tRNA synthetase],[locus_tag=Syncc8109_0284],[protein_id=AHF62695.1],[gene=ileS],[protein=isoleucyl-tRNA synthetase],[evalue=0.00000E+00],[locus_tag=Syncc8109_2635],[protein_id=AHF64942.1],[gene=valS],[protein=valyl-tRNA synthetase],[evalue=8.97605E-73],[locus_tag=Syncc8109_1285],[protein_id=AHF63652.1],[gene=leuS],[protein=leucyl-tRNA synthetase],[evalue=5.81640E-19]
[locus_tag=PMM0239],[protein_id=CAE18698.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0281],[protein_id=AHF62692.1],[gene=None],[protein=hypothetical protein],[evalue=2.22490E-43]
[locus_tag=PMM0240],[protein_id=CAE18699.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0279],[protein_id=AHF62690.1],[gene=None],[protein=tRNA (guanine-N(7))-methyltransferase],[evalue=1.99725E-44]
[locus_tag=PMM0241],[protein_id=CAE18700.1],[gene=None],[protein=Phosphotransferase superclass],[locus_tag=Syncc8109_0276],[protein_id=AHF62687.1],[gene=None],[protein=phosphoglucosamine mutase],[evalue=3.05349E-143],[locus_tag=Syncc8109_0223],[protein_id=AHF62636.1],[gene=None],[protein=phosphoglucomutase/phosphomannomutase family protein],[evalue=9.59174E-23]
[locus_tag=PMM0242],[protein_id=CAE18701.1],[gene=txlA],[protein=thioredoxin-like protein TxlA],[locus_tag=Syncc8109_0273],[protein_id=AHF62684.1],[gene=txlA],[protein=thioredoxin-like protein TxlA],[evalue=2.80279E-35]
[locus_tag=PMM0244],[protein_id=CAE18703.1],[gene=dcd],[protein=dCTP Deaminase],[locus_tag=Syncc8109_0271],[protein_id=AHF62682.1],[gene=dcd],[protein=Deoxycytidine triphosphate deaminase],[evalue=8.15952E-126]
[locus_tag=PMM0245],[protein_id=CAE18704.1],[gene=None],[protein=cob(I)alamin adenosyltransferase],[locus_tag=Syncc8109_0270],[protein_id=AHF62681.1],[gene=None],[protein=cob(I)alamin adenosyltransferase],[evalue=5.56411E-35]
[locus_tag=PMM0246],[protein_id=CAE18705.1],[gene=ntcA],"[protein=Global nitrogen regulatory protein, CRP family of transcriptional regulators]",[locus_tag=Syncc8109_0268],[protein_id=AHF62679.1],[gene=ntcA],"[protein=transcriptional regulator, Crp/Fnr family]",[evalue=1.08124E-135],[locus_tag=Syncc8109_1379],[protein_id=AHF63742.1],[gene=None],"[protein=putative transcriptional regulator, Crp/Fnr family]",[evalue=1.04639E-23]
[locus_tag=PMM0247],[protein_id=CAE18706.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0267],[protein_id=AHF62678.1],[gene=None],[protein=hypothetical protein],[evalue=1.69134E-74]
[locus_tag=PMM0248],[protein_id=CAE18707.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0266],[protein_id=AHF62677.1],[gene=None],[protein=hypothetical protein],[evalue=1.43372E-27]
[locus_tag=PMM0249],[protein_id=CAE18708.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0265],[protein_id=AHF62676.1],[gene=None],[protein=hypothetical protein],[evalue=4.54620E-21]
[locus_tag=PMM0250],[protein_id=CAE18709.1],[gene=pth],[protein=Peptidyl-tRNA hydrolase],[locus_tag=Syncc8109_0264],[protein_id=AHF62675.1],[gene=pth],[protein=peptidyl-tRNA hydrolase],[evalue=2.79977E-57]
[locus_tag=PMM0251],[protein_id=CAE18710.1],[gene=psbH],[protein=Photosystem II PsbH protein],[locus_tag=Syncc8109_0262],[protein_id=AHF62673.1],[gene=psbH],[protein=photosystem II reaction center protein PsbH],[evalue=2.82821E-16]
[locus_tag=PMM0252],[protein_id=CAE18711.1],[gene=psbN],[protein=Photosystem II reaction centre N protein (psbN)],[locus_tag=Syncc8109_0261],[protein_id=AHF62672.1],[gene=psbN],[protein=photosystem II reaction centre N protein (psbN)],[evalue=2.28680E-15]
[locus_tag=PMM0253],[protein_id=CAE18712.1],[gene=None],[protein=photosystem II reaction center PsbI protein],[locus_tag=Syncc8109_0259],[protein_id=AHF62670.1],[gene=psbI],[protein=photosystem II reaction center I protein (PsbI)],[evalue=3.13433E-20]
[locus_tag=PMM0254],[protein_id=CAE18713.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0258],[protein_id=AHF62669.1],[gene=None],[protein=hypothetical protein],[evalue=4.77973E-76]
[locus_tag=PMM0255],[protein_id=CAE18714.1],[gene=leuD],[protein=3-isopropylmalate dehydratase small subunit],[locus_tag=Syncc8109_0256],[protein_id=AHF62667.1],[gene=leuD],"[protein=3-isopropylmalate dehydratase, small subunit]",[evalue=5.99797E-72]
[locus_tag=PMM0256],[protein_id=CAE18715.1],[gene=leuC],[protein=3-isopropylmalate dehydratase large subunit],[locus_tag=Syncc8109_0255],[protein_id=AHF62666.1],[gene=leuC],"[protein=3-isopropylmalate dehydratase, large subunit]",[evalue=0.00000E+00]
[locus_tag=PMM0257],[protein_id=CAE18716.1],[gene=None],[protein=Molybdenum cofactor biosynthesis protein],[locus_tag=Syncc8109_0254],[protein_id=AHF62665.1],[gene=cinA],[protein=Competence-damaged protein],[evalue=1.00358E-155]
[locus_tag=PMM0258],[protein_id=CAE18717.1],[gene=glyA],[protein=Serine hydroxymethyltransferase (SHMT)],[locus_tag=Syncc8109_0252],[protein_id=AHF62663.1],[gene=glyA],[protein=Glycine hydroxymethyltransferase],[evalue=0.00000E+00]
[locus_tag=PMM0259],[protein_id=CAE18718.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0249],[protein_id=AHF62661.1],[gene=None],[protein=hypothetical protein],[evalue=1.83340E-20]
[locus_tag=PMM0260],[protein_id=CAE18719.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0248],[protein_id=AHF62660.1],[gene=None],[protein=hypothetical protein],[evalue=4.34982E-23]
[locus_tag=PMM0261],[protein_id=CAE18720.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0246],[protein_id=AHF62658.1],[gene=None],[protein=integral membrane protein MviN],[evalue=2.67129E-112]
[locus_tag=PMM0262],[protein_id=CAE18721.1],[gene=None],[protein=putative sugar fermentation stimulation protein],[locus_tag=Syncc8109_0245],[protein_id=AHF62657.1],[gene=None],[protein=sugar fermentation stimulation protein],[evalue=3.54493E-113]
[locus_tag=PMM0263],[protein_id=CAE18722.1],[gene=amt1],[protein=Ammonium transporter family],[locus_tag=Syncc8109_0244],[protein_id=AHF62656.1],[gene=amt1],[protein=ammonium transporter],[evalue=0.00000E+00]
[locus_tag=PMM0264],[protein_id=CAE18723.1],[gene=lytB],[protein=LytB protein homolog],[locus_tag=Syncc8109_0243],[protein_id=AHF62655.1],[gene=lytB],[protein=hydroxymethylbutenyl pyrophosphate reductase],[evalue=0.00000E+00]
[locus_tag=PMM0265],[protein_id=CAE18724.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1627],[protein_id=AHF63984.1],[gene=None],[protein=membrane protein],[evalue=2.05270E-12]
[locus_tag=PMM0266],[protein_id=CAE18725.1],[gene=purH],[protein=AICARFT/IMPCHase bienzyme:Methylglyoxal synthase-like domain],[locus_tag=Syncc8109_0240],[protein_id=AHF62652.1],[gene=purH],[protein=phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase],[evalue=0.00000E+00]
[locus_tag=PMM0267],[protein_id=CAE18726.1],[gene=None],[protein=probable esterase],[locus_tag=Syncc8109_0239],[protein_id=AHF62651.1],[gene=None],[protein=putative esterase],[evalue=5.84927E-45]
[locus_tag=PMM0268],[protein_id=CAE18727.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0238],[protein_id=AHF62650.1],[gene=None],[protein=hypothetical protein],[evalue=1.37123E-64]
[locus_tag=PMM0269],[protein_id=CAE18728.1],[gene=None],[protein=two-component sensor histidine kinase],[locus_tag=Syncc8109_0237],[protein_id=AHF62649.1],[gene=None],[protein=histidine kinase],[evalue=4.61054E-84]
[locus_tag=PMM0270],[protein_id=CAE18729.1],[gene=CobS],[protein=Cobalamin-5-phosphate synthase CobS],[locus_tag=Syncc8109_0236],[protein_id=AHF62648.1],[gene=cobS],[protein=cobalamin 5'-phosphate synthase],[evalue=4.33068E-42]
[locus_tag=PMM0271],[protein_id=CAE18730.1],[gene=tgt],[protein=tRNA-guanine transglycosylase],[locus_tag=Syncc8109_0235],[protein_id=AHF62647.1],[gene=tgt],[protein=queuine tRNA-ribosyltransferase],[evalue=3.95965E-179]
[locus_tag=PMM0272],[protein_id=CAE18731.1],[gene=None],[protein=Photosystem II protein PsbK],[locus_tag=Syncc8109_0234],[protein_id=AHF62646.1],[gene=psbK],[protein=photosystem II reaction center protein K],[evalue=7.41842E-18]
[locus_tag=PMM0273],[protein_id=CAE18732.1],[gene=None],[protein=probable oxidoreductase],[locus_tag=Syncc8109_0231],[protein_id=AHF62643.1],[gene=None],[protein=putative oxidoreductase],[evalue=0.00000E+00]
