[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]"
[locus_tag=PMM0278],[protein_id=CAE18737.1],[gene=None],[protein=Phosphotransferase superclass]
[locus_tag=PMM0279],[protein_id=CAE18738.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0280],[protein_id=CAE18739.1],[gene=None],[protein=Retinal pigment epithelial membrane protein]
[locus_tag=PMM0281],[protein_id=CAE18740.1],[gene=hisB],[protein=Imidazoleglycerol-phosphate dehydratase]
[locus_tag=PMM0282],[protein_id=CAE18741.1],[gene=fabI],[protein=enoyl-[acyl-carrier-protein]
[locus_tag=PMM0283],[protein_id=CAE18742.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0284],[protein_id=CAE18743.1],[gene=degT],[protein=putative pleiotropic regulatory protein]
[locus_tag=PMM0285],[protein_id=CAE18744.1],[gene=phr],[protein=putative DNA photolyase]
[locus_tag=PMM0286],[protein_id=CAE18745.1],[gene=None],[protein=NUDIX hydrolase]
[locus_tag=PMM0288],[protein_id=CAE18747.1],[gene=chlD],"[protein=Protoporphyrin IX Magnesium chelatase, ChlD subunit]"
[locus_tag=PMM0289],[protein_id=CAE18748.1],[gene=None],[protein=possible ABC transporter]
[locus_tag=PMM0290],[protein_id=CAE18749.1],[gene=None],"[protein=possible ABC transporter, ATP binding component]"
[locus_tag=PMM0291],[protein_id=CAE18750.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0292],[protein_id=CAE18751.1],[gene=ndhJ],[protein=putative respiratory-chain NADH dehydrogenase subunit]
[locus_tag=PMM0293],[protein_id=CAE18752.1],[gene=ndhK],[protein=putative respiratory-chain NADH dehydrogenase subunit]
[locus_tag=PMM0294],[protein_id=CAE18753.1],[gene=ndhC],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 3)]
[locus_tag=PMM0295],[protein_id=CAE18754.1],[gene=rub],[protein=probable rubredoxin]
[locus_tag=PMM0296],[protein_id=CAE18755.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0297],[protein_id=CAE18756.1],[gene=psbE],[protein=Cytochrome b559 alpha-subunit]
[locus_tag=PMM0298],[protein_id=CAE18757.1],[gene=psbF],[protein=Cytochrome b559 beta-subunit]
[locus_tag=PMM0300],[protein_id=CAE18759.1],[gene=psbJ],[protein=photosytem II PsbJ protein]
[locus_tag=PMM0301],[protein_id=CAE18760.1],[gene=None],[protein=5'-methylthioadenosine phosphorylase]
[locus_tag=PMM0303],[protein_id=CAE18762.1],[gene=None],[protein=tRNA nucleotidyltransferase/poly(A) polymerase]
[locus_tag=PMM0304],[protein_id=CAE18763.1],[gene=uvrD],[protein=UvrD/REP helicase]
[locus_tag=PMM0305],[protein_id=CAE18764.1],[gene=cpeB],[protein=Phycobilisome protein]
[locus_tag=PMM0306],[protein_id=CAE18765.1],[gene=cpeS],[protein=phycoerythrin linker protein CpeS homolog]
[locus_tag=PMM0308],[protein_id=CAE18767.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0309],[protein_id=CAE18768.1],[gene=None],[protein=possible Pollen allergen]
[locus_tag=PMM0310],[protein_id=CAE18769.1],[gene=None],"[protein=Carbohydrate kinase, FGGY family]"
[locus_tag=PMM0311],[protein_id=CAE18770.1],[gene=metK],[protein=S-adenosylmethionine synthetase]
[locus_tag=PMM0312],[protein_id=CAE18771.1],"[gene=rps1a, rpsA1]","[protein=30S ribosomal protein S1, homolog A]"
[locus_tag=PMM0313],[protein_id=CAE18772.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0314],[protein_id=CAE18773.1],[gene=psbT],[protein=Photosystem II PsbT protein]
[locus_tag=PMM0315],[protein_id=CAE18774.1],[gene=psbB],[protein=Photosystem II PsbB protein (CP47)]
[locus_tag=PMM0316],[protein_id=CAE18775.1],[gene=None],[protein=possible ferredoxin]
[locus_tag=PMM0318],[protein_id=CAE18777.1],[gene=hemK],[protein=putative protein methyltransferase]
[locus_tag=PMM0319],[protein_id=CAE18778.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0320],[protein_id=CAE18779.1],[gene=minE],[protein=possible septum site-determining protein MinE]
[locus_tag=PMM0321],[protein_id=CAE18780.1],[gene=minD],[protein=putative septum site-determining protein MinD]
[locus_tag=PMM0322],[protein_id=CAE18781.1],[gene=minC],[protein=possible septum site-determining protein]
[locus_tag=PMM0323],[protein_id=CAE18782.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0324],[protein_id=CAE18783.1],[gene=ctpA],[protein=carboxyl-terminal processing proteinase precursor]
[locus_tag=PMM0325],[protein_id=CAE18784.1],[gene=petB],[protein=Cytochrome b6]
[locus_tag=PMM0326],[protein_id=CAE18785.1],[gene=petD],[protein=PetD protein (subunit IV of the Cytochrome b6f complex)]
[locus_tag=PMM0327],[protein_id=CAE18786.1],[gene=None],[protein=putative neutral invertase-like protein]
[locus_tag=PMM0328],[protein_id=CAE18787.1],[gene=FPG],[protein=Formamidopyrimidine-DNA glycolase (FAPY-DNA glycolase)]
[locus_tag=PMM0329],[protein_id=CAE18788.1],[gene=psaE],[protein=Photosystem I PsaE protein (subunit IV)]
[locus_tag=PMM0330],[protein_id=CAE18789.1],[gene=None],[protein=possible LysM domain]
[locus_tag=PMM0331],[protein_id=CAE18790.1],[gene=None],[protein=Putative aldehyde dehydrogenase]
[locus_tag=PMM0334],[protein_id=CAE18793.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0338],[protein_id=CAE18797.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM0339],[protein_id=CAE18798.1],[gene=T8L23.23],[protein=Bacterial-type phytoene dehydrogenase]
[locus_tag=PMM0340],[protein_id=CAE18799.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0341],[protein_id=CAE18800.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM0343],[protein_id=CAE18802.1],[gene=None],[protein=mttA/Hcf106 family]
[locus_tag=PMM0345],[protein_id=CAE18804.1],[gene=None],[protein=putative bacterioferritin comigratory protein]
[locus_tag=PMM0346],[protein_id=CAE18805.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0347],[protein_id=CAE18806.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM0360],[protein_id=CAE18819.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0368],[protein_id=CAE18827.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0372],[protein_id=CAE18831.1],[gene=None],[protein=putative cyanate ABC transporter]
[locus_tag=PMM0373],[protein_id=CAE18832.1],[gene=cynS],[protein=Cyanate lyase]
[locus_tag=PMM0374],[protein_id=CAE18833.1],[gene=None],[protein=mttA/Hcf106 family]
[locus_tag=PMM0387],[protein_id=CAE18846.1],[gene=aroD],[protein=Dehydroquinase class II]
[locus_tag=PMM0388],[protein_id=CAE18847.1],[gene=None],[protein=putative similar to tRNA-(MS[2]
[locus_tag=PMM0389],[protein_id=CAE18848.1],[gene=cobI/cbiL],[protein=PRECORRIN-2 C20-METHYLTRANSFERASE]
[locus_tag=PMM0390],[protein_id=CAE18849.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0391],[protein_id=CAE18850.1],[gene=None],[protein=GTP-binding protein (HSR1-related)]
[locus_tag=PMM0392],[protein_id=CAE18851.1],[gene=None],[protein=possible cobalt transport protein]
[locus_tag=PMM0393],[protein_id=CAE18852.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0394],[protein_id=CAE18853.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0395],[protein_id=CAE18854.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0396],[protein_id=CAE18855.1],[gene=proC],[protein=Delta 1-pyrroline-5-carboxylate reductase]
[locus_tag=PMM0397],[protein_id=CAE18856.1],[gene=None],"[protein=possible Glycosyl transferase, group 1]"
[locus_tag=PMM0398],[protein_id=CAE18857.1],[gene=None],[protein=possible Recombination protein O (RecO)]
[locus_tag=PMM0399],[protein_id=CAE18858.1],[gene=None],[protein=Putative deoxyribose-phosphate aldolase]
[locus_tag=PMM0400],[protein_id=CAE18859.1],[gene=lrtA],[protein=light repressed protein A homolog]
[locus_tag=PMM0401],[protein_id=CAE18860.1],[gene=lipB],[protein=putative lipoate-protein ligase B]
[locus_tag=PMM0402],[protein_id=CAE18861.1],[gene=fadD],[protein=putative long-chain-fatty-acid--CoA ligase]
[locus_tag=PMM0403],[protein_id=CAE18862.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0405],[protein_id=CAE18864.1],[gene=pdhC],[protein=Dihydrolipoamide acetyltransferase component (E2) of pyruvate de]
[locus_tag=PMM0406],[protein_id=CAE18865.1],[gene=queA],[protein=Queuosine biosynthesis protein]
[locus_tag=PMM0407],[protein_id=CAE18866.1],[gene=cysK1],[protein=O-acetylserine (thiol)-lyase A]
[locus_tag=PMM0408],[protein_id=CAE18867.1],[gene=None],[protein=possible Cystathionine gamma-synthase]
[locus_tag=PMM0409],[protein_id=CAE18868.1],[gene=metB],[protein=putative Cystathionine gamma-synthase]
[locus_tag=PMM0410],[protein_id=CAE18869.1],"[gene=rpsD,rps4]",[protein=30S ribosomal protein S4]
[locus_tag=PMM0411],[protein_id=CAE18870.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0412],[protein_id=CAE18871.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0413],[protein_id=CAE18872.1],[gene=murE],[protein=UDP-N-acetylmuramyl-tripeptide synthetase]
[locus_tag=PMM0414],[protein_id=CAE18873.1],[gene=None],[protein=putative short chain dehydrogenase]
[locus_tag=PMM0415],[protein_id=CAE18874.1],[gene=None],[protein=putative L-cysteine/cystine lyase]
[locus_tag=PMM0416],[protein_id=CAE18875.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0418],[protein_id=CAE18877.1],[gene=None],[protein=NifU-like protein]
[locus_tag=PMM0419],[protein_id=CAE18878.1],[gene=mqo],[protein=putative malate/quinone oxidoreductase]
[locus_tag=PMM0420],[protein_id=CAE18879.1],[gene=lepA],[protein=GTP-binding protein LepA]
[locus_tag=PMM0421],[protein_id=CAE18880.1],[gene=None],"[protein=putative ABC transporter, oligopeptides]"
[locus_tag=PMM0422],[protein_id=CAE18881.1],[gene=None],[protein=tRNA/rRNA methyltransferase (SpoU)]
[locus_tag=PMM0423],[protein_id=CAE18882.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0424],[protein_id=CAE18883.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0425],[protein_id=CAE18884.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0426],[protein_id=CAE18885.1],[gene=None],[protein=Sun protein (Fmu protein)]
[locus_tag=PMM0427],[protein_id=CAE18886.1],[gene=None],[protein=putative penicillin binding protein]
[locus_tag=PMM0428],[protein_id=CAE18887.1],[gene=chlG],[protein=chlorophyll synthase 33 kD subunit]
[locus_tag=PMM0429],[protein_id=CAE18888.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0430],[protein_id=CAE18889.1],[gene=hisF],[protein=Imidazole glycerol phosphate synthase subunit HisF (cyclase)]
[locus_tag=PMM0431],[protein_id=CAE18890.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0433],[protein_id=CAE18892.1],[gene=BirA],[protein=putative Biotin--acetyl-CoA-carboxylase ligase]
[locus_tag=PMM0434],[protein_id=CAE18893.1],[gene=None],"[protein=possible ABC transporter, ATP binding protein]"
[locus_tag=PMM0435],[protein_id=CAE18894.1],[gene=ndhB],[protein=putative NADH dehydrogenase (complex I) subunit (chain 2)]
[locus_tag=PMM0436],[protein_id=CAE18895.1],[gene=topA],[protein=Prokaryotic DNA topoisomerase]
[locus_tag=PMM0438],[protein_id=CAE18897.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0439],[protein_id=CAE18898.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0440],[protein_id=CAE18899.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0441],[protein_id=CAE18900.1],[gene=None],[protein=Aldo/keto reductase family]
[locus_tag=PMM0442],[protein_id=CAE18901.1],[gene=ribE],[protein=Putative Riboflavin synthase alpha chain]
[locus_tag=PMM0443],[protein_id=CAE18902.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0444],[protein_id=CAE18903.1],[gene=ctaE],"[protein=Cytochrome c oxidase, subunit III]"
[locus_tag=PMM0445],[protein_id=CAE18904.1],[gene=ctaD (coxA)],"[protein=Cytochrome c oxidase, subunit I]"
[locus_tag=PMM0446],[protein_id=CAE18905.1],[gene=ctaC (coxB)],"[protein=putative cytochrome c oxidase, subunit 2]"
[locus_tag=PMM0447],[protein_id=CAE18906.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0448],[protein_id=CAE18907.1],[gene=ctaB],[protein=putative protoheme IX farnesyltransferase]
[locus_tag=PMM0449],[protein_id=CAE18908.1],[gene=None],[protein=putative multidrug efflux ABC transporter]
[locus_tag=PMM0450],[protein_id=CAE18909.1],[gene=None],[protein=putative multidrug efflux ABC transporter]
[locus_tag=PMM0452],[protein_id=CAE18911.1],"[gene=groEL2,cpn60-2]",[protein=GroEL2 protein (Chaperonin cpn60 2)]
[locus_tag=PMM0453],[protein_id=CAE18912.1],[gene=fabG],[protein=3-oxoacyl-[acyl-carrier protein]
[locus_tag=PMM0454],[protein_id=CAE18913.1],[gene=ispD],[protein=putative 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase]
[locus_tag=PMM0455],[protein_id=CAE18914.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0456],[protein_id=CAE18915.1],[gene=ubiA],[protein=probable 4-hydroxybenzoate-octaprenyltransferase]
[locus_tag=PMM0457],[protein_id=CAE18916.1],[gene=ppx],[protein=putative exopolyphosphatase]
[locus_tag=PMM0458],[protein_id=CAE18917.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0459],[protein_id=CAE18918.1],[gene=cobM],[protein=PUTATIVE PRECORRIN-4 C11-METHYLTRANSFERASE]
[locus_tag=PMM0460],[protein_id=CAE18919.1],"[gene=yvoC, lgt, umpA]",[protein=putative prolipoprotein diacylglyceryl transferase]
[locus_tag=PMM0461],[protein_id=CAE18920.1],[gene=petA],[protein=Cytochrome f]
[locus_tag=PMM0462],[protein_id=CAE18921.1],[gene=petC],[protein=Rieske iron-sulfur protein]
[locus_tag=PMM0463],[protein_id=CAE18922.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0464],[protein_id=CAE18923.1],[gene=None],"[protein=protein secretion component, Tat family]"
[locus_tag=PMM0466],[protein_id=CAE18925.1],[gene=None],[protein=possible secreted protein MPB70 precursor]
[locus_tag=PMM0467],[protein_id=CAE18926.1],[gene=gmk],[protein=Guanylate kinase]
[locus_tag=PMM0468],[protein_id=CAE18927.1],[gene=psaJ],[protein=Photosystem I PsaJ protein (subunit IX)]
[locus_tag=PMM0469],[protein_id=CAE18928.1],[gene=psaF],[protein=Photosystem I PsaF protein (subunit III)]
[locus_tag=PMM0470],[protein_id=CAE18929.1],[gene=None],[protein=probable o-sialoglycoprotein endopeptidase]
[locus_tag=PMM0473],[protein_id=CAE18932.1],[gene=gltX],[protein=Glutamyl-tRNA synthetase]
[locus_tag=PMM0474],[protein_id=CAE18933.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMM0475],[protein_id=CAE18934.1],[gene=rpl19],[protein=Ribosomal protein L19]
[locus_tag=PMM0476],[protein_id=CAE18935.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0477],[protein_id=CAE18936.1],[gene=map],[protein=putative methionine aminopeptidase]
[locus_tag=PMM0478],[protein_id=CAE18937.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0479],[protein_id=CAE18938.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0480],[protein_id=CAE18939.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0481],[protein_id=CAE18940.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1851],[protein_id=CAP16355.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMM0482],[protein_id=CAE18941.1],[gene=phb],[protein=Band 7 protein]
[locus_tag=PMM0483],[protein_id=CAE18942.1],"[gene=hemL, gsa]","[protein=glutamate-1-semialdehyde 2,1-aminomutase]"
[locus_tag=PMM0484],[protein_id=CAE18943.1],[gene=xthA],[protein=exodeoxyribonuclease III]
[locus_tag=PMM0486],[protein_id=CAE18945.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0487],[protein_id=CAE18946.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0488],[protein_id=CAE18947.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0489],[protein_id=CAE18948.1],"[gene=futB,hitB]",[protein=putative iron ABC transporter]
[locus_tag=PMM0490],[protein_id=CAE18949.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0491],[protein_id=CAE18950.1],[gene=None],[protein=4a-hydroxytetrahydrobiopterin dehydratase (PCD)]
[locus_tag=PMM0492],[protein_id=CAE18951.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0493],[protein_id=CAE18952.1],[gene=cxp],[protein=Carboxypeptidase Taq (M32) metallopeptidase]
[locus_tag=PMM0494],[protein_id=CAE18953.1],[gene=ppa (ipyR)],[protein=putative inorganic pyrophosphatase]
[locus_tag=PMM0495],[protein_id=CAE18954.1],[gene=hemC],[protein=Porphobilinogen deaminase]
[locus_tag=PMM0496],[protein_id=CAE18955.1],"[gene=sigA, rpoD]",[protein=Putative principal RNA polymerase sigma factor]
[locus_tag=PMM0497],[protein_id=CAE18956.1],[gene=priA],[protein=primosomal protein N' (replication factor Y)]
[locus_tag=PMM0498],[protein_id=CAE18957.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0499],[protein_id=CAE18958.1],[gene=argB],[protein=Aspartokinase superfamily:Acetylglutamate kinase]
[locus_tag=PMM0500],[protein_id=CAE18959.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0501],[protein_id=CAE18960.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0502],[protein_id=CAE18961.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0503],[protein_id=CAE18962.1],[gene=None],[protein=possible precorrin-6X reductase]
[locus_tag=PMM0505],[protein_id=CAE18964.1],[gene=None],[protein=Possible carbohydrate kinase]
[locus_tag=PMM0506],[protein_id=CAE18965.1],"[gene=purA,adeK]",[protein=Adenylosuccinate synthetase]
[locus_tag=PMM0507],[protein_id=CAE18966.1],[gene=psb27],[protein=possible Photosystem II reaction center Psb27 protein]
[locus_tag=PMM0508],[protein_id=CAE18967.1],[gene=proS],[protein=Prolyl-tRNA synthetase]
[locus_tag=PMM0509],[protein_id=CAE18968.1],[gene=None],[protein=possible Helix-turn-helix domain of resolvase]
[locus_tag=PMM0511],[protein_id=CAE18970.1],[gene=ppa (ipyR)],[protein=Inorganic pyrophosphatase]
[locus_tag=PMM0512],[protein_id=CAE18971.1],[gene=None],[protein=putative arsenate reductase]
[locus_tag=PMM0513],[protein_id=CAE18972.1],[gene=lepB],[protein=Signal peptidase I]
[locus_tag=PMM0514],[protein_id=CAE18973.1],[gene=None],[protein=putative dihydroorotase]
[locus_tag=PMM0515],[protein_id=CAE18974.1],[gene=cobC],[protein=possible alpha-ribazole-5'-P phosphatase]
[locus_tag=PMM0516],[protein_id=CAE18975.1],[gene=None],[protein=Possible membrane associated protease]
[locus_tag=PMM0518],[protein_id=CAE18977.1],[gene=ftsI],[protein=putative peptidoglycan synthetase (pbp transpeptidase domain)]
[locus_tag=PMM0519],[protein_id=CAE18978.1],[gene=tal],[protein=Transaldolase]
[locus_tag=PMM0520],[protein_id=CAE18979.1],[gene=None],[protein=NAD binding site]
[locus_tag=PMM0521],[protein_id=CAE18980.1],"[gene=frr,rrf]",[protein=Ribosome recycling factor]
[locus_tag=PMM0522],[protein_id=CAE18981.1],"[gene=pyrH,smbA]",[protein=uridylate kinase]
[locus_tag=PMM0523],[protein_id=CAE18982.1],[gene=cobO],[protein=possible cob(I)alamin adenosyltransferase]
[locus_tag=PMM0524],[protein_id=CAE18983.1],[gene=None],[protein=Phage integrase family]
[locus_tag=PMM0525],[protein_id=CAE18984.1],[gene=None],[protein=Ferrochelatase]
[locus_tag=PMM0526],[protein_id=CAE18985.1],[gene=ilvH],[protein=Acetolactate synthase large subunit]
[locus_tag=PMM0527],[protein_id=CAE18986.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0528],[protein_id=CAE18987.1],[gene=None],[protein=DUF152]
[locus_tag=PMM0529],[protein_id=CAE18988.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0530],[protein_id=CAE18989.1],"[gene=rps1b, rpsA2, nbp1]","[protein=30S ribosomal protein S1 homolog B, putative Nbp1]"
[locus_tag=PMM0531],[protein_id=CAE18990.1],[gene=None],[protein=Creatininase]
[locus_tag=PMM0532],[protein_id=CAE18991.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0533],[protein_id=CAE18992.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0534],[protein_id=CAE18993.1],[gene=accA],"[protein=acetyl-CoA carboxylase, alpha subunit]"
[locus_tag=PMM0535],[protein_id=CAE18994.1],[gene=None],[protein=putative short-chain dehydrogenase]
[locus_tag=PMM0536],[protein_id=CAE18995.1],[gene=folE],[protein=putative GTP cyclohydrolase I]
[locus_tag=PMM0537],[protein_id=CAE18996.1],[gene=trpF],[protein=phosphoribosylanthranilate isomerase]
[locus_tag=PMM0538],[protein_id=CAE18997.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0541],[protein_id=CAE19000.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0542],[protein_id=CAE19001.1],"[gene=por, pcr]",[protein=Light dependent protochlorophyllide oxido-reductase]
[locus_tag=PMM0543],[protein_id=CAE19002.1],"[gene=chlL,frxC]",[protein=Protochlorophyllide reductase iron-sulfur ATP-binding protein]
[locus_tag=PMM0544],[protein_id=CAE19003.1],[gene=chlB],[protein=Light-independent protochlorophyllide reductase subunit B]
[locus_tag=PMM0545],[protein_id=CAE19004.1],[gene=chlN],[protein=Light-independent protochlorophyllide reductase subunit N]
[locus_tag=PMM0546],[protein_id=CAE19005.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM0547],[protein_id=CAE19006.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0548],[protein_id=CAE19007.1],[gene=None],[protein=HAM1 family protein]
[locus_tag=PMM0549],[protein_id=CAE19008.1],[gene=csoS1],[protein=carboxysome shell protein CsoS1]
[locus_tag=PMM0550],[protein_id=CAE19009.1],"[gene=rbcL, cbbL]","[protein=Ribulose bisphosphate carboxylase, large chain]"
[locus_tag=PMM0551],[protein_id=CAE19010.1],"[gene=rbcS, cbbS]","[protein=Ribulose bisphosphate carboxylase, small chain]"
[locus_tag=PMM0552],[protein_id=CAE19011.1],[gene=csoS2],[protein=carboxysome shell protein CsoS2]
[locus_tag=PMM0553],[protein_id=CAE19012.1],[gene=csoS3],[protein=carboxysome shell protein CsoS3]
[locus_tag=PMM0554],[protein_id=CAE19013.1],[gene=None],[protein=putative carboxysome peptide A]
[locus_tag=PMM0555],[protein_id=CAE19014.1],[gene=None],[protein=putative carboxysome peptide B]
[locus_tag=PMM0557],[protein_id=CAE19016.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM0558],[protein_id=CAE19017.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0560],[protein_id=CAE19019.1],[gene=None],[protein=possible ATP phosphoribosyltransferase]
[locus_tag=PMM0561],[protein_id=CAE19020.1],[gene=None],[protein=putative multidrug efflux ABC transporter]
[locus_tag=PMM0562],[protein_id=CAE19021.1],[gene=None],[protein=possible acetyltransferase]
[locus_tag=PMM0563],[protein_id=CAE19022.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0564],[protein_id=CAE19023.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0565],[protein_id=CAE19024.1],[gene=dnaA],[protein=chromosomal replication initiator protein DnaA]
[locus_tag=PMM0566],[protein_id=CAE19025.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0567],[protein_id=CAE19026.1],[gene=gshR],[protein=probable glutathione reductase (NADPH)]
[locus_tag=PMM0568],[protein_id=CAE19027.1],[gene=None],[protein=putative CaCA family sodium/calcium exchanger]
[locus_tag=PMM0569],[protein_id=CAE19028.1],[gene=pyrC],[protein=Dihydroorotase]
[locus_tag=PMM0570],[protein_id=CAE19029.1],[gene=ndhL],[protein=NADH dehydrogenase subunit NdhL (ndhL)]
[locus_tag=PMM0571],[protein_id=CAE19030.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0572],[protein_id=CAE19031.1],[gene=trpA],[protein=Tryptophan synthase alpha chain]
[locus_tag=PMM0573],[protein_id=CAE19032.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0574],[protein_id=CAE19033.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0576],[protein_id=CAE19035.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0577],[protein_id=CAE19036.1],[gene=None],"[protein=Putative type II alternative sigma factor, sigma70 family]"
[locus_tag=PMM0578],[protein_id=CAE19037.1],[gene=None],[protein=Phosphoribosyl-AMP cyclohydrolase]
[locus_tag=PMM0579],[protein_id=CAE19038.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0580],[protein_id=CAE19039.1],[gene=clpB1],"[protein=ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB]"
[locus_tag=PMM0581],[protein_id=CAE19040.1],[gene=petE],[protein=plastocyanin]
[locus_tag=PMM0582],[protein_id=CAE19041.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0583],[protein_id=CAE19042.1],[gene=hemE],[protein=Uroporphyrinogen decarboxylase (URO-D)]
[locus_tag=PMM0584],[protein_id=CAE19043.1],[gene=glgB],"[protein=1,4-alpha-glucan branching enzyme]"
[locus_tag=PMM0585],[protein_id=CAE19044.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0586],[protein_id=CAE19045.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM0587],[protein_id=CAE19046.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM0588],[protein_id=CAE19047.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0589],[protein_id=CAE19048.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM0590],[protein_id=CAE19049.1],[gene=proA],[protein=Gamma-glutamyl phosphate reductase]
[locus_tag=PMM0591],[protein_id=CAE19050.1],[gene=folB],[protein=Possible dihydroneopterin aldolase]
[locus_tag=PMM0592],[protein_id=CAE19051.1],[gene=None],[protein=lipase family protein]
[locus_tag=PMM0593],[protein_id=CAE19052.1],[gene=None],[protein=Peptidase family M3]
[locus_tag=PMM0594],[protein_id=CAE19053.1],[gene=ndhD],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 4)]
[locus_tag=PMM0595],[protein_id=CAE19054.1],[gene=thrB],[protein=Homoserine kinase:GHMP kinases putative ATP-binding domain]
