[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=SynWH7803_0001],[protein_id=CAK22427.1],[gene=dnaN],[protein=DNA polymerase III beta subunit],[evalue=1.10156E-156]
[locus_tag=PMM0196],[protein_id=CAE18655.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2360],[protein_id=CAK24786.1],[gene=None],[protein=Uncharacterized conserved secreted protein],[evalue=4.55544E-37]
[locus_tag=PMM0197],[protein_id=CAE18656.1],[gene=murG],[protein=Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase],[locus_tag=SynWH7803_2361],[protein_id=CAK24787.1],[gene=None],[protein=Glycosyltransferase of family GT28; probable undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase],[evalue=1.60968E-100]
[locus_tag=PMM0198],[protein_id=CAE18657.1],[gene=hisC/cobC],[protein=Aminotransferases class-I],[locus_tag=SynWH7803_2362],[protein_id=CAK24788.1],[gene=None],[protein=Histidinol-phosphate/aromatic aminotransferase related enzyme],[evalue=3.23514E-125],[locus_tag=SynWH7803_2331],[protein_id=CAK24757.1],[gene=hisC],[protein=Histidinol-phosphate aminotransferase],[evalue=9.55053E-13]
[locus_tag=PMM0199],[protein_id=CAE18658.1],[gene=pyrD],[protein=Dihydroorotate dehydrogenase],[locus_tag=SynWH7803_2368],[protein_id=CAK24794.1],[gene=pyrD],[protein=Dihydroorotate dehydrogenase],[evalue=2.56819E-144]
[locus_tag=PMM0200],[protein_id=CAE18659.1],[gene=rnhA],[protein=possible ribonuclease HI],[locus_tag=SynWH7803_2369],[protein_id=CAK24795.1],[gene=rnhA],[protein=Ribonuclease H],[evalue=3.73969E-65]
[locus_tag=PMM0201],[protein_id=CAE18660.1],"[gene=rpl12, rplL, rpl7]",[protein=50S ribosomal protein L7/L12],[locus_tag=SynWH7803_2371],[protein_id=CAK24797.1],[gene=rplL],[protein=50S ribosomal protein L7/L12],[evalue=6.30779E-57]
[locus_tag=PMM0202],[protein_id=CAE18661.1],"[gene=rpl10, rplJ]",[protein=50S ribosomal protein L10],[locus_tag=SynWH7803_2372],[protein_id=CAK24798.1],[gene=rplJ],[protein=50S ribosomal protein L10],[evalue=3.90168E-97]
[locus_tag=PMM0203],[protein_id=CAE18662.1],"[gene=rpl1, rplA]",[protein=50S ribosomal protein L1],[locus_tag=SynWH7803_2373],[protein_id=CAK24799.1],[gene=rplA],[protein=50S ribosomal protein L1],[evalue=2.64956E-138]
[locus_tag=PMM0204],[protein_id=CAE18663.1],"[gene=rpl11, rplK]",[protein=50S ribosomal protein L11],[locus_tag=SynWH7803_2374],[protein_id=CAK24800.1],[gene=rplK],[protein=50S ribosomal protein L11],[evalue=1.23364E-96]
[locus_tag=PMM0205],[protein_id=CAE18664.1],[gene=nusG],"[protein=transcription antitermination protein, NusG]",[locus_tag=SynWH7803_2375],[protein_id=CAK24801.1],[gene=nusG],[protein=Transcription antiterminator protein NusG],[evalue=3.24157E-121]
[locus_tag=PMM0206],[protein_id=CAE18665.1],[gene=secE],"[protein=putative preprotein translocase, SecE subunit]",[locus_tag=SynWH7803_2376],[protein_id=CAK24802.1],[gene=secE],[protein=Preprotein translocase SecE subunit],[evalue=9.05714E-27]
[locus_tag=PMM0207],[protein_id=CAE18666.1],[gene=clpB2],"[protein=putative ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB]",[locus_tag=SynWH7803_2377],[protein_id=CAK24803.1],[gene=clpB],[protein=Chaperone ClpB],[evalue=0.00000E+00],[locus_tag=SynWH7803_2377],[protein_id=CAK24803.1],[gene=clpB],[protein=Chaperone ClpB],[evalue=7.05043E-32],[locus_tag=SynWH7803_0748],[protein_id=CAK23174.1],[gene=clpB],[protein=Chaperone ClpB],[evalue=0.00000E+00]
[locus_tag=PMM0208],[protein_id=CAE18667.1],[gene=eno],[protein=Enolase],[locus_tag=SynWH7803_2379],[protein_id=CAK24805.1],[gene=eno],[protein=Enolase],[evalue=0.00000E+00]
[locus_tag=PMM0209],[protein_id=CAE18668.1],[gene=None],[protein=possible kinase],[locus_tag=SynWH7803_2380],[protein_id=CAK24806.1],[gene=None],[protein=Predicted protein kinase],[evalue=0.00000E+00],[locus_tag=SynWH7803_1542],[protein_id=CAK23968.1],[gene=aarF],[protein=Predicted protein kinase],[evalue=2.52439E-75],[locus_tag=SynWH7803_2531],[protein_id=CAK24957.1],[gene=None],[protein=Predicted protein kinase],[evalue=1.23258E-70]
[locus_tag=PMM0211],[protein_id=CAE18670.1],[gene=trxB],[protein=FAD-dependent pyridine nucleotide-disulphide oxidoreductase],[locus_tag=SynWH7803_1634],[protein_id=CAK24060.1],[gene=trxB],[protein=Thioredoxin reductase],[evalue=2.11864E-44]
[locus_tag=PMM0214],[protein_id=CAE18673.1],[gene=None],[protein=putative sulfate transporter],[locus_tag=SynWH7803_2102],[protein_id=CAK24528.1],[gene=None],"[protein=Sulfate permease, MSF superfamily]",[evalue=0.00000E+00],[locus_tag=SynWH7803_0719],[protein_id=CAK23145.1],[gene=None],"[protein=Sulfate permease, MFS superfamily]",[evalue=1.74778E-146],[locus_tag=SynWH7803_1420],[protein_id=CAK23846.1],[gene=None],"[protein=Sulfate permease, MFS superfamily]",[evalue=3.98231E-38]
[locus_tag=PMM0215],[protein_id=CAE18674.1],[gene=None],[protein=Delta-aminolevulinic acid dehydratase],[locus_tag=SynWH7803_2099],[protein_id=CAK24525.1],[gene=hemB],[protein=Delta-aminolevulinic acid dehydratase],[evalue=0.00000E+00]
[locus_tag=PMM0216],[protein_id=CAE18675.1],[gene=None],[protein=Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily],[locus_tag=SynWH7803_2098],[protein_id=CAK24524.1],[gene=None],[protein=Putative lactoylglutathione lyase],[evalue=2.24948E-62]
[locus_tag=PMM0217],[protein_id=CAE18676.1],[gene=mutS],[protein=putative DNA mismatch repair protein MutS family],[locus_tag=SynWH7803_2097],[protein_id=CAK24523.1],[gene=None],[protein=Mismatch repair ATPase (MutS family)],[evalue=0.00000E+00],[locus_tag=SynWH7803_0084],[protein_id=CAK22510.1],[gene=mutS],[protein=DNA mismatch repair protein MutS],[evalue=8.55730E-14]
[locus_tag=PMM0218],[protein_id=CAE18677.1],[gene=None],[protein=GTP1/OBG family],[locus_tag=SynWH7803_2095],[protein_id=CAK24521.1],[gene=obg],[protein=Predicted GTPase],[evalue=3.39245E-132],[locus_tag=SynWH7803_1615],[protein_id=CAK24041.1],[gene=None],[protein=Predicted GTPase],[evalue=2.41274E-14]
[locus_tag=PMM0219],[protein_id=CAE18678.1],[gene=None],[protein=conserved hypothetical],[locus_tag=SynWH7803_2094],[protein_id=CAK24520.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.69462E-29]
[locus_tag=PMM0220],[protein_id=None],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2093],[protein_id=CAK24519.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=3.44500E-29]
[locus_tag=PMM0221],[protein_id=CAE18680.1],[gene=None],[protein=Glutathione S-transferase C terminus],[locus_tag=SynWH7803_2089],[protein_id=CAK24515.1],[gene=None],[protein=Predicted glutathione S-transferase],[evalue=2.40880E-77]
[locus_tag=PMM0222],[protein_id=CAE18681.1],[gene=None],[protein=putative aspartoacylase],[locus_tag=SynWH7803_2088],[protein_id=CAK24514.1],[gene=None],[protein=Succinylglutamate desuccinylase / Aspartoacylase family protein],[evalue=1.31362E-91]
[locus_tag=PMM0223],[protein_id=CAE18682.1],[gene=psbA],[protein=Photosystem II PsbA protein (D1)],[locus_tag=SynWH7803_0784],[protein_id=CAK23210.1],[gene=psbA],[protein=Photosystem II protein D1],[evalue=0.00000E+00],[locus_tag=SynWH7803_2084],[protein_id=CAK24510.1],[gene=psbA],[protein=Photosystem II protein D1],[evalue=0.00000E+00],[locus_tag=SynWH7803_0790],[protein_id=CAK23216.1],[gene=psbA],[protein=Photosystem II protein D1],[evalue=0.00000E+00]
[locus_tag=PMM0224],[protein_id=CAE18683.1],[gene=aroC],[protein=Chorismate synthase],[locus_tag=SynWH7803_0358],[protein_id=CAK22784.1],[gene=aroC],[protein=Chorismate synthase],[evalue=0.00000E+00]
[locus_tag=PMM0225],[protein_id=CAE18684.1],[gene=None],[protein=possible 2-keto-3-deoxy-6-phosphogluconate aldolase],[locus_tag=SynWH7803_0356],[protein_id=CAK22782.1],[gene=kdgA],[protein=KHG/KDPG aldolase (4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxyphosphogluconate aldolase],[evalue=1.53570E-28]
[locus_tag=PMM0226],[protein_id=CAE18685.1],[gene=ftsH2],[protein=cell division protein FtsH2],[locus_tag=SynWH7803_0355],[protein_id=CAK22781.1],[gene=ftsH],[protein=Cell division protein FtsH],[evalue=0.00000E+00],[locus_tag=SynWH7803_1216],[protein_id=CAK23642.1],[gene=ftsH],[protein=Cell division protein FtsH],[evalue=0.00000E+00],[locus_tag=SynWH7803_1689],[protein_id=CAK24115.1],[gene=ftsH],[protein=Cell division protein FtsH],[evalue=0.00000E+00]
[locus_tag=PMM0227],[protein_id=CAE18686.1],[gene=cysD],[protein=ATP-sulfurylase],[locus_tag=SynWH7803_0354],[protein_id=CAK22780.1],[gene=cysD],[protein=Sulfate adenylyltransferase],[evalue=0.00000E+00]
[locus_tag=PMM0228],[protein_id=CAE18687.1],[gene=psbO],[protein=Photosystem II manganese-stabilizing protein],[locus_tag=SynWH7803_0353],[protein_id=CAK22779.1],[gene=psbO],[protein=Photosystem II manganese-stabilizing protein PsbO],[evalue=9.09826E-91]
[locus_tag=PMM0229],[protein_id=CAE18688.1],[gene=dfp (coaBC)],[protein=putative p-pantothenate cysteine ligase and p-pantothenenoylcysteine decarboxylase],[locus_tag=SynWH7803_0351],[protein_id=CAK22777.1],[gene=dfp],[protein=Coenzyme A biosynthesis bifunctional protein coaBC (DNA/pantothenate metabolism flavoprotein)],[evalue=7.06844E-115]
[locus_tag=PMM0231],[protein_id=CAE18690.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0347],[protein_id=CAK22773.1],[gene=None],[protein=Conserved hpothetical protein],[evalue=3.78416E-29]
[locus_tag=PMM0232],[protein_id=CAE18691.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0346],[protein_id=CAK22772.1],[gene=None],[protein=Conserved membrane protein],[evalue=9.56896E-20],[locus_tag=SynWH7803_1113],[protein_id=CAK23539.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.00109E-11]
[locus_tag=PMM0233],[protein_id=CAE18692.1],[gene=pyrB],[protein=aspartate carbamoyltransferase],[locus_tag=SynWH7803_0344],[protein_id=CAK22770.1],[gene=pyrB],[protein=Aspartate carbamoyltransferase],[evalue=1.03886E-137],[locus_tag=SynWH7803_1688],[protein_id=CAK24114.1],[gene=argF],[protein=Ornithine carbamoyltransferase],[evalue=3.09655E-16]
[locus_tag=PMM0234],[protein_id=CAE18693.1],[gene=None],[protein=possible Methylpurine-DNA glycosylase (MPG)],[locus_tag=SynWH7803_0343],[protein_id=CAK22769.1],[gene=None],[protein=Putative 3-methyladenine DNA glycosylase],[evalue=1.43195E-66]
[locus_tag=PMM0235],[protein_id=CAE18694.1],[gene=gatC],[protein=Glutamyl-tRNA(Gln) amidotransferase subunit C],[locus_tag=SynWH7803_0338],[protein_id=CAK22764.1],[gene=gatC],[protein=Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C],[evalue=1.83864E-33]
[locus_tag=PMM0236],[protein_id=None],[gene=crtR],[protein=beta carotene hydroxylase],[locus_tag=SynWH7803_0337],[protein_id=CAK22763.1],[gene=crtR],[protein=Beta-carotene hydroxylase],[evalue=6.22298E-175]
[locus_tag=PMM1806],[protein_id=CAP16310.1],[gene=None],[protein=Beta-carotene hydroxylase],[locus_tag=SynWH7803_0337],[protein_id=CAK22763.1],[gene=crtR],[protein=Beta-carotene hydroxylase],[evalue=1.02308E-146]
[locus_tag=PMM0238],[protein_id=CAE18697.1],[gene=ileS],[protein=Isoleucyl-tRNA synthetase],[locus_tag=SynWH7803_0335],[protein_id=CAK22761.1],[gene=ileS],[protein=Isoleucyl-tRNA synthetase],[evalue=0.00000E+00],[locus_tag=SynWH7803_2440],[protein_id=CAK24866.1],[gene=valS],[protein=Valyl-tRNA synthetase],[evalue=3.04673E-72],[locus_tag=SynWH7803_1260],[protein_id=CAK23686.1],[gene=leuS],[protein=Leucyl-tRNA synthetase],[evalue=1.23603E-18]
[locus_tag=PMM0239],[protein_id=CAE18698.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0333],[protein_id=CAK22759.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=9.20153E-52]
[locus_tag=PMM0240],[protein_id=CAE18699.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0331],[protein_id=CAK22757.1],[gene=None],[protein=tRNA (guanine-N(7)-)-methyltransferase],[evalue=1.99315E-45]
[locus_tag=PMM0241],[protein_id=CAE18700.1],[gene=None],[protein=Phosphotransferase superclass],[locus_tag=SynWH7803_0328],[protein_id=CAK22754.1],[gene=None],[protein=Phosphoglucomutase/phosphomannomutase family protein],[evalue=4.52814E-141],[locus_tag=SynWH7803_0278],[protein_id=CAK22704.1],[gene=None],[protein=Phosphoglucomutase/phosphomannomutase family],[evalue=3.88036E-25]
[locus_tag=PMM0242],[protein_id=CAE18701.1],[gene=txlA],[protein=thioredoxin-like protein TxlA],[locus_tag=SynWH7803_0324],[protein_id=CAK22750.1],[gene=None],[protein=Possible thioredoxin],[evalue=9.13353E-35]
[locus_tag=PMM0244],[protein_id=CAE18703.1],[gene=dcd],[protein=dCTP Deaminase],[locus_tag=SynWH7803_0322],[protein_id=CAK22748.1],[gene=dcd],[protein=Deoxycytidine triphosphate deaminase],[evalue=1.99594E-127]
[locus_tag=PMM0245],[protein_id=CAE18704.1],[gene=None],[protein=cob(I)alamin adenosyltransferase],[locus_tag=SynWH7803_0321],[protein_id=CAK22747.1],[gene=cobA],[protein=cob(I)alamin adenosyltransferase],[evalue=4.08701E-40]
[locus_tag=PMM0246],[protein_id=CAE18705.1],[gene=ntcA],"[protein=Global nitrogen regulatory protein, CRP family of transcriptional regulators]",[locus_tag=SynWH7803_0319],[protein_id=CAK22745.1],[gene=ntcA],[protein=Global nitrogen regulator],[evalue=1.70192E-130],[locus_tag=SynWH7803_1046],[protein_id=CAK23472.1],[gene=ptrA],"[protein=Potential phosphate regulator, Crp family transcriptional regulatory protein]",[evalue=2.06199E-19]
[locus_tag=PMM0247],[protein_id=CAE18706.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0318],[protein_id=CAK22744.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.37366E-67]
[locus_tag=PMM0248],[protein_id=CAE18707.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0317],[protein_id=CAK22743.1],[gene=None],"[protein=Polynucleotidyl transferase, Ribonuclease H fold superfamily]",[evalue=1.07019E-28]
[locus_tag=PMM0249],[protein_id=CAE18708.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0316],[protein_id=CAK22742.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.09086E-27]
[locus_tag=PMM0250],[protein_id=CAE18709.1],[gene=pth],[protein=Peptidyl-tRNA hydrolase],[locus_tag=SynWH7803_0315],[protein_id=CAK22741.1],[gene=pth],[protein=Peptidyl-tRNA hydrolase],[evalue=1.27583E-55]
[locus_tag=PMM0251],[protein_id=CAE18710.1],[gene=psbH],[protein=Photosystem II PsbH protein],[locus_tag=SynWH7803_0313],[protein_id=CAK22739.1],[gene=psbH],[protein=Photosystem II reaction center H protein],[evalue=9.95352E-17]
[locus_tag=PMM0252],[protein_id=CAE18711.1],[gene=psbN],[protein=Photosystem II reaction centre N protein (psbN)],[locus_tag=SynWH7803_0312],[protein_id=CAK22738.1],[gene=psbN],[protein=Photosystem II reaction center N protein],[evalue=1.22855E-16]
[locus_tag=PMM0253],[protein_id=CAE18712.1],[gene=None],[protein=photosystem II reaction center PsbI protein],[locus_tag=SynWH7803_0310],[protein_id=CAK22736.1],[gene=psbI],[protein=Photosystem II reaction center I protein],[evalue=3.68186E-20]
[locus_tag=PMM0254],[protein_id=CAE18713.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0309],[protein_id=CAK22735.1],[gene=None],[protein=Uncharacterized conserved secreted protein],[evalue=1.87074E-78]
[locus_tag=PMM0255],[protein_id=CAE18714.1],[gene=leuD],[protein=3-isopropylmalate dehydratase small subunit],[locus_tag=SynWH7803_0307],[protein_id=CAK22733.1],[gene=leuD],[protein=3-isopropylmalate dehydratase small subunit],[evalue=1.78557E-69]
[locus_tag=PMM0256],[protein_id=CAE18715.1],[gene=leuC],[protein=3-isopropylmalate dehydratase large subunit],[locus_tag=SynWH7803_0306],[protein_id=CAK22732.1],[gene=leuC],[protein=3-isopropylmalate dehydratase large subunit],[evalue=0.00000E+00]
[locus_tag=PMM0257],[protein_id=CAE18716.1],[gene=None],[protein=Molybdenum cofactor biosynthesis protein],[locus_tag=SynWH7803_0305],[protein_id=CAK22731.1],[gene=cinA],[protein=CinA-like protein],[evalue=1.46197E-151]
[locus_tag=PMM0258],[protein_id=CAE18717.1],[gene=glyA],[protein=Serine hydroxymethyltransferase (SHMT)],[locus_tag=SynWH7803_0303],[protein_id=CAK22729.1],[gene=glyA],[protein=Glycine/serine hydroxymethyltransferase],[evalue=0.00000E+00]
[locus_tag=PMM0259],[protein_id=CAE18718.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0302],[protein_id=CAK22728.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=6.30465E-22]
[locus_tag=PMM0260],[protein_id=CAE18719.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0301],[protein_id=CAK22727.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.92725E-23]
[locus_tag=PMM0261],[protein_id=CAE18720.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0299],[protein_id=CAK22725.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=7.76813E-99]
[locus_tag=PMM0262],[protein_id=CAE18721.1],[gene=None],[protein=putative sugar fermentation stimulation protein],[locus_tag=SynWH7803_0298],[protein_id=CAK22724.1],[gene=sfsA],"[protein=DNA-binding protein, sugar fermentation stimulation protein homolog]",[evalue=2.12820E-108]
[locus_tag=PMM0263],[protein_id=CAE18722.1],[gene=amt1],[protein=Ammonium transporter family],[locus_tag=SynWH7803_0297],[protein_id=CAK22723.1],[gene=amt1],[protein=Ammonium transporter],[evalue=0.00000E+00]
[locus_tag=PMM0264],[protein_id=CAE18723.1],[gene=lytB],[protein=LytB protein homolog],[locus_tag=SynWH7803_0296],[protein_id=CAK22722.1],[gene=lytB],[protein=4-hydroxy-3-methylbut-2-enyl diphosphate reductase],[evalue=0.00000E+00]
[locus_tag=PMM0266],[protein_id=CAE18725.1],[gene=purH],[protein=AICARFT/IMPCHase bienzyme:Methylglyoxal synthase-like domain],[locus_tag=SynWH7803_0293],[protein_id=CAK22719.1],[gene=purH],[protein=Bifunctional purine biosynthesis protein (AICAR transformylase/IMP cyclohydrolase)],[evalue=0.00000E+00]
[locus_tag=PMM0267],[protein_id=CAE18726.1],[gene=None],[protein=probable esterase],[locus_tag=SynWH7803_0292],[protein_id=CAK22718.1],[gene=None],[protein=Predicted esterase],[evalue=8.07301E-56]
[locus_tag=PMM0268],[protein_id=CAE18727.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0291],[protein_id=CAK22717.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.41032E-66]
[locus_tag=PMM0269],[protein_id=CAE18728.1],[gene=None],[protein=two-component sensor histidine kinase],[locus_tag=SynWH7803_0290],[protein_id=CAK22716.1],[gene=None],[protein=Two-component system sensor histidine kinase],[evalue=2.54646E-88]
[locus_tag=PMM0270],[protein_id=CAE18729.1],[gene=CobS],[protein=Cobalamin-5-phosphate synthase CobS],[locus_tag=SynWH7803_0289],[protein_id=CAK22715.1],[gene=cobS],[protein=Cobalamin synthase],[evalue=1.44905E-25]
[locus_tag=PMM0271],[protein_id=CAE18730.1],[gene=tgt],[protein=tRNA-guanine transglycosylase],[locus_tag=SynWH7803_0288],[protein_id=CAK22714.1],[gene=tgt],[protein=Queuine tRNA-ribosyltransferase],[evalue=0.00000E+00]
[locus_tag=PMM0272],[protein_id=CAE18731.1],[gene=None],[protein=Photosystem II protein PsbK],[locus_tag=SynWH7803_0287],[protein_id=CAK22713.1],[gene=psbK],[protein=Photosystem II protein PsbK],[evalue=2.34236E-17]
[locus_tag=PMM0273],[protein_id=CAE18732.1],[gene=None],[protein=probable oxidoreductase],[locus_tag=SynWH7803_0284],[protein_id=CAK22710.1],[gene=None],[protein=Possible oxidoreductase],[evalue=0.00000E+00]
[locus_tag=PMM0274],[protein_id=CAE18733.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0283],[protein_id=CAK22709.1],[gene=None],"[protein=Uncharacterized conserved membrane protein, possibly Mg2+ andCo2+ efflux transporter]",[evalue=1.66902E-154]
[locus_tag=PMM0275],[protein_id=CAE18734.1],[gene=pyrE],[protein=Orotate phosphoribosyltransferase],[locus_tag=SynWH7803_0281],[protein_id=CAK22707.1],[gene=pyrE],[protein=Orotate phosphoribosyltransferase],[evalue=1.40158E-66]
[locus_tag=PMM0276],[protein_id=CAE18735.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0280],[protein_id=CAK22706.1],[gene=None],[protein=Predicted aminomethyltransferase related to glycine cleavage T-protein (GcvT)],[evalue=4.27295E-41]
[locus_tag=PMM0277],[protein_id=CAE18736.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0279],[protein_id=CAK22705.1],[gene=None],[protein=Predicted nuclease (RecB family)],[evalue=1.08873E-111]
[locus_tag=PMM0278],[protein_id=CAE18737.1],[gene=None],[protein=Phosphotransferase superclass],[locus_tag=SynWH7803_0278],[protein_id=CAK22704.1],[gene=None],[protein=Phosphoglucomutase/phosphomannomutase family],[evalue=3.77500E-156],[locus_tag=SynWH7803_0328],[protein_id=CAK22754.1],[gene=None],[protein=Phosphoglucomutase/phosphomannomutase family protein],[evalue=1.69860E-23],[locus_tag=SynWH7803_2164],[protein_id=CAK24590.1],[gene=pmg],[protein=Phosphoglucomutase],[evalue=9.86993E-23]
[locus_tag=PMM0279],[protein_id=CAE18738.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0277],[protein_id=CAK22703.1],[gene=None],[protein=HAM1 NTPase family protein],[evalue=4.84308E-60],[locus_tag=SynWH7803_0676],[protein_id=CAK23102.1],[gene=None],[protein=Xanthosine triphosphate pyrophosphatase],[evalue=3.26879E-37]
[locus_tag=PMM0280],[protein_id=CAE18739.1],[gene=None],[protein=Retinal pigment epithelial membrane protein],[locus_tag=SynWH7803_0270],[protein_id=CAK22696.1],[gene=None],"[protein=Lignostilbene-alpha, beta-dioxygenase]",[evalue=0.00000E+00]
[locus_tag=PMM0281],[protein_id=CAE18740.1],[gene=hisB],[protein=Imidazoleglycerol-phosphate dehydratase],[locus_tag=SynWH7803_0269],[protein_id=CAK22695.1],[gene=hisB],[protein=Imidazoleglycerol-phosphate dehydratase],[evalue=6.04717E-108]
[locus_tag=PMM0282],[protein_id=CAE18741.1],[gene=fabI],[protein=enoyl-[acyl-carrier-protein],[locus_tag=SynWH7803_0268],[protein_id=CAK22694.1],[gene=fabI],[protein=Enoyl-[acyl-carrier-protein],[evalue=1.24004E-172]
[locus_tag=PMM0283],[protein_id=CAE18742.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0264],[protein_id=CAK22690.1],[gene=None],[protein=Possible thioredoxin],[evalue=8.82507E-63]
[locus_tag=PMM0284],[protein_id=CAE18743.1],[gene=degT],[protein=putative pleiotropic regulatory protein],[locus_tag=SynWH7803_0263],[protein_id=CAK22689.1],[gene=degT],[protein=Pleiotropic regulatory protein],[evalue=6.75360E-148]
[locus_tag=PMM0285],[protein_id=CAE18744.1],[gene=phr],[protein=putative DNA photolyase],[locus_tag=SynWH7803_0262],[protein_id=CAK22688.1],[gene=phr],[protein=Deoxyribodipyrimidine photolyase],[evalue=3.11122E-171],[locus_tag=SynWH7803_0636],[protein_id=CAK23062.1],[gene=phr],[protein=Deoxyribodipyrimidine photolyase],[evalue=4.76241E-24],[locus_tag=SynWH7803_0267],[protein_id=CAK22693.1],[gene=None],[protein=FAD binding domain of DNA photolyase],[evalue=1.11094E-15]
[locus_tag=PMM0286],[protein_id=CAE18745.1],[gene=None],[protein=NUDIX hydrolase],[locus_tag=SynWH7803_0261],[protein_id=CAK22687.1],[gene=None],[protein=NUDIX hydrolase],[evalue=2.30817E-75]
[locus_tag=PMM0287],[protein_id=CAE18746.1],[gene=folK],[protein=possible 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase],[locus_tag=SynWH7803_0259],[protein_id=CAK22685.1],[gene=folK],[protein=2-amino-4-hydroxy-6-hydroxymethyldihydropteridinepyrophosphokinase],[evalue=3.13751E-29]
[locus_tag=PMM0288],[protein_id=CAE18747.1],[gene=chlD],"[protein=Protoporphyrin IX Magnesium chelatase, ChlD subunit]",[locus_tag=SynWH7803_0258],[protein_id=CAK22684.1],[gene=chlD],[protein=Protoporphyrin IX Mg-chelatase subunit ChlD],[evalue=0.00000E+00],[locus_tag=SynWH7803_1600],[protein_id=CAK24026.1],[gene=chlI],[protein=Protoporphyrin IX Mg-chelatase subunit ChlI],[evalue=3.20553E-57]
[locus_tag=PMM0289],[protein_id=CAE18748.1],[gene=None],[protein=possible ABC transporter],[locus_tag=SynWH7803_0257],[protein_id=CAK22683.1],[gene=None],"[protein=ABC-type transport system, periplasmic component]",[evalue=6.13061E-70]
[locus_tag=PMM0290],[protein_id=CAE18749.1],[gene=None],"[protein=possible ABC transporter, ATP binding component]",[locus_tag=SynWH7803_0256],[protein_id=CAK22682.1],[gene=None],"[protein=ABC-type transport system, ATPase component]",[evalue=1.94219E-123],[locus_tag=SynWH7803_2433],[protein_id=CAK24859.1],[gene=tauB],"[protein=ABC-type anion transport system for nitrate/sulfonate/bicarbonate, ATPase component]",[evalue=5.74419E-29],[locus_tag=SynWH7803_0362],[protein_id=CAK22788.1],[gene=proV],[protein=ABC-type glycine betaine/L-proline transport ATP-binding protein ProV],[evalue=1.95942E-28]
[locus_tag=PMM0291],[protein_id=CAE18750.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0255],[protein_id=CAK22681.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=0.00000E+00]
[locus_tag=PMM0292],[protein_id=CAE18751.1],[gene=ndhJ],[protein=putative respiratory-chain NADH dehydrogenase subunit],[locus_tag=SynWH7803_0254],[protein_id=CAK22680.1],[gene=ndhJ],[protein=NAD(P)H-quinone oxidoreductase subunit J],[evalue=6.27554E-71]
[locus_tag=PMM0293],[protein_id=CAE18752.1],[gene=ndhK],[protein=putative respiratory-chain NADH dehydrogenase subunit],[locus_tag=SynWH7803_0253],[protein_id=CAK22679.1],"[gene=ndhK, nukC]",[protein=NAD(P)H-quinone oxidoreductase subunit K],[evalue=3.47817E-132]
