[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=0.00000E+00]
[locus_tag=PMM0467],[protein_id=CAE18926.1],[gene=gmk],[protein=Guanylate kinase],[locus_tag=PMM0467],[protein_id=CAE18926.1],[gene=gmk],[protein=Guanylate kinase],[evalue=5.60796E-134]
[locus_tag=PMM0468],[protein_id=CAE18927.1],[gene=psaJ],[protein=None],[locus_tag=PMM0468],[protein_id=CAE18927.1],[gene=psaJ],[protein=None],[evalue=4.75288E-28]
[locus_tag=PMM0469],[protein_id=CAE18928.1],[gene=psaF],[protein=None],[locus_tag=PMM0469],[protein_id=CAE18928.1],[gene=psaF],[protein=None],[evalue=1.61663E-136]
[locus_tag=PMM0470],[protein_id=CAE18929.1],[gene=None],[protein=probable o-sialoglycoprotein endopeptidase],[locus_tag=PMM0470],[protein_id=CAE18929.1],[gene=None],[protein=probable o-sialoglycoprotein endopeptidase],[evalue=0.00000E+00]
[locus_tag=PMM0471],[protein_id=CAE18930.1],[gene=hli20],[protein=possible high light inducible protein],[locus_tag=PMM0471],[protein_id=CAE18930.1],[gene=hli20],[protein=possible high light inducible protein],[evalue=6.28253E-39]
[locus_tag=PMM0472],[protein_id=CAE18931.1],[gene=None],[protein=None],[locus_tag=PMM0472],[protein_id=CAE18931.1],[gene=None],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM0473],[protein_id=CAE18932.1],[gene=gltX],[protein=Glutamyl-tRNA synthetase],[locus_tag=PMM0473],[protein_id=CAE18932.1],[gene=gltX],[protein=Glutamyl-tRNA synthetase],[evalue=0.00000E+00]
[locus_tag=PMM0474],[protein_id=CAE18933.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0474],[protein_id=CAE18933.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.38119E-40]
[locus_tag=PMM0475],[protein_id=CAE18934.1],[gene=rpl19],[protein=Ribosomal protein L19],[locus_tag=PMM0475],[protein_id=CAE18934.1],[gene=rpl19],[protein=Ribosomal protein L19],[evalue=2.11206E-115]
[locus_tag=PMM0476],[protein_id=CAE18935.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0476],[protein_id=CAE18935.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.67360E-74]
[locus_tag=PMM0477],[protein_id=CAE18936.1],[gene=map],[protein=putative methionine aminopeptidase],[locus_tag=PMM0477],[protein_id=CAE18936.1],[gene=map],[protein=putative methionine aminopeptidase],[evalue=0.00000E+00]
[locus_tag=PMM0478],[protein_id=CAE18937.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0478],[protein_id=CAE18937.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.86752E-168]
[locus_tag=PMM0479],[protein_id=CAE18938.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0479],[protein_id=CAE18938.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0480],[protein_id=CAE18939.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0480],[protein_id=CAE18939.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.76540E-124]
[locus_tag=PMM0481],[protein_id=CAE18940.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0481],[protein_id=CAE18940.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.54153E-116]
[locus_tag=PMM1851],[protein_id=CAP16355.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1851],[protein_id=CAP16355.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=5.20836E-47]
[locus_tag=PMM0482],[protein_id=CAE18941.1],[gene=phb],[protein=Band 7 protein],[locus_tag=PMM0482],[protein_id=CAE18941.1],[gene=phb],[protein=Band 7 protein],[evalue=0.00000E+00]
[locus_tag=PMM0483],[protein_id=CAE18942.1],[gene=None],"[protein=glutamate-1-semialdehyde 2,1-aminomutase]",[locus_tag=PMM0483],[protein_id=CAE18942.1],[gene=None],"[protein=glutamate-1-semialdehyde 2,1-aminomutase]",[evalue=0.00000E+00],[locus_tag=PMM1301],[protein_id=CAE19760.1],[gene=argD],[protein=N-acetylornithine aminotransferase],[evalue=5.07642E-27],[locus_tag=PMM1472],[protein_id=CAE19931.1],[gene=BioA],[protein=putative diaminopelargonic acid synthase],[evalue=7.34907E-18]
[locus_tag=PMM0484],[protein_id=CAE18943.1],[gene=xthA],[protein=exodeoxyribonuclease III],[locus_tag=PMM0484],[protein_id=CAE18943.1],[gene=xthA],[protein=exodeoxyribonuclease III],[evalue=0.00000E+00]
[locus_tag=PMM0485],[protein_id=CAE18944.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0485],[protein_id=CAE18944.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.11083E-67]
[locus_tag=PMM0486],[protein_id=CAE18945.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0486],[protein_id=CAE18945.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.72087E-143]
[locus_tag=PMM0487],[protein_id=CAE18946.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0487],[protein_id=CAE18946.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0488],[protein_id=CAE18947.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0488],[protein_id=CAE18947.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0489],[protein_id=CAE18948.1],[gene=None],[protein=putative iron ABC transporter],[locus_tag=PMM0489],[protein_id=CAE18948.1],[gene=None],[protein=putative iron ABC transporter],[evalue=0.00000E+00]
[locus_tag=PMM0490],[protein_id=CAE18949.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0490],[protein_id=CAE18949.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00],[locus_tag=PMM1033],[protein_id=CAE19492.1],[gene=None],[protein=Cobalamin synthesis protein/P47K],[evalue=2.74095E-55],[locus_tag=PMM0778],[protein_id=CAE19237.1],[gene=cobW],[protein=putative cobalamin synthesis protein],[evalue=2.77548E-29]
[locus_tag=PMM0491],[protein_id=CAE18950.1],[gene=None],[protein=None],[locus_tag=PMM0491],[protein_id=CAE18950.1],[gene=None],[protein=None],[evalue=1.58519E-69]
[locus_tag=PMM0492],[protein_id=CAE18951.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0492],[protein_id=CAE18951.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.71301E-120]
[locus_tag=PMM0493],[protein_id=CAE18952.1],[gene=cxp],[protein=None],[locus_tag=PMM0493],[protein_id=CAE18952.1],[gene=cxp],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM0494],[protein_id=CAE18953.1],[gene=None],[protein=putative inorganic pyrophosphatase],[locus_tag=PMM0494],[protein_id=CAE18953.1],[gene=None],[protein=putative inorganic pyrophosphatase],[evalue=4.52731E-147],[locus_tag=PMM0511],[protein_id=CAE18970.1],[gene=None],[protein=Inorganic pyrophosphatase],[evalue=8.22959E-26]
[locus_tag=PMM0495],[protein_id=CAE18954.1],[gene=hemC],[protein=Porphobilinogen deaminase],[locus_tag=PMM0495],[protein_id=CAE18954.1],[gene=hemC],[protein=Porphobilinogen deaminase],[evalue=0.00000E+00]
[locus_tag=PMM0496],[protein_id=CAE18955.1],[gene=None],[protein=Putative principal RNA polymerase sigma factor],[locus_tag=PMM0496],[protein_id=CAE18955.1],[gene=None],[protein=Putative principal RNA polymerase sigma factor],[evalue=0.00000E+00],[locus_tag=PMM1289],[protein_id=CAE19748.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=2.92303E-85],[locus_tag=PMM1629],[protein_id=CAE20088.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=1.40481E-82]
[locus_tag=PMM0497],[protein_id=CAE18956.1],[gene=priA],[protein=None],[locus_tag=PMM0497],[protein_id=CAE18956.1],[gene=priA],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM0498],[protein_id=CAE18957.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0498],[protein_id=CAE18957.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0499],[protein_id=CAE18958.1],[gene=argB],[protein=None],[locus_tag=PMM0499],[protein_id=CAE18958.1],[gene=argB],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM0500],[protein_id=CAE18959.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0500],[protein_id=CAE18959.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.62543E-129]
[locus_tag=PMM0501],[protein_id=CAE18960.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0501],[protein_id=CAE18960.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.61609E-38]
[locus_tag=PMM0502],[protein_id=CAE18961.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0502],[protein_id=CAE18961.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.13157E-110]
[locus_tag=PMM0503],[protein_id=CAE18962.1],[gene=None],[protein=possible precorrin-6X reductase],[locus_tag=PMM0503],[protein_id=CAE18962.1],[gene=None],[protein=possible precorrin-6X reductase],[evalue=0.00000E+00]
[locus_tag=PMM0504],[protein_id=CAE18963.1],[gene=None],[protein=CutA1 divalent ion tolerance protein],[locus_tag=PMM0504],[protein_id=CAE18963.1],[gene=None],[protein=CutA1 divalent ion tolerance protein],[evalue=5.98352E-73]
[locus_tag=PMM0505],[protein_id=CAE18964.1],[gene=None],[protein=Possible carbohydrate kinase],[locus_tag=PMM0505],[protein_id=CAE18964.1],[gene=None],[protein=Possible carbohydrate kinase],[evalue=0.00000E+00]
[locus_tag=PMM0506],[protein_id=CAE18965.1],[gene=None],[protein=Adenylosuccinate synthetase],[locus_tag=PMM0506],[protein_id=CAE18965.1],[gene=None],[protein=Adenylosuccinate synthetase],[evalue=0.00000E+00]
[locus_tag=PMM0507],[protein_id=CAE18966.1],[gene=psb27],[protein=possible Photosystem II reaction center Psb27 protein],[locus_tag=PMM0507],[protein_id=CAE18966.1],[gene=psb27],[protein=possible Photosystem II reaction center Psb27 protein],[evalue=5.50431E-107]
[locus_tag=PMM0508],[protein_id=CAE18967.1],[gene=proS],[protein=Prolyl-tRNA synthetase],[locus_tag=PMM0508],[protein_id=CAE18967.1],[gene=proS],[protein=Prolyl-tRNA synthetase],[evalue=0.00000E+00]
[locus_tag=PMM0509],[protein_id=CAE18968.1],[gene=None],[protein=possible Helix-turn-helix domain of resolvase],[locus_tag=PMM0509],[protein_id=CAE18968.1],[gene=None],[protein=possible Helix-turn-helix domain of resolvase],[evalue=4.83192E-82]
[locus_tag=PMM0510],[protein_id=CAE18969.1],[gene=None],[protein=None],[locus_tag=PMM0510],[protein_id=CAE18969.1],[gene=None],[protein=None],[evalue=1.24818E-55]
[locus_tag=PMM0511],[protein_id=CAE18970.1],[gene=None],[protein=Inorganic pyrophosphatase],[locus_tag=PMM0511],[protein_id=CAE18970.1],[gene=None],[protein=Inorganic pyrophosphatase],[evalue=1.06605E-136],[locus_tag=PMM0494],[protein_id=CAE18953.1],[gene=None],[protein=putative inorganic pyrophosphatase],[evalue=1.05493E-26]
[locus_tag=PMM0512],[protein_id=CAE18971.1],[gene=None],[protein=putative arsenate reductase],[locus_tag=PMM0512],[protein_id=CAE18971.1],[gene=None],[protein=putative arsenate reductase],[evalue=1.00381E-85]
[locus_tag=PMM0513],[protein_id=CAE18972.1],[gene=lepB],[protein=Signal peptidase I],[locus_tag=PMM0513],[protein_id=CAE18972.1],[gene=lepB],[protein=Signal peptidase I],[evalue=1.20151E-168],[locus_tag=PMM0606],[protein_id=CAE19065.1],[gene=lepB],[protein=leader peptidase I],[evalue=2.84768E-23]
[locus_tag=PMM0514],[protein_id=CAE18973.1],[gene=None],[protein=putative dihydroorotase],[locus_tag=PMM0514],[protein_id=CAE18973.1],[gene=None],[protein=putative dihydroorotase],[evalue=0.00000E+00]
[locus_tag=PMM0515],[protein_id=CAE18974.1],[gene=cobC],[protein=None],[locus_tag=PMM0515],[protein_id=CAE18974.1],[gene=cobC],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM0516],[protein_id=CAE18975.1],[gene=None],[protein=Possible membrane associated protease],[locus_tag=PMM0516],[protein_id=CAE18975.1],[gene=None],[protein=Possible membrane associated protease],[evalue=0.00000E+00]
[locus_tag=PMM0517],[protein_id=CAE18976.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0517],[protein_id=CAE18976.1],[gene=None],[protein=hypothetical protein],[evalue=1.67287E-96]
[locus_tag=PMM0518],[protein_id=CAE18977.1],[gene=ftsI],[protein=None],[locus_tag=PMM0518],[protein_id=CAE18977.1],[gene=ftsI],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM0040],[protein_id=CAE18499.1],[gene=None],[protein=Putative penicillin-binding protein],[evalue=1.27974E-18]
[locus_tag=PMM0519],[protein_id=CAE18978.1],[gene=tal],[protein=Transaldolase],[locus_tag=PMM0519],[protein_id=CAE18978.1],[gene=tal],[protein=Transaldolase],[evalue=0.00000E+00]
[locus_tag=PMM0520],[protein_id=CAE18979.1],[gene=None],[protein=NAD binding site],[locus_tag=PMM0520],[protein_id=CAE18979.1],[gene=None],[protein=NAD binding site],[evalue=0.00000E+00]
[locus_tag=PMM0521],[protein_id=CAE18980.1],[gene=None],[protein=Ribosome recycling factor],[locus_tag=PMM0521],[protein_id=CAE18980.1],[gene=None],[protein=Ribosome recycling factor],[evalue=8.64358E-132]
[locus_tag=PMM0522],[protein_id=CAE18981.1],[gene=None],[protein=uridylate kinase],[locus_tag=PMM0522],[protein_id=CAE18981.1],[gene=None],[protein=uridylate kinase],[evalue=1.33140E-174]
[locus_tag=PMM0523],[protein_id=CAE18982.1],[gene=cobO],[protein=None],[locus_tag=PMM0523],[protein_id=CAE18982.1],[gene=cobO],[protein=None],[evalue=8.41344E-173],[locus_tag=PMM1570],[protein_id=CAE20029.1],[gene=None],[protein=None],[evalue=9.06757E-20],[locus_tag=PMM1570],[protein_id=CAE20029.1],[gene=None],[protein=None],[evalue=4.21704E-18]
[locus_tag=PMM0524],[protein_id=CAE18983.1],[gene=None],[protein=Phage integrase family],[locus_tag=PMM0524],[protein_id=CAE18983.1],[gene=None],[protein=Phage integrase family],[evalue=0.00000E+00]
[locus_tag=PMM0525],[protein_id=CAE18984.1],[gene=None],[protein=Ferrochelatase],[locus_tag=PMM0525],[protein_id=CAE18984.1],[gene=None],[protein=Ferrochelatase],[evalue=0.00000E+00]
[locus_tag=PMM0526],[protein_id=CAE18985.1],[gene=ilvH],[protein=Acetolactate synthase large subunit],[locus_tag=PMM0526],[protein_id=CAE18985.1],[gene=ilvH],[protein=Acetolactate synthase large subunit],[evalue=0.00000E+00]
[locus_tag=PMM0527],[protein_id=CAE18986.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0527],[protein_id=CAE18986.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.49274E-81]
[locus_tag=PMM0528],[protein_id=CAE18987.1],[gene=None],[protein=DUF152],[locus_tag=PMM0528],[protein_id=CAE18987.1],[gene=None],[protein=DUF152],[evalue=0.00000E+00]
[locus_tag=PMM0529],[protein_id=CAE18988.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0529],[protein_id=CAE18988.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0530],[protein_id=CAE18989.1],[gene=None],"[protein=30S ribosomal protein S1 homolog B, putative Nbp1]",[locus_tag=PMM0530],[protein_id=CAE18989.1],[gene=None],"[protein=30S ribosomal protein S1 homolog B, putative Nbp1]",[evalue=0.00000E+00],[locus_tag=PMM0312],[protein_id=CAE18771.1],[gene=None],"[protein=30S ribosomal protein S1, homolog A]",[evalue=6.67718E-57]
[locus_tag=PMM0531],[protein_id=CAE18990.1],[gene=None],[protein=Creatininase],[locus_tag=PMM0531],[protein_id=CAE18990.1],[gene=None],[protein=Creatininase],[evalue=0.00000E+00]
[locus_tag=PMM0532],[protein_id=CAE18991.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0532],[protein_id=CAE18991.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.08445E-180]
[locus_tag=PMM0533],[protein_id=CAE18992.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0533],[protein_id=CAE18992.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0534],[protein_id=CAE18993.1],[gene=accA],"[protein=acetyl-CoA carboxylase, alpha subunit]",[locus_tag=PMM0534],[protein_id=CAE18993.1],[gene=accA],"[protein=acetyl-CoA carboxylase, alpha subunit]",[evalue=0.00000E+00]
[locus_tag=PMM0535],[protein_id=CAE18994.1],[gene=None],[protein=putative short-chain dehydrogenase],[locus_tag=PMM0535],[protein_id=CAE18994.1],[gene=None],[protein=putative short-chain dehydrogenase],[evalue=2.76947E-176],[locus_tag=PMM0453],[protein_id=CAE18912.1],[gene=fabG],[protein=None],[evalue=2.71908E-22]
[locus_tag=PMM0536],[protein_id=CAE18995.1],[gene=folE],[protein=putative GTP cyclohydrolase I],[locus_tag=PMM0536],[protein_id=CAE18995.1],[gene=folE],[protein=putative GTP cyclohydrolase I],[evalue=0.00000E+00]
[locus_tag=PMM0537],[protein_id=CAE18996.1],[gene=trpF],[protein=phosphoribosylanthranilate isomerase],[locus_tag=PMM0537],[protein_id=CAE18996.1],[gene=trpF],[protein=phosphoribosylanthranilate isomerase],[evalue=5.76652E-160]
[locus_tag=PMM0538],[protein_id=CAE18997.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0538],[protein_id=CAE18997.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0539],[protein_id=CAE18998.1],[gene=None],[protein=Biotin/lipoate A/B protein ligase family],[locus_tag=PMM0539],[protein_id=CAE18998.1],[gene=None],[protein=Biotin/lipoate A/B protein ligase family],[evalue=4.06788E-166]
[locus_tag=PMM0540],[protein_id=CAE18999.1],[gene=psaM],[protein=None],[locus_tag=PMM0540],[protein_id=CAE18999.1],[gene=psaM],[protein=None],[evalue=1.54730E-18]
[locus_tag=PMM0541],[protein_id=CAE19000.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0541],[protein_id=CAE19000.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.16606E-81]
[locus_tag=PMM0542],[protein_id=CAE19001.1],[gene=None],[protein=Light dependent protochlorophyllide oxido-reductase],[locus_tag=PMM0542],[protein_id=CAE19001.1],[gene=None],[protein=Light dependent protochlorophyllide oxido-reductase],[evalue=0.00000E+00],[locus_tag=PMM0634],[protein_id=CAE19093.1],[gene=None],[protein=possible light-dependent protochlorophyllide oxido-reductase],[evalue=7.71782E-18]
[locus_tag=PMM0543],[protein_id=CAE19002.1],[gene=None],[protein=Protochlorophyllide reductase iron-sulfur ATP-binding protein],[locus_tag=PMM0543],[protein_id=CAE19002.1],[gene=None],[protein=Protochlorophyllide reductase iron-sulfur ATP-binding protein],[evalue=0.00000E+00]
[locus_tag=PMM0544],[protein_id=CAE19003.1],[gene=chlB],[protein=Light-independent protochlorophyllide reductase subunit B],[locus_tag=PMM0544],[protein_id=CAE19003.1],[gene=chlB],[protein=Light-independent protochlorophyllide reductase subunit B],[evalue=0.00000E+00]
[locus_tag=PMM0545],[protein_id=CAE19004.1],[gene=chlN],[protein=Light-independent protochlorophyllide reductase subunit N],[locus_tag=PMM0545],[protein_id=CAE19004.1],[gene=chlN],[protein=Light-independent protochlorophyllide reductase subunit N],[evalue=0.00000E+00]
[locus_tag=PMM0546],[protein_id=CAE19005.1],[gene=None],[protein=conserved hypothetical],[locus_tag=PMM0546],[protein_id=CAE19005.1],[gene=None],[protein=conserved hypothetical],[evalue=2.13531E-86]
[locus_tag=PMM0547],[protein_id=CAE19006.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0547],[protein_id=CAE19006.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0548],[protein_id=CAE19007.1],[gene=None],[protein=HAM1 family protein],[locus_tag=PMM0548],[protein_id=CAE19007.1],[gene=None],[protein=HAM1 family protein],[evalue=3.48584E-146],[locus_tag=PMM0279],[protein_id=CAE18738.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.19218E-37]
[locus_tag=PMM0549],[protein_id=CAE19008.1],[gene=csoS1],[protein=carboxysome shell protein CsoS1],[locus_tag=PMM0549],[protein_id=CAE19008.1],[gene=csoS1],[protein=carboxysome shell protein CsoS1],[evalue=2.54666E-66]
[locus_tag=PMM0550],[protein_id=CAE19009.1],[gene=None],"[protein=Ribulose bisphosphate carboxylase, large chain]",[locus_tag=PMM0550],[protein_id=CAE19009.1],[gene=None],"[protein=Ribulose bisphosphate carboxylase, large chain]",[evalue=0.00000E+00]
[locus_tag=PMM0551],[protein_id=CAE19010.1],[gene=None],"[protein=Ribulose bisphosphate carboxylase, small chain]",[locus_tag=PMM0551],[protein_id=CAE19010.1],[gene=None],"[protein=Ribulose bisphosphate carboxylase, small chain]",[evalue=1.46315E-84]
[locus_tag=PMM0552],[protein_id=CAE19011.1],[gene=csoS2],[protein=carboxysome shell protein CsoS2],[locus_tag=PMM0552],[protein_id=CAE19011.1],[gene=csoS2],[protein=carboxysome shell protein CsoS2],[evalue=0.00000E+00]
[locus_tag=PMM0553],[protein_id=CAE19012.1],[gene=csoS3],[protein=carboxysome shell protein CsoS3],[locus_tag=PMM0553],[protein_id=CAE19012.1],[gene=csoS3],[protein=carboxysome shell protein CsoS3],[evalue=0.00000E+00]
[locus_tag=PMM0554],[protein_id=CAE19013.1],[gene=None],[protein=putative carboxysome peptide A],[locus_tag=PMM0554],[protein_id=CAE19013.1],[gene=None],[protein=putative carboxysome peptide A],[evalue=3.46571E-62],[locus_tag=PMM0555],[protein_id=CAE19014.1],[gene=None],[protein=putative carboxysome peptide B],[evalue=7.12100E-15]
[locus_tag=PMM0555],[protein_id=CAE19014.1],[gene=None],[protein=putative carboxysome peptide B],[locus_tag=PMM0555],[protein_id=CAE19014.1],[gene=None],[protein=putative carboxysome peptide B],[evalue=1.58235E-52],[locus_tag=PMM0554],[protein_id=CAE19013.1],[gene=None],[protein=putative carboxysome peptide A],[evalue=5.90720E-15]
[locus_tag=PMM0556],[protein_id=CAE19015.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0556],[protein_id=CAE19015.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.93107E-53]
[locus_tag=PMM0557],[protein_id=CAE19016.1],[gene=None],[protein=conserved hypothetical],[locus_tag=PMM0557],[protein_id=CAE19016.1],[gene=None],[protein=conserved hypothetical],[evalue=3.07731E-53]
[locus_tag=PMM0558],[protein_id=CAE19017.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0558],[protein_id=CAE19017.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.29908E-93]
[locus_tag=PMM0559],[protein_id=CAE19018.1],[gene=None],[protein=Putative hydroxyacylglutathione hydrolase],[locus_tag=PMM0559],[protein_id=CAE19018.1],[gene=None],[protein=Putative hydroxyacylglutathione hydrolase],[evalue=0.00000E+00]
[locus_tag=PMM0560],[protein_id=CAE19019.1],[gene=None],[protein=possible ATP phosphoribosyltransferase],[locus_tag=PMM0560],[protein_id=CAE19019.1],[gene=None],[protein=possible ATP phosphoribosyltransferase],[evalue=1.10453E-157]
[locus_tag=PMM0561],[protein_id=CAE19020.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[locus_tag=PMM0561],[protein_id=CAE19020.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=0.00000E+00],[locus_tag=PMM1099],[protein_id=CAE19558.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[evalue=2.70336E-74],[locus_tag=PMM0827],[protein_id=CAE19286.1],[gene=None],"[protein=ABC transporter, possibly multidrug efflux]",[evalue=2.06785E-63]
[locus_tag=PMM0562],[protein_id=CAE19021.1],[gene=None],[protein=possible acetyltransferase],[locus_tag=PMM0562],[protein_id=CAE19021.1],[gene=None],[protein=possible acetyltransferase],[evalue=1.06791E-131],[locus_tag=PMM1640],[protein_id=CAE20099.1],[gene=None],"[protein=putative acetyltransferase, GNAT family]",[evalue=1.15674E-11]
[locus_tag=PMM0563],[protein_id=CAE19022.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0563],[protein_id=CAE19022.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.01600E-168]
[locus_tag=PMM0564],[protein_id=CAE19023.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0564],[protein_id=CAE19023.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.23953E-147]
[locus_tag=PMM0565],[protein_id=CAE19024.1],[gene=dnaA],[protein=chromosomal replication initiator protein DnaA],[locus_tag=PMM0565],[protein_id=CAE19024.1],[gene=dnaA],[protein=chromosomal replication initiator protein DnaA],[evalue=0.00000E+00]
[locus_tag=PMM0566],[protein_id=CAE19025.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0566],[protein_id=CAE19025.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0567],[protein_id=CAE19026.1],[gene=gshR],[protein=None],[locus_tag=PMM0567],[protein_id=CAE19026.1],[gene=gshR],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM1298],[protein_id=CAE19757.1],[gene=lpdA],[protein=putative dihydrolipoamide dehydrogenase],[evalue=3.15821E-73]
[locus_tag=PMM0568],[protein_id=CAE19027.1],[gene=None],[protein=putative CaCA family sodium/calcium exchanger],[locus_tag=PMM0568],[protein_id=CAE19027.1],[gene=None],[protein=putative CaCA family sodium/calcium exchanger],[evalue=0.00000E+00]
[locus_tag=PMM0569],[protein_id=CAE19028.1],[gene=pyrC],[protein=Dihydroorotase],[locus_tag=PMM0569],[protein_id=CAE19028.1],[gene=pyrC],[protein=Dihydroorotase],[evalue=0.00000E+00]
[locus_tag=PMM0570],[protein_id=CAE19029.1],[gene=ndhL],[protein=None],[locus_tag=PMM0570],[protein_id=CAE19029.1],[gene=ndhL],[protein=None],[evalue=4.30917E-51]
[locus_tag=PMM0571],[protein_id=CAE19030.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0571],[protein_id=CAE19030.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.26352E-74]
[locus_tag=PMM0572],[protein_id=CAE19031.1],[gene=trpA],[protein=Tryptophan synthase alpha chain],[locus_tag=PMM0572],[protein_id=CAE19031.1],[gene=trpA],[protein=Tryptophan synthase alpha chain],[evalue=0.00000E+00]
[locus_tag=PMM0573],[protein_id=CAE19032.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0573],[protein_id=CAE19032.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.47859E-63],[locus_tag=PMM0443],[protein_id=CAE18902.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.45457E-13]
[locus_tag=PMM0574],[protein_id=CAE19033.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0574],[protein_id=CAE19033.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.91715E-65]
