Locus tag,Protein ID,Gene,Protein name
PMN2A_2172,ABU24091.1,None,Conserved hypothetical protein
PMN2A_2173,ABU24092.1,None,Hypothetical protein
PMN2A_1058,AAZ58548.1,None,hypothetical protein
PMN2A_2174,ABU24093.1,None,Hypothetical protein
PMN2A_2175,ABU24094.1,None,Conserved hypothetical protein
PMN2A_1090,AAZ58580.1,None,conserved hypothetical protein
PMN2A_1091,AAZ58581.1,None,hypothetical protein
PMN2A_2176,ABU24095.1,None,Conserved hypothetical protein
PMN2A_2177,ABU24096.1,None,Conserved hypothetical protein
PMN2A_1095,AAZ58585.1,None,hypothetical protein
PMN2A_2178,ABU24097.1,None,Hypothetical protein
PMN2A_2179,ABU24098.1,None,Hypothetical protein
PMN2A_1096,AAZ58586.1,None,hypothetical protein
PMN2A_1097,AAZ58587.1,None,hypothetical protein
PMN2A_1140,AAZ58630.1,None,metal-dependent protease of the PAD1/JAB1 superfamily
PMN2A_1155,AAZ58645.1,None,dehydrogenase
PMN2A_2180,ABU24099.1,None,Conserved hypothetical protein
PMN2A_1160,AAZ58650.1,None,protein family PM-8
PMN2A_1172,AAZ58662.1,None,(S)-2-hydroxy-acid oxidase
PMN2A_1177,AAZ58667.1,None,conserved hypothetical protein
PMN2A_1189,AAZ58679.1,None,conserved hypothetical protein
PMN2A_1218,AAZ58708.1,None,putative ABC-type polysaccharide/polyol phosphate export systems permease component
PMN2A_1222,AAZ58712.1,None,hypothetical protein
PMN2A_2181,ABU24100.1,None,Conserved hypothetical protein
PMN2A_1223,AAZ58713.1,None,conserved hypothetical protein
PMN2A_1226,AAZ58716.1,None,hypothetical protein
PMN2A_1227,AAZ58717.1,None,hypothetical protein
PMN2A_1230,AAZ58720.1,None,hypothetical protein
PMN2A_2182,ABU24101.1,None,Hypothetical protein
PMN2A_1234,AAZ58724.1,None,dTDP-4-dehydrorhamnose reductase
PMN2A_1235,AAZ58725.1,None,putative nucleoside-diphosphate sugar epimerase
PMN2A_2183,ABU24102.1,None,Hypothetical protein
PMN2A_1238,AAZ58728.1,None,hypothetical protein
PMN2A_1239,AAZ58729.1,None,dTDP-4-dehydrorhamnose reductase
PMN2A_1240,AAZ58730.1,None,"dTDP-4-dehydrorhamnose 3,5-epimerase"
PMN2A_2184,ABU24103.1,None,Conserved hypothetical protein
PMN2A_1263,AAZ58753.1,None,putative high light-inducible protein
PMN2A_1282,AAZ58772.1,None,conserved hypothetical protein
PMN2A_1283,AAZ58773.1,None,conserved hypothetical protein
PMN2A_1288,AAZ58778.1,None,metal-binding cluster containing protein
PMN2A_1297,AAZ58787.1,None,"possible DNA mismatch repair proteins, mutS fa"
PMN2A_2186,ABU24105.1,None,Conserved hypothetical protein
PMN2A_1299,AAZ58789.1,None,formate and nitrite transporter
PMN2A_1300,AAZ58790.1,None,possible homeobox domain
PMN2A_1301,AAZ58791.1,None,unknown
PMN2A_2188,ABU24107.1,None,Hypothetical protein
PMN2A_1318,AAZ58807.1,None,hypothetical protein
