[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=3.72400E-142]
[locus_tag=Syncc8109_0750],[protein_id=AHF63130.1],[gene=priA],[protein=primosomal protein N' (replication factor Y)],[locus_tag=PMM0497],[protein_id=CAE18956.1],[gene=priA],[protein=primosomal protein N' (replication factor Y)],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0751],[protein_id=AHF63131.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0498],[protein_id=CAE18957.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.77831E-37]
[locus_tag=Syncc8109_0752],[protein_id=AHF63132.1],[gene=argB],[protein=acetylglutamate kinase],[locus_tag=PMM0499],[protein_id=CAE18958.1],[gene=argB],[protein=Aspartokinase superfamily:Acetylglutamate kinase],[evalue=3.25993E-144]
[locus_tag=Syncc8109_0753],[protein_id=AHF63133.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0500],[protein_id=CAE18959.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.21722E-62]
[locus_tag=Syncc8109_0754],[protein_id=AHF63134.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0501],[protein_id=CAE18960.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.85211E-12]
[locus_tag=Syncc8109_0755],[protein_id=AHF63135.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0502],[protein_id=CAE18961.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.27799E-44]
[locus_tag=Syncc8109_0756],[protein_id=AHF63136.1],[gene=None],[protein=precorrin-6X reductase],[locus_tag=PMM0503],[protein_id=CAE18962.1],[gene=None],[protein=possible precorrin-6X reductase],[evalue=1.22786E-42]
[locus_tag=Syncc8109_0757],[protein_id=AHF63137.1],[gene=None],[protein=putative divalent cation tolerance protein],[locus_tag=PMM0504],[protein_id=CAE18963.1],[gene=None],[protein=CutA1 divalent ion tolerance protein],[evalue=1.55995E-09]
[locus_tag=Syncc8109_0758],[protein_id=AHF63138.1],[gene=pfkB],"[protein=putative carbohydrate kinase, PfkB family]",[locus_tag=PMM0505],[protein_id=CAE18964.1],[gene=None],[protein=Possible carbohydrate kinase],[evalue=2.51909E-123]
[locus_tag=Syncc8109_0759],[protein_id=AHF63139.1],[gene=purA],[protein=adenylosuccinate synthetase],[locus_tag=PMM0506],[protein_id=CAE18965.1],"[gene=purA,adeK]",[protein=Adenylosuccinate synthetase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0760],[protein_id=AHF63140.1],[gene=psb27],[protein=putative photosystem II Psb27 protein],[locus_tag=PMM0507],[protein_id=CAE18966.1],[gene=psb27],[protein=possible Photosystem II reaction center Psb27 protein],[evalue=1.16723E-37]
[locus_tag=Syncc8109_0761],[protein_id=AHF63141.1],[gene=proS],[protein=prolyl-tRNA synthetase],[locus_tag=PMM0508],[protein_id=CAE18967.1],[gene=proS],[protein=Prolyl-tRNA synthetase],[evalue=0.00000E+00],[locus_tag=PMM0597],[protein_id=CAE19056.1],[gene=thrS],[protein=Threonyl-tRNA synthetase],[evalue=1.15523E-11]
[locus_tag=Syncc8109_0763],[protein_id=AHF63143.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0509],[protein_id=CAE18968.1],[gene=None],[protein=possible Helix-turn-helix domain of resolvase],[evalue=7.56983E-57]
[locus_tag=Syncc8109_0765],[protein_id=AHF63145.1],[gene=ppa],[protein=Inorganic diphosphatase],[locus_tag=PMM0511],[protein_id=CAE18970.1],[gene=ppa (ipyR)],[protein=Inorganic pyrophosphatase],[evalue=1.70618E-65],[locus_tag=PMM0494],[protein_id=CAE18953.1],[gene=ppa (ipyR)],[protein=putative inorganic pyrophosphatase],[evalue=6.04021E-19]
[locus_tag=Syncc8109_0766],[protein_id=AHF63146.1],[gene=fdx],[protein=putative ferredoxin (2Fe-2S)],[locus_tag=PMM0316],[protein_id=CAE18775.1],[gene=None],[protein=possible ferredoxin],[evalue=1.88934E-21]
[locus_tag=Syncc8109_0767],[protein_id=AHF63147.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0512],[protein_id=CAE18971.1],[gene=None],[protein=putative arsenate reductase],[evalue=1.32063E-13]
[locus_tag=Syncc8109_0769],[protein_id=AHF63149.1],[gene=None],"[protein=Peptidase S26A, signal peptidase I]",[locus_tag=PMM0513],[protein_id=CAE18972.1],[gene=lepB],[protein=Signal peptidase I],[evalue=2.74466E-57],[locus_tag=PMM0606],[protein_id=CAE19065.1],[gene=lepB],[protein=leader peptidase I],[evalue=1.83252E-27]
[locus_tag=Syncc8109_0770],[protein_id=AHF63150.1],[gene=None],[protein=putative dihydroorotase],[locus_tag=PMM0514],[protein_id=CAE18973.1],[gene=None],[protein=putative dihydroorotase],[evalue=1.26288E-81]
[locus_tag=Syncc8109_0771],[protein_id=AHF63151.1],[gene=cobC],[protein=putative alpha-ribazole-5'-P phosphatase],[locus_tag=PMM0515],[protein_id=CAE18974.1],[gene=cobC],[protein=possible alpha-ribazole-5'-P phosphatase],[evalue=7.24046E-155]
[locus_tag=Syncc8109_0772],[protein_id=AHF63152.1],[gene=None],[protein=putative membrane associated protease],[locus_tag=PMM0516],[protein_id=CAE18975.1],[gene=None],[protein=Possible membrane associated protease],[evalue=1.15460E-84]
[locus_tag=Syncc8109_0774],[protein_id=AHF63154.1],[gene=ftsI],[protein=Peptidoglycan glycosyltransferase],[locus_tag=PMM0518],[protein_id=CAE18977.1],[gene=ftsI],[protein=putative peptidoglycan synthetase (pbp transpeptidase domain)],[evalue=0.00000E+00],[locus_tag=PMM0040],[protein_id=CAE18499.1],[gene=None],[protein=Putative penicillin-binding protein],[evalue=4.72069E-17]
[locus_tag=Syncc8109_0775],[protein_id=AHF63155.1],[gene=tal],[protein=transaldolase],[locus_tag=PMM0519],[protein_id=CAE18978.1],[gene=tal],[protein=Transaldolase],[evalue=1.82613E-149]
[locus_tag=Syncc8109_0778],[protein_id=AHF63158.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0799],[protein_id=CAE19258.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.01140E-62],[locus_tag=PMM0179],[protein_id=CAE18638.1],[gene=None],[protein=Glutaredoxin],[evalue=2.33198E-09],[locus_tag=PMM1111],[protein_id=CAE19570.1],[gene=None],[protein=Glutaredoxin-related protein],[evalue=1.85280E-08]
[locus_tag=Syncc8109_0783],[protein_id=AHF63163.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0727],[protein_id=CAE19186.1],[gene=None],[protein=Serine/threonine specific protein phosphatase],[evalue=1.49918E-50]
[locus_tag=Syncc8109_0795],[protein_id=AHF63175.1],[gene=petF3],[protein=Ferredoxin (2Fe-2S)],[locus_tag=PMM1352],[protein_id=CAE19811.1],[gene=petF],[protein=ferredoxin],[evalue=9.20441E-44],[locus_tag=PMM1449],[protein_id=CAE19908.1],[gene=petF],[protein=ferredoxin],[evalue=2.37110E-23],[locus_tag=PMM0898],[protein_id=CAE19357.1],[gene=petF],"[protein=ferredoxin, petF-like protein]",[evalue=5.09717E-18]
[locus_tag=Syncc8109_0802],[protein_id=AHF63182.1],[gene=pgsA],[protein=CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase],[locus_tag=PMM0798],[protein_id=CAE19257.1],[gene=pgsA],[protein=CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase],[evalue=2.86031E-37]
[locus_tag=Syncc8109_0803],[protein_id=AHF63183.1],[gene=None],[protein=putative nucleotide sugar epimerase],[locus_tag=PMM0797],[protein_id=CAE19256.1],[gene=None],[protein=possible mRNA binding protein],[evalue=8.73884E-117]
[locus_tag=Syncc8109_0804],[protein_id=AHF63184.1],[gene=hisA],[protein=Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase],[locus_tag=PMM0796],[protein_id=CAE19255.1],[gene=hisA],[protein=PHOSPHORIBOSYLFORMIMINO-5-AMINOIMIDAZOLE CARBOXAMIDE RIBOTIDE ISOMERASE],[evalue=1.18011E-96],[locus_tag=PMM0430],[protein_id=CAE18889.1],[gene=hisF],[protein=Imidazole glycerol phosphate synthase subunit HisF (cyclase)],[evalue=5.68831E-20]
[locus_tag=Syncc8109_0805],[protein_id=AHF63185.1],[gene=None],"[protein=putative ferric uptake regulator, FUR family]",[locus_tag=PMM1030],[protein_id=CAE19489.1],[gene=None],[protein=Ferric uptake regulator family],[evalue=5.08241E-06]
[locus_tag=Syncc8109_0806],[protein_id=AHF63186.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0795],[protein_id=CAE19254.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.40946E-104]
[locus_tag=Syncc8109_0807],[protein_id=AHF63187.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0794],[protein_id=CAE19253.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.57826E-40]
[locus_tag=Syncc8109_0808],[protein_id=AHF63188.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0793],[protein_id=CAE19252.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.69554E-87]
[locus_tag=Syncc8109_0809],[protein_id=AHF63189.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0792],[protein_id=CAE19251.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.59597E-28]
[locus_tag=Syncc8109_0810],[protein_id=AHF63190.1],[gene=yqgF],[protein=Holliday junction resolvase YqgF],[locus_tag=PMM0791],[protein_id=CAE19250.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.66903E-45]
[locus_tag=Syncc8109_0811],[protein_id=AHF63191.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0790],[protein_id=CAE19249.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.96254E-58]
[locus_tag=Syncc8109_0812],[protein_id=AHF63192.1],[gene=None],[protein=HAD-superfamily phosphatase subfamily IIIA],[locus_tag=PMM0789],[protein_id=CAE19248.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.18828E-33]
[locus_tag=Syncc8109_0813],[protein_id=AHF63193.1],[gene=proB],[protein=glutamate 5-kinase],[locus_tag=PMM0788],[protein_id=CAE19247.1],[gene=proB],[protein=putative glutamate 5-kinase],[evalue=7.33032E-129]
[locus_tag=Syncc8109_0814],[protein_id=AHF63194.1],[gene=lpxD],[protein=UDP-3-O-[3-hydroxymyristoyl],[locus_tag=PMM0787],[protein_id=CAE19246.1],[gene=lpxD],[protein=UDP-3-O-[3-hydroxymyristoyl],[evalue=6.27613E-114],[locus_tag=PMM1335],[protein_id=CAE19794.1],[gene=lpxA],[protein=UDP-N-acetylglucosamine acyltransferase],[evalue=3.29856E-08],[locus_tag=PMM1638],[protein_id=CAE20097.1],[gene=cysE],[protein=Serine acetyltransferase],[evalue=8.94179E-06]
[locus_tag=Syncc8109_0815],[protein_id=AHF63195.1],[gene=leuB],[protein=3-isopropylmalate dehydrogenase],[locus_tag=PMM0786],[protein_id=CAE19245.1],[gene=leuB],[protein=3-isopropylmalate dehydrogenase],[evalue=8.34048E-159],[locus_tag=PMM1596],[protein_id=CAE20055.1],[gene=icd],[protein=Isocitrate dehydrogenase],[evalue=4.70006E-16]
[locus_tag=Syncc8109_0816],[protein_id=AHF63196.1],[gene=prk],[protein=Phosphoribulokinase],[locus_tag=PMM0785],[protein_id=CAE19244.1],"[gene=prk, cbbP]",[protein=phosphoribulokinase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0821],[protein_id=AHF63199.1],[gene=accD],"[protein=acetyl-CoA carboxylase, carboxyl transferase, beta subunit]",[locus_tag=PMM0784],[protein_id=CAE19243.1],[gene=accD],"[protein=acetyl-CoA carboxylase, beta subunit]",[evalue=3.57122E-166]
[locus_tag=Syncc8109_0822],[protein_id=AHF63200.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0783],[protein_id=CAE19242.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.32171E-24],[locus_tag=PMM0309],[protein_id=CAE18768.1],[gene=None],[protein=possible Pollen allergen],[evalue=7.76485E-17]
[locus_tag=Syncc8109_0823],[protein_id=AHF63201.1],[gene=None],[protein=putative oxidoreductase],[locus_tag=PMM0782],[protein_id=CAE19241.1],[gene=None],[protein=putative oxidoreductase],[evalue=2.49648E-118],[locus_tag=PMM0273],[protein_id=CAE18732.1],[gene=None],[protein=probable oxidoreductase],[evalue=4.68648E-06]
[locus_tag=Syncc8109_0824],[protein_id=AHF63202.1],[gene=cbbA],"[protein=fructose-bisphosphate aldolase, class II, Calvin cycle subtype]",[locus_tag=PMM0781],[protein_id=CAE19240.1],"[gene=cbbA,cfxA,fbaA,fda]","[protein=Fructose-bisphosphate/sedoheptulose-1,7-bisphosphate aldolase]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_0825],[protein_id=AHF63203.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0455],[protein_id=CAE18914.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.94143E-57]
[locus_tag=Syncc8109_0826],[protein_id=AHF63204.1],[gene=purQ (purL],[protein=phosphoribosylformylglycinamidine synthase I],[locus_tag=PMM0780],[protein_id=CAE19239.1],"[gene=purQ (purL, pur4)]",[protein=phosphoribosylformylglycinamidine synthase],[evalue=5.50081E-103]
[locus_tag=Syncc8109_0827],[protein_id=AHF63205.1],[gene=None],[protein=Phosphoribosylformylglycinamidine synthetase PurS],[locus_tag=PMM0779],[protein_id=CAE19238.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.26952E-27]
[locus_tag=Syncc8109_0831],[protein_id=AHF63209.1],[gene=mscS],"[protein=small mechanosensitive ion channel, MscS family]",[locus_tag=PMM0635],[protein_id=CAE19094.1],[gene=None],"[protein=small mechanosensitive ion channel, MscS family]",[evalue=4.40949E-82]
[locus_tag=Syncc8109_0832],[protein_id=AHF63210.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1383],[protein_id=CAE19842.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.80157E-71]
[locus_tag=Syncc8109_0833],[protein_id=AHF63211.1],[gene=arsR],"[protein=putative transcriptional regulator, ArsR family]",[locus_tag=PMM0714],[protein_id=CAE19173.1],[gene=None],"[protein=Bacterial regulatory proteins, ArsR family]",[evalue=2.66405E-29]
[locus_tag=Syncc8109_0834],[protein_id=AHF63212.1],[gene=gap3],"[protein=glyceraldehyde-3-phosphate dehydrogenase, type I]",[locus_tag=PMM0713],[protein_id=CAE19172.1],[gene=gap1],[protein=Putative glyceraldehyde 3-phosphate dehydrogenase],[evalue=0.00000E+00],[locus_tag=PMM0023],[protein_id=CAE18482.1],[gene=gap2],[protein=Glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating)],[evalue=3.63071E-91]
[locus_tag=Syncc8109_0835],[protein_id=AHF63213.1],[gene=None],"[protein=multidrug efflux transporter, MFS family]",[locus_tag=PMM0712],[protein_id=CAE19171.1],[gene=None],"[protein=multidrug efflux transporter, MFS family]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_0836],[protein_id=AHF63214.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1884],[protein_id=CAP16388.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=3.14590E-09]
[locus_tag=Syncc8109_0837],[protein_id=AHF63215.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1037],[protein_id=CAE19496.1],[gene=None],[protein=conserved hypothetical],[evalue=4.18272E-25]
[locus_tag=Syncc8109_0840],[protein_id=AHF63218.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0837],[protein_id=CAE19296.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.61363E-26]
[locus_tag=Syncc8109_0841],[protein_id=AHF63219.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0836],[protein_id=CAE19295.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.66503E-31]
[locus_tag=Syncc8109_0849],[protein_id=AHF63227.1],[gene=None],[protein=adenine phosphoribosyltransferase],[locus_tag=PMM1122],[protein_id=CAE19581.1],[gene=apt],[protein=Phosphoribosyl transferase],[evalue=9.10316E-32]
[locus_tag=Syncc8109_0850],[protein_id=AHF63228.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0835],[protein_id=CAE19294.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.03821E-10]
[locus_tag=Syncc8109_0851],[protein_id=AHF63229.1],[gene=ubiH],[protein=putative 2-octaprenyl-6-methoxyphenol 4-monooxygenase; UbiH],[locus_tag=PMM0834],[protein_id=CAE19293.1],[gene=ubiH],[protein=possible 2-octaprenyl-6-methoxyphenol 4-monoxygenase; UbiH],[evalue=9.93077E-70]
[locus_tag=Syncc8109_0852],[protein_id=AHF63230.1],[gene=None],[protein=putative high light inducible protein],[locus_tag=PMM1135],[protein_id=CAE19594.1],[gene=hli14],[protein=possible high light inducible protein],[evalue=3.19276E-13],[locus_tag=PMM1398],[protein_id=CAE19857.1],[gene=hli7],[protein=possible high light inducible protein],[evalue=1.42523E-12],[locus_tag=PMM0817],[protein_id=CAE19276.1],[gene=hli17],[protein=possible high light inducible protein],[evalue=1.42523E-12]
[locus_tag=Syncc8109_0853],[protein_id=AHF63231.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0833],[protein_id=CAE19292.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.86747E-81]
[locus_tag=Syncc8109_0854],[protein_id=AHF63232.1],[gene=dapB],[protein=dihydrodipicolinate reductase],[locus_tag=PMM0832],[protein_id=CAE19291.1],[gene=dapB],[protein=Dihydrodipicolinate reductase],[evalue=1.31234E-128]
[locus_tag=Syncc8109_0855],[protein_id=AHF63233.1],[gene=chlH],"[protein=Magnesium-chelatase, subunit H]",[locus_tag=PMM0831],[protein_id=CAE19290.1],[gene=chlH],"[protein=protoporphyrin IX magnesium chelatase, subunit chlH]",[evalue=0.00000E+00],[locus_tag=PMM0879],[protein_id=CAE19338.1],[gene=CobN],[protein=cobalamin biosynthetic protein CobN],[evalue=5.46888E-103]
[locus_tag=Syncc8109_0857],[protein_id=AHF63235.1],[gene=folP],[protein=dihydropteroate synthase],[locus_tag=PMM0830],[protein_id=CAE19289.1],[gene=folP],[protein=putative dihydropteroate synthase],[evalue=3.29951E-105]
[locus_tag=Syncc8109_0858],[protein_id=AHF63236.1],[gene=tpiA],[protein=triosephosphate isomerase],[locus_tag=PMM0829],[protein_id=CAE19288.1],"[gene=tpi, cbbJ]",[protein=Triosephosphate isomerase],[evalue=1.37406E-121]
[locus_tag=Syncc8109_0859],[protein_id=AHF63237.1],[gene=None],[protein=RNA-binding S4],[locus_tag=PMM0828],[protein_id=CAE19287.1],[gene=None],[protein=S4 domain],[evalue=2.25945E-17]
[locus_tag=Syncc8109_0860],[protein_id=AHF63238.1],[gene=mdlB],[protein=ATPase],[locus_tag=PMM0827],[protein_id=CAE19286.1],[gene=None],"[protein=ABC transporter, possibly multidrug efflux]",[evalue=0.00000E+00],[locus_tag=PMM0954],[protein_id=CAE19413.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[evalue=4.99262E-75],[locus_tag=PMM0561],[protein_id=CAE19020.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=2.51972E-72]
[locus_tag=Syncc8109_0861],[protein_id=AHF63239.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1131],[protein_id=CAE19590.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.62704E-26],[locus_tag=PMM0826],[protein_id=CAE19285.1],[gene=None],[protein=hypothetical],[evalue=1.24905E-24]
[locus_tag=Syncc8109_0863],[protein_id=AHF63241.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1170],[protein_id=CAE19629.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.25103E-62]
[locus_tag=Syncc8109_0864],[protein_id=AHF63242.1],[gene=carB],"[protein=carbamoyl-phosphate synthase, large subunit]",[locus_tag=PMM0825],[protein_id=CAE19284.1],[gene=carB],"[protein=carbamoyl-phosphate synthase, large subunit]",[evalue=0.00000E+00],[locus_tag=PMM0060],[protein_id=CAE18519.1],"[gene=accC, fabG]","[protein=acetyl-CoA carboxylase, biotin carboxylase subunit]",[evalue=3.75240E-09],[locus_tag=PMM0060],[protein_id=CAE18519.1],"[gene=accC, fabG]","[protein=acetyl-CoA carboxylase, biotin carboxylase subunit]",[evalue=1.21445E-07]
[locus_tag=Syncc8109_0865],[protein_id=AHF63243.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0824],[protein_id=CAE19283.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.22445E-120]
[locus_tag=Syncc8109_0866],[protein_id=AHF63244.1],[gene=None],[protein=Iojap-related protein],[locus_tag=PMM0823],[protein_id=CAE19282.1],[gene=None],[protein=Domain of unknown function DUF143:Iojap-related protein],[evalue=3.18332E-42]
[locus_tag=Syncc8109_0867],[protein_id=AHF63245.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0822],[protein_id=CAE19281.1],[gene=K8K14.9],[protein=putative protein],[evalue=2.32538E-32]
[locus_tag=Syncc8109_0868],[protein_id=AHF63246.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0821],[protein_id=CAE19280.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.02143E-132]
[locus_tag=Syncc8109_0870],[protein_id=AHF63247.1],[gene=None],[protein=putative oxidoreductase],[locus_tag=PMM0648],[protein_id=CAE19107.1],[gene=None],[protein=Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0871],[protein_id=AHF63248.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0647],[protein_id=CAE19106.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.45137E-24],[locus_tag=PMM1429],[protein_id=CAE19888.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.47371E-17]
[locus_tag=Syncc8109_0873],[protein_id=AHF63250.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0646],[protein_id=CAE19105.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.05323E-140]
[locus_tag=Syncc8109_0874],[protein_id=AHF63251.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0645],[protein_id=CAE19104.1],[gene=None],"[protein=FAD linked oxidase, N-terminal]",[evalue=3.67428E-77]
[locus_tag=Syncc8109_0875],[protein_id=AHF63252.1],[gene=None],[protein=putative sulfate transporter],[locus_tag=PMM0644],[protein_id=CAE19103.1],[gene=None],[protein=putative sulfate transporter],[evalue=0.00000E+00],[locus_tag=PMM0214],[protein_id=CAE18673.1],[gene=None],[protein=putative sulfate transporter],[evalue=9.18080E-40]
[locus_tag=Syncc8109_0880],[protein_id=AHF63257.1],[gene=glnQ],[protein=ATPase],[locus_tag=PMM0434],[protein_id=CAE18893.1],[gene=None],"[protein=possible ABC transporter, ATP binding protein]",[evalue=4.46629E-42],[locus_tag=PMM0750],[protein_id=CAE19209.1],[gene=None],"[protein=ABC transporter, ATP-binding component]",[evalue=5.30958E-37],[locus_tag=PMM0192],[protein_id=CAE18651.1],[gene=None],"[protein=ABC transporter, ATP binding component, possibly for oligopeptides]",[evalue=1.36635E-33]
[locus_tag=Syncc8109_0883],[protein_id=AHF63260.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0573],[protein_id=CAE19032.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.69523E-42],[locus_tag=PMM0443],[protein_id=CAE18902.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.07048E-24]
[locus_tag=Syncc8109_0884],[protein_id=AHF63261.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1871],[protein_id=CAP16375.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.18918E-09]
[locus_tag=Syncc8109_0885],[protein_id=AHF63262.1],[gene=None],[protein=putative AEC transporter family],[locus_tag=PMM1175],[protein_id=CAE19634.1],[gene=None],"[protein=possible AEC transporter family, substrate unknown]",[evalue=2.61306E-41]
[locus_tag=Syncc8109_0888],[protein_id=AHF63265.1],[gene=metA],[protein=Homoserine O-succinyltransferase],[locus_tag=PMM0643],[protein_id=CAE19102.1],[gene=metA],[protein=putative homoserine O-succinyltransferase],[evalue=2.58718E-173]
[locus_tag=Syncc8109_0889],[protein_id=AHF63266.1],[gene=cysD],[protein=O-acetylhomoserine/O-acetylserine sulfhydrylase],[locus_tag=PMM0642],[protein_id=CAE19101.1],[gene=cysD],[protein=putative O-Acetyl homoserine sulfhydrylase],[evalue=0.00000E+00],[locus_tag=PMM0409],[protein_id=CAE18868.1],[gene=metB],[protein=putative Cystathionine gamma-synthase],[evalue=5.25783E-46],[locus_tag=PMM0408],[protein_id=CAE18867.1],[gene=None],[protein=possible Cystathionine gamma-synthase],[evalue=5.73893E-13]
[locus_tag=Syncc8109_0890],[protein_id=AHF63267.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0641],[protein_id=CAE19100.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.39722E-57]
[locus_tag=Syncc8109_0894],[protein_id=AHF63271.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0640],[protein_id=CAE19099.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.93932E-176]
[locus_tag=Syncc8109_0898],[protein_id=AHF63275.1],[gene=None],[protein=cell death suppressor protein Lls1-like protein],[locus_tag=PMM0808],[protein_id=CAE19267.1],[gene=None],[protein=Rieske iron-sulfur protein 2Fe-2S subunit],[evalue=6.70016E-14]
[locus_tag=Syncc8109_0899],[protein_id=AHF63276.1],[gene=stpA],[protein=Glucosylglycerol 3-phosphatase],[locus_tag=PMM0639],[protein_id=CAE19098.1],[gene=stpA],[protein=putative glucosylglycerolphosphate phosphatase],[evalue=4.51228E-113]
[locus_tag=Syncc8109_0900],[protein_id=AHF63277.1],[gene=None],[protein=putative L-asparaginase II],[locus_tag=PMM0638],[protein_id=CAE19097.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.92736E-116]
[locus_tag=Syncc8109_0902],[protein_id=AHF63279.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0622],[protein_id=CAE19081.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.08018E-42],[locus_tag=PMM1421],[protein_id=CAE19880.1],[gene=None],[protein=possible Gibberellin regulated protein],[evalue=1.20536E-06]
[locus_tag=Syncc8109_0904],[protein_id=AHF63281.1],[gene=fur],"[protein=putative ferric uptake regulator, FUR family]",[locus_tag=PMM0637],[protein_id=CAE19096.1],[gene=fur],[protein=Ferric uptake regulator family],[evalue=5.70854E-65],[locus_tag=PMM1030],[protein_id=CAE19489.1],[gene=None],[protein=Ferric uptake regulator family],[evalue=6.86647E-13]
[locus_tag=Syncc8109_0905],[protein_id=AHF63282.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0719],[protein_id=CAE19178.1],[gene=None],[protein=hypothetical],[evalue=5.10539E-13],[locus_tag=PMM2002],[protein_id=None],[gene=None],[protein=None],[evalue=3.21403E-10]
[locus_tag=Syncc8109_0906],[protein_id=AHF63283.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0691],[protein_id=CAE19150.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.71712E-12]
[locus_tag=Syncc8109_0913],[protein_id=AHF63290.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1358],[protein_id=CAE19817.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.27242E-41]
