[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[locus_tag=PMT_0001],[protein_id=CAE20176.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_0507],[protein_id=AHF62906.1],[gene=psbM],[protein=putative photosystem II reaction center M protein],[locus_tag=PMT_1663],[protein_id=CAE21838.1],[gene=psbM],[protein=possible Photosystem II reaction center M protein (PsbM)],[evalue=2.70145E-08]
[locus_tag=Syncc8109_0509],[protein_id=AHF62908.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1662],[protein_id=CAE21837.1],[gene=None],[protein=conserved hypothetical],[evalue=1.56573E-37]
[locus_tag=Syncc8109_0515],[protein_id=AHF62911.1],[gene=hemK],"[protein=modification methylase, HemK family]",[locus_tag=PMT_1660],[protein_id=CAE21835.1],[gene=None],[protein=hemK family protein],[evalue=2.50760E-110]
[locus_tag=Syncc8109_0516],[protein_id=AHF62912.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1659],[protein_id=CAE21834.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.33513E-51]
[locus_tag=Syncc8109_0519],[protein_id=AHF62914.1],[gene=luxR],"[protein=putative transcriptional regulator, luxR family]",[locus_tag=PMT_1655],[protein_id=CAE21830.1],[gene=None],"[protein=possible transcriptional regulator, luxR family]",[evalue=1.52895E-22],[locus_tag=PMT_2014],[protein_id=CAE22188.1],[gene=None],"[protein=Bacterial regulatory protein, LuxR family]",[evalue=4.83521E-11],[locus_tag=PMT_2043],[protein_id=CAE22217.1],[gene=None],[protein=two-component response regulator],[evalue=1.79948E-08]
[locus_tag=Syncc8109_0520],[protein_id=AHF62915.1],[gene=minE],[protein=cell division topological specificity factor MinE],[locus_tag=PMT_1654],[protein_id=CAE21829.1],[gene=minE],[protein=possible septum site-determining protein MinE],[evalue=2.36031E-46]
[locus_tag=Syncc8109_0521],[protein_id=AHF62916.1],[gene=minD],[protein=septum site-determining protein MinD],[locus_tag=PMT_1653],[protein_id=CAE21828.1],[gene=minD],[protein=putative septum site-determining protein MinD],[evalue=1.83463E-151],[locus_tag=PMT_1707],[protein_id=CAE21882.1],[gene=None],[protein=MRP protein homolog],[evalue=2.98524E-13]
[locus_tag=Syncc8109_0522],[protein_id=AHF62917.1],[gene=minC],[protein=putative septum site-determining protein],[locus_tag=PMT_1652],[protein_id=CAE21827.1],[gene=minC],[protein=possible septum site-determining protein],[evalue=2.44195E-72]
[locus_tag=Syncc8109_0523],[protein_id=AHF62918.1],[gene=None],[protein=metal dependent phosphohydrolase],[locus_tag=PMT_1651],[protein_id=CAE21826.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0524],[protein_id=AHF62919.1],[gene=ctpA],[protein=carboxyl-terminal protease],[locus_tag=PMT_1650],[protein_id=CAE21825.1],[gene=ctpA],[protein=carboxyl-terminal processing proteinase],[evalue=0.00000E+00],[locus_tag=PMT_0776],[protein_id=CAE20951.1],[gene=None],[protein=carboxyl-terminal processing protease],[evalue=1.23773E-77]
[locus_tag=Syncc8109_0525],[protein_id=AHF62920.1],[gene=petB],[protein=apocytochrome b6],[locus_tag=PMT_1649],[protein_id=CAE21824.1],[gene=petB],[protein=Cytochrome b6],[evalue=4.87361E-156]
[locus_tag=Syncc8109_0526],[protein_id=AHF62921.1],[gene=petD],[protein=cytochrome b6-f complex subunit 4 (17 kd polypeptide)],[locus_tag=PMT_1648],[protein_id=CAE21823.1],[gene=petD],[protein=PetD (subunit IV of the Cytochrome b6f complex)],[evalue=2.10310E-106]
[locus_tag=Syncc8109_0527],[protein_id=AHF62922.1],[gene=invA],[protein=putative neutral invertase-like protein],[locus_tag=PMT_1647],[protein_id=CAE21822.1],[gene=None],[protein=putative neutral invertase-like protein],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0533],[protein_id=AHF62924.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2776],[protein_id=CAX32295.1],[gene=None],[protein=Hypothetical protein],[evalue=6.70730E-09],[locus_tag=PMT_2297],[protein_id=CAX31818.1],[gene=None],[protein=Hypothetical protein],[evalue=6.70730E-09]
[locus_tag=Syncc8109_0536],[protein_id=AHF62925.1],[gene=masA],[protein=putative enolase-phosphatase E-1],[locus_tag=PMT_0184],[protein_id=CAE20359.1],[gene=masA],[protein=putative enolase-phosphatase E-1],[evalue=2.25414E-84]
[locus_tag=Syncc8109_0537],[protein_id=AHF62926.1],[gene=mtnB],[protein=putative sugar aldolase],[locus_tag=PMT_0185],[protein_id=CAE20360.1],[gene=None],[protein=Putative sugar aldolase],[evalue=1.73681E-86]
[locus_tag=Syncc8109_0538],[protein_id=AHF62927.1],[gene=mtnA],[protein=Initiation factor 2B alpha/beta/delta],[locus_tag=PMT_1901],[protein_id=CAE22076.1],[gene=None],[protein=Initiation factor 2 subunit family],[evalue=1.83021E-80]
[locus_tag=Syncc8109_0539],[protein_id=AHF62928.1],[gene=None],[protein=formamidopyrimidine-DNA glycosylase],[locus_tag=PMT_0186],[protein_id=CAE20361.1],[gene=FPG],[protein=Formamidopyrimidine-DNA glycolase (FAPY-DNA glycolase)],[evalue=5.93409E-157]
[locus_tag=Syncc8109_0540],[protein_id=AHF62929.1],[gene=psaE],[protein=photosystem I subunit IV (PsaE)],[locus_tag=PMT_0187],[protein_id=CAE20362.1],[gene=psaE],[protein=Photosystem I PsaE protein (subunit IV)],[evalue=2.16676E-29]
[locus_tag=Syncc8109_0541],[protein_id=AHF62930.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0188],[protein_id=CAE20363.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0542],[protein_id=AHF62931.1],[gene=recQ],"[protein=ATP-dependent DNA helicase, RecQ family]",[locus_tag=PMT_0189],[protein_id=CAE20364.1],[gene=recQ],[protein=ATP-dependent DNA helicase],[evalue=0.00000E+00],[locus_tag=PMT_1083],[protein_id=CAE21258.1],[gene=None],[protein=putative ATP-dependent RNA helicase],[evalue=1.26794E-06]
[locus_tag=Syncc8109_0543],[protein_id=AHF62932.1],[gene=lysM],[protein=Peptidoglycan-binding LysM],[locus_tag=PMT_0190],[protein_id=CAE20365.1],[gene=None],[protein=possible LysM domain],[evalue=5.39418E-88],[locus_tag=PMT_0190],[protein_id=CAE20365.1],[gene=None],[protein=possible LysM domain],[evalue=1.86092E-35]
[locus_tag=Syncc8109_0544],[protein_id=AHF62933.1],[gene=None],[protein=putative aldehyde dehydrogenase],[locus_tag=PMT_0191],[protein_id=CAE20366.1],[gene=None],[protein=Putative aldehyde dehydrogenase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0551],[protein_id=AHF62940.1],[gene=None],"[protein=Alpha amylase, catalytic subdomain protein]",[locus_tag=PMT_0192],[protein_id=CAE20367.1],[gene=None],[protein=Glycoside hydrolase family],[evalue=0.00000E+00],[locus_tag=PMT_1397],[protein_id=CAE21572.1],[gene=glgX],[protein=Putative isoamylase],[evalue=4.26917E-06]
[locus_tag=Syncc8109_0554],[protein_id=AHF62941.1],[gene=aroQ],"[protein=3-dehydroquinate dehydratase, type II]",[locus_tag=PMT_0195],[protein_id=CAE20370.1],[gene=aroD],[protein=Dehydroquinase class II],[evalue=7.28435E-69]
[locus_tag=Syncc8109_0555],[protein_id=AHF62942.1],[gene=None],[protein=tRNA-(MS(2)IO(6)A)-hydroxylase-like protein],[locus_tag=PMT_0196],[protein_id=CAE20371.1],[gene=None],[protein=similar to tRNA-(MS[2],[evalue=7.92297E-100]
[locus_tag=Syncc8109_0556],[protein_id=AHF62943.1],[gene=None],[protein=putative sulfate transporter],[locus_tag=PMT_1214],[protein_id=CAE21389.1],[gene=None],[protein=putative sulfate transporter],[evalue=0.00000E+00],[locus_tag=PMT_0899],[protein_id=CAE21074.1],[gene=None],[protein=putative sulfate transporter],[evalue=2.42705E-32]
[locus_tag=Syncc8109_0557],[protein_id=AHF62944.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1549],[protein_id=CAE21724.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.76853E-44],[locus_tag=PMT_0176],[protein_id=CAE20351.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.74133E-16]
[locus_tag=Syncc8109_0558],[protein_id=AHF62945.1],[gene=dnaJ3],[protein=Heat shock protein DnaJ-like protein],[locus_tag=PMT_1548],[protein_id=CAE21723.1],[gene=dnaJ3],[protein=DnaJ3 protein],[evalue=1.82230E-147],[locus_tag=PMT_0704],[protein_id=CAE20879.1],[gene=dnaJ2],[protein=DnaJ2 protein],[evalue=2.99387E-26],[locus_tag=PMT_0022],[protein_id=CAE20197.1],[gene=dnaJ],[protein=DnaJ protein],[evalue=4.37099E-23]
[locus_tag=Syncc8109_0559],[protein_id=AHF62946.1],[gene=None],[protein=Porphobilinogen synthase],[locus_tag=PMT_1547],[protein_id=CAE21722.1],[gene=T6C23.6],[protein=Delta-aminolevulinic acid dehydratase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0561],[protein_id=AHF62948.1],[gene=mutS2],[protein=MutS2 family protein],[locus_tag=PMT_1546],[protein_id=CAE21721.1],[gene=mutS],[protein=putative DNA mismatch repair protein MutS family],[evalue=0.00000E+00],[locus_tag=PMT_0079],[protein_id=CAE20254.1],"[gene=mutS,fdv]",[protein=putative DNA mismatch repair protein],[evalue=2.51415E-20]
[locus_tag=Syncc8109_0562],[protein_id=AHF62949.1],[gene=None],[protein=ATPase],[locus_tag=PMT_1545],[protein_id=CAE21720.1],[gene=None],"[protein=possible ABC transporter, ATP binding component]",[evalue=0.00000E+00],[locus_tag=PMT_0691],[protein_id=CAE20866.1],[gene=None],"[protein=ABC transporter for sugars, ATP binding protein]",[evalue=4.03102E-73],[locus_tag=PMT_0501],[protein_id=CAE20676.1],"[gene=futC, sfuC]","[protein=ABC transporter, ATP binding component, possibly iron transporter]",[evalue=8.11640E-52]
[locus_tag=Syncc8109_0563],[protein_id=AHF62950.1],[gene=None],[protein=Small GTP-binding protein domain protein],[locus_tag=PMT_1544],[protein_id=CAE21719.1],[gene=None],[protein=GTP1/OBG family:Hemolysin-type calcium-binding region],[evalue=2.12426E-178],[locus_tag=PMT_1155],[protein_id=CAE21330.1],[gene=None],[protein=probable GTP-binding protein],[evalue=3.88711E-14]
[locus_tag=Syncc8109_0564],[protein_id=AHF62951.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1543],[protein_id=CAE21718.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.70640E-30]
[locus_tag=Syncc8109_0565],[protein_id=AHF62952.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1542],[protein_id=CAE21717.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.64316E-37]
[locus_tag=Syncc8109_0566],[protein_id=AHF62953.1],[gene=None],[protein=ATPase],[locus_tag=PMT_1540],[protein_id=CAE21715.1],[gene=None],"[protein=ABC transporter, ATP binding domain]",[evalue=0.00000E+00],[locus_tag=PMT_1635],[protein_id=CAE21810.1],[gene=None],"[protein=ABC transporter, ATP binding component]",[evalue=7.11996E-80],[locus_tag=PMT_1635],[protein_id=CAE21810.1],[gene=None],"[protein=ABC transporter, ATP binding component]",[evalue=3.39330E-29]
[locus_tag=Syncc8109_0567],[protein_id=AHF62954.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1539],[protein_id=CAE21714.1],[gene=F3H9.20],[protein=conserved hypothetical membrane protein],[evalue=3.63728E-78]
[locus_tag=Syncc8109_0568],[protein_id=AHF62955.1],[gene=None],[protein=putative glutathione S-transferase],[locus_tag=PMT_1538],[protein_id=CAE21713.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.97953E-154]
[locus_tag=Syncc8109_0569],[protein_id=AHF62956.1],[gene=None],[protein=Aspartoacylase],[locus_tag=PMT_1537],[protein_id=CAE21712.1],[gene=None],[protein=putative aspartoacylase],[evalue=8.61335E-116]
[locus_tag=Syncc8109_0570],[protein_id=AHF62957.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1534],[protein_id=CAE21709.1],[gene=None],[protein=hypothetical],[evalue=3.44721E-22]
[locus_tag=Syncc8109_0572],[protein_id=AHF62959.1],[gene=psbA2],[protein=photosystem II D1 protein form II],[locus_tag=PMT_1532],[protein_id=CAE21707.1],[gene=psbA],[protein=Photosystem II PsbA protein (D1)],[evalue=0.00000E+00],[locus_tag=PMT_0419],[protein_id=CAE20594.1],[gene=psbA],[protein=Photosystem II PsbA protein (D1)],[evalue=0.00000E+00],[locus_tag=PMT_1179],[protein_id=CAE21354.1],[gene=psbD],[protein=Photosystem II PsbD protein (D2)],[evalue=7.91923E-44]
[locus_tag=Syncc8109_0573],[protein_id=AHF62960.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1531],[protein_id=CAE21706.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.76022E-16]
[locus_tag=Syncc8109_0574],[protein_id=AHF62961.1],[gene=None],[protein=Band 7 protein],[locus_tag=PMT_0908],[protein_id=CAE21083.1],[gene=None],[protein=Band 7 protein],[evalue=1.94388E-156]
[locus_tag=Syncc8109_0579],[protein_id=AHF62966.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1211],[protein_id=CAE21386.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.62368E-25]
[locus_tag=Syncc8109_0585],[protein_id=AHF62972.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1037],[protein_id=CAE21212.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.30102E-36]
[locus_tag=Syncc8109_0589],[protein_id=AHF62976.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0951],[protein_id=CAE21126.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.78695E-52]
[locus_tag=Syncc8109_0600],[protein_id=AHF62987.1],[gene=None],[protein=Large exoprotein involved in heme utilization or adhesion],[locus_tag=PMT_1289],[protein_id=CAE21464.1],[gene=None],[protein=hypthetical protein],[evalue=6.27270E-27],[locus_tag=PMT_0088],[protein_id=CAE20263.1],[gene=None],[protein=possible protease],[evalue=9.59960E-20]
[locus_tag=Syncc8109_0606],[protein_id=AHF62993.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0303],[protein_id=CAE20478.1],[gene=None],[protein=possible Kelch motif],[evalue=1.55112E-09],[locus_tag=PMT_2115],[protein_id=CAE22289.1],[gene=None],[protein=possible Kelch motif],[evalue=2.36648E-07]
[locus_tag=Syncc8109_0618],[protein_id=AHF63004.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0967],[protein_id=CAE21142.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.33279E-115]
[locus_tag=Syncc8109_0619],[protein_id=AHF63005.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0966],[protein_id=CAE21141.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.20016E-173],[locus_tag=PMT_0965],[protein_id=CAE21140.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.81438E-08]
[locus_tag=Syncc8109_0620],[protein_id=AHF63006.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0965],[protein_id=CAE21140.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.32125E-117],[locus_tag=PMT_0966],[protein_id=CAE21141.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.32267E-13]
[locus_tag=Syncc8109_0621],[protein_id=AHF63007.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1284],[protein_id=CAE21459.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.52520E-171],[locus_tag=PMT_0556],[protein_id=CAE20731.1],[gene=cobW],[protein=putative cobalamin synthesis protein],[evalue=8.94766E-30]
[locus_tag=Syncc8109_0622],[protein_id=AHF63008.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2508],[protein_id=CAX32026.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.36589E-10]
[locus_tag=Syncc8109_0625],[protein_id=AHF63010.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1381],[protein_id=CAE21556.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.48499E-90]
[locus_tag=Syncc8109_0626],[protein_id=AHF63011.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1380],[protein_id=CAE21555.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.33964E-17]
[locus_tag=Syncc8109_0627],[protein_id=AHF63012.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1379],[protein_id=CAE21554.1],[gene=None],[protein=putative tetrapyrrole methylase family protein],[evalue=2.40182E-136]
[locus_tag=Syncc8109_0628],[protein_id=AHF63013.1],[gene=cysQ],[protein=CysQ protein-like protein],[locus_tag=PMT_1378],[protein_id=CAE21553.1],[gene=None],[protein=CysQ protein homolog],[evalue=9.21757E-180],[locus_tag=PMT_0699],[protein_id=CAE20874.1],[gene=suhB],[protein=Inositol-1-monophosphatase],[evalue=2.70497E-12],[locus_tag=PMT_0183],[protein_id=CAE20358.1],[gene=None],[protein=inositol monophosphate family protein],[evalue=9.76629E-11]
[locus_tag=Syncc8109_0629],[protein_id=AHF63014.1],[gene=pnp],[protein=RNA binding S1],[locus_tag=PMT_1377],[protein_id=CAE21552.1],[gene=pnp],[protein=polyribonucleotide nucleotidyltransferase],[evalue=0.00000E+00],[locus_tag=PMT_1668],[protein_id=CAE21843.1],"[gene=rps1a, rpsA1]","[protein=30S ribosomal protein S1, homolog A]",[evalue=6.10749E-09]
[locus_tag=Syncc8109_0630],[protein_id=AHF63015.1],[gene=rpsN],[protein=30S ribosomal protein S14],[locus_tag=PMT_1376],[protein_id=CAE21551.1],"[gene=rps14, rpsN]",[protein=30S Ribosomal protein S14],[evalue=4.42889E-66]
[locus_tag=Syncc8109_0631],[protein_id=AHF63016.1],[gene=None],"[protein=Peptidase M50, putative membrane-associated zinc metallopeptidase]",[locus_tag=PMT_1375],[protein_id=CAE21550.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.82836E-154]
[locus_tag=Syncc8109_0632],[protein_id=AHF63017.1],[gene=serRS],[protein=seryl-tRNA synthetase],[locus_tag=PMT_1374],[protein_id=CAE21549.1],[gene=serRS],[protein=putative seryl-tRNA synthetase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0634],[protein_id=AHF63019.1],[gene=None],[protein=ATPase],[locus_tag=PMT_1373],[protein_id=CAE21548.1],[gene=None],[protein=AAA ATPase superfamily],[evalue=0.00000E+00],[locus_tag=PMT_0378],[protein_id=CAE20553.1],[gene=ftsH3],[protein=cell division protein FtsH3],[evalue=3.98856E-30],[locus_tag=PMT_1798],[protein_id=CAE21973.1],[gene=ftsH2],[protein=cell division protein FtsH2],[evalue=1.84447E-29]
[locus_tag=Syncc8109_0635],[protein_id=AHF63020.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1372],[protein_id=CAE21547.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.36084E-64]
[locus_tag=Syncc8109_0636],[protein_id=AHF63021.1],[gene=yidC],[protein=putative inner membrane protein],[locus_tag=PMT_1371],[protein_id=CAE21546.1],[gene=None],[protein=Putative inner membrane protein; similar to 60 kDa inner membrane protein family],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0637],[protein_id=AHF63022.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1370],[protein_id=CAE21545.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.80063E-70]
[locus_tag=Syncc8109_0638],[protein_id=AHF63023.1],[gene=rnpA],[protein=ribonuclease P protein component of ribozyme],[locus_tag=PMT_1369],[protein_id=CAE21544.1],[gene=rnpA],[protein=bacterial ribonuclease P protein component of ribozyme],[evalue=9.27997E-33]
[locus_tag=Syncc8109_0639],[protein_id=AHF63024.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1367],[protein_id=CAE21542.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.07199E-78]
[locus_tag=Syncc8109_0640],[protein_id=AHF63025.1],[gene=tyrA],[protein=chorismate mutase],[locus_tag=PMT_1366],[protein_id=CAE21541.1],[gene=tyrA],[protein=Chorismate mutase],[evalue=1.88474E-55]
[locus_tag=Syncc8109_0641],[protein_id=AHF63026.1],[gene=sppA],"[protein=signal peptide peptidase SppA, 36K type]",[locus_tag=PMT_1365],[protein_id=CAE21540.1],[gene=sppA],[protein=signal peptide peptidase SppA (protease IV)],[evalue=5.99538E-143]
[locus_tag=Syncc8109_0642],[protein_id=AHF63027.1],[gene=None],"[protein=putative SMR family transporter, possible PecM]",[locus_tag=PMT_1364],[protein_id=CAE21539.1],[gene=None],"[protein=putative SMR family transporter, possible pecM homologue]",[evalue=5.41488E-116]
[locus_tag=Syncc8109_0643],[protein_id=AHF63028.1],[gene=None],[protein=putative UDP-glucose:tetrahydrobiopterin glucosyltransferase],[locus_tag=PMT_0049],[protein_id=CAE20224.1],[gene=sqdX],[protein=SqdX],[evalue=2.21880E-09],[locus_tag=PMT_2268],[protein_id=CAE22442.1],[gene=sps],[protein=Sucrose phosphate synthase],[evalue=2.08313E-07],[locus_tag=PMT_1920],[protein_id=CAE22095.1],[gene=None],"[protein=glycosyl transferase, group 1]",[evalue=2.84225E-07]
[locus_tag=Syncc8109_0644],[protein_id=AHF63029.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1363],[protein_id=CAE21538.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0647],[protein_id=AHF63032.1],[gene=pspA],[protein=membrane-associated 30 kD protein-like protein],[locus_tag=PMT_1361],[protein_id=CAE21536.1],[gene=None],[protein=similar to chloroplast membrane-associated 30 kD protein],[evalue=1.76078E-123]
[locus_tag=Syncc8109_0648],[protein_id=AHF63033.1],[gene=trxA],[protein=thioredoxin],[locus_tag=PMT_1127],[protein_id=CAE21302.1],[gene=trxA],[protein=Thioredoxin],[evalue=5.98706E-29],[locus_tag=PMT_1826],[protein_id=CAE22001.1],[gene=txlA],[protein=thioredoxin-like protein TxlA],[evalue=2.50779E-10]
[locus_tag=Syncc8109_0649],[protein_id=AHF63034.1],[gene=None],[protein=aminotransferase],[locus_tag=PMT_1360],[protein_id=CAE21535.1],[gene=None],[protein=Aminotransferases class-I],[evalue=1.17740E-158],[locus_tag=PMT_0779],[protein_id=CAE20954.1],[gene=aspC],[protein=Aminotransferases class-I],[evalue=1.97967E-25],[locus_tag=PMT_1791],[protein_id=CAE21966.1],[gene=None],[protein=Aminotransferases class-I],[evalue=1.10668E-17]
[locus_tag=Syncc8109_0650],[protein_id=AHF63035.1],[gene=None],[protein=Biotin--acetyl-CoA-carboxylase ligase],[locus_tag=PMT_1359],[protein_id=CAE21534.1],[gene=BirA],[protein=putative Biotin--acetyl-CoA-carboxylase ligase],[evalue=8.11346E-65]
[locus_tag=Syncc8109_0651],[protein_id=AHF63036.1],[gene=None],[protein=peptidase family M23/M37],[locus_tag=PMT_1358],[protein_id=CAE21533.1],[gene=None],[protein=Peptidase family M23/M37],[evalue=3.00668E-13]
[locus_tag=Syncc8109_0652],[protein_id=AHF63037.1],[gene=cheY],[protein=response regulator receiver domain protein (CheY-like)],[locus_tag=PMT_1356],[protein_id=CAE21531.1],[gene=None],[protein=Response regulator receiver domain],[evalue=2.20055E-34],[locus_tag=PMT_0805],[protein_id=CAE20980.1],[gene=None],[protein=two-component response regulator],[evalue=3.20181E-11],[locus_tag=PMT_0146],[protein_id=CAE20321.1],[gene=None],[protein=two-component response regulator],[evalue=4.80466E-08]
[locus_tag=Syncc8109_0653],[protein_id=AHF63038.1],[gene=None],[protein=ATPase],[locus_tag=PMT_1355],[protein_id=CAE21530.1],[gene=None],"[protein=possible ABC transporter, ATP binding protein]",[evalue=1.69135E-117],[locus_tag=PMT_1576],[protein_id=CAE21751.1],[gene=None],"[protein=ABC transporter, ATP binding protein]",[evalue=2.24927E-44],[locus_tag=PMT_0893],[protein_id=CAE21068.1],[gene=None],"[protein=ABC transporter for amino acids, ATP binding component]",[evalue=7.52718E-42]
[locus_tag=Syncc8109_0654],[protein_id=AHF63039.1],[gene=ndhB],"[protein=Proton-translocating NADH-quinone oxidoreductase, chain N]",[locus_tag=PMT_1354],[protein_id=CAE21529.1],[gene=ndhB],[protein=putative NADH dehydrogenase (complex I) subunit (chain 2)],[evalue=0.00000E+00],[locus_tag=PMT_2009],[protein_id=CAE22183.1],[gene=ndhF],"[protein=NADH-Ubiquinone oxidoreductase (complex I), chain 5]",[evalue=4.36369E-19],[locus_tag=PMT_2010],[protein_id=CAE22184.1],[gene=ndhD],[protein=putative NADH dehydrogenase (complex I) subunit (chain 4)],[evalue=3.89572E-17]
[locus_tag=Syncc8109_0655],[protein_id=AHF63040.1],[gene=topA],[protein=DNA topoisomerase I],[locus_tag=PMT_1353],[protein_id=CAE21528.1],[gene=topA],[protein=Prokaryotic DNA topoisomerase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0656],[protein_id=AHF63041.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1352],[protein_id=CAE21527.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.03815E-21]
[locus_tag=Syncc8109_0657],[protein_id=AHF63042.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1351],[protein_id=CAE21526.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.58978E-91]
[locus_tag=Syncc8109_0658],[protein_id=AHF63043.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1350],[protein_id=CAE21525.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.07568E-112]
[locus_tag=Syncc8109_0659],[protein_id=AHF63044.1],[gene=None],[protein=Twin-arginine translocation pathway signal],[locus_tag=PMT_1349],[protein_id=CAE21524.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.95296E-85]
[locus_tag=Syncc8109_0660],[protein_id=AHF63045.1],[gene=None],"[protein=putative oxidoreductase, aldo/keto reductase family]",[locus_tag=PMT_1348],[protein_id=CAE21523.1],[gene=None],"[protein=Oxidoreductase, Aldo/keto reductase family; 4Fe-4S ferredoxin, iron-sulfur binding domain]",[evalue=0.00000E+00],[locus_tag=PMT_1497],[protein_id=CAE21672.1],[gene=None],[protein=Aldo/keto reductase family],[evalue=1.82349E-44],[locus_tag=PMT_0097],[protein_id=CAE20272.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.81272E-07]
[locus_tag=Syncc8109_0661],[protein_id=AHF63046.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1347],[protein_id=CAE21522.1],[gene=None],[protein=DUF151],[evalue=6.71265E-87]
[locus_tag=Syncc8109_0662],[protein_id=AHF63047.1],[gene=None],"[protein=putative boflavin synthase, alpha subunit]",[locus_tag=PMT_1346],[protein_id=CAE21521.1],[gene=ribE],[protein=Putative Riboflavin synthase alpha chain],[evalue=2.98011E-102]
[locus_tag=Syncc8109_0663],[protein_id=AHF63048.1],[gene=abrB],[protein=Transcriptional regulator AbrB],[locus_tag=PMT_1344],[protein_id=CAE21519.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.44270E-57],[locus_tag=PMT_0464],[protein_id=CAE20639.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.09726E-22]
[locus_tag=Syncc8109_0664],[protein_id=AHF63049.1],[gene=coxC],[protein=putative cytochrome c oxidase subunit III],[locus_tag=PMT_1343],[protein_id=CAE21518.1],[gene=ctaE (coxC)],"[protein=Cytochrome c oxidase, subunit III]",[evalue=6.47728E-112]
