[locus_tag=PMT_0001],[protein_id=CAE20176.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[evalue=0.00000E+00]
[locus_tag=PMT_0497],[protein_id=CAE20672.1],[gene=None],"[protein=Bacterial regulatory proteins, Crp family]",[locus_tag=Syncc8109_1050],[protein_id=AHF63422.1],[gene=None],[protein=HTH of cAMP family transcriptional regulator],[evalue=1.53915E-85]
[locus_tag=PMT_0499],[protein_id=CAE20674.1],[gene=None],[protein=ferritin],[locus_tag=Syncc8109_1055],[protein_id=AHF63427.1],[gene=None],[protein=ferritin],[evalue=1.30718E-70]
[locus_tag=PMT_0501],[protein_id=CAE20676.1],"[gene=futC, sfuC]","[protein=ABC transporter, ATP binding component, possibly iron transporter]",[locus_tag=Syncc8109_0736],[protein_id=AHF63116.1],[gene=futC],[protein=ATPase],[evalue=9.50824E-118],[locus_tag=Syncc8109_1252],[protein_id=AHF63620.1],[gene=None],[protein=ATPase],[evalue=2.76422E-61],[locus_tag=Syncc8109_0562],[protein_id=AHF62949.1],[gene=None],[protein=ATPase],[evalue=6.53637E-52]
[locus_tag=PMT_0502],[protein_id=CAE20677.1],[gene=None],"[protein=Bacterial regulatory proteins, Crp family]",[locus_tag=Syncc8109_1050],[protein_id=AHF63422.1],[gene=None],[protein=HTH of cAMP family transcriptional regulator],[evalue=1.50724E-17]
[locus_tag=PMT_0503],[protein_id=CAE20678.1],[gene=None],[protein=possible ATLS1-like light-inducible protein],[locus_tag=Syncc8109_1600],[protein_id=AHF63957.1],[gene=None],[protein=putative ATLS1-like light-inducible protein],[evalue=1.39881E-45]
[locus_tag=PMT_0504],[protein_id=CAE20679.1],[gene=None],[protein=putative endonuclease],[locus_tag=Syncc8109_1172],[protein_id=AHF63542.1],[gene=nth],[protein=endonuclease III],[evalue=7.27939E-106]
[locus_tag=PMT_0505],[protein_id=CAE20680.1],[gene=None],[protein=Rhomboid family],[locus_tag=Syncc8109_1999],[protein_id=AHF64343.1],[gene=None],[protein=hypothetical protein],[evalue=6.53633E-65]
[locus_tag=PMT_0506],[protein_id=CAE20681.1],[gene=ycf39],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2290],[protein_id=AHF64616.1],[gene=None],[protein=hypothetical protein],[evalue=9.60903E-90],[locus_tag=Syncc8109_2088],[protein_id=AHF64426.1],[gene=ycf39],[protein=putative chaperon-like protein for quinone binding in photosystem II],[evalue=1.63231E-13]
[locus_tag=PMT_0507],[protein_id=CAE20682.1],[gene=None],[protein=hypothetical protein],[locus_tag=Syncc8109_1997],[protein_id=AHF64341.1],[gene=None],[protein=hypothetical protein],[evalue=3.24904E-34]
[locus_tag=PMT_0508],[protein_id=CAE20683.1],[gene=None],"[protein=ABC transporter, substrate binding protein, phosphate]",[locus_tag=Syncc8109_1378],[protein_id=AHF63741.1],[gene=None],"[protein=ABC transporter, substrate binding protein, phosphate]",[evalue=7.23492E-166],[locus_tag=Syncc8109_1542],[protein_id=AHF63902.1],[gene=None],[protein=Periplasmic phosphate binding protein],[evalue=1.31696E-159]
[locus_tag=PMT_0509],[protein_id=CAE20684.1],[gene=cytA],"[protein=Cytochrome c, class IC:Cytochrome c, class I]",[locus_tag=Syncc8109_1675],[protein_id=AHF64032.1],[gene=petJ],[protein=putative cytochrome c6 (soluble cytochrome f) (cytochrome c553)],[evalue=1.23655E-21]
[locus_tag=PMT_0510],[protein_id=CAE20685.1],[gene=rimI],[protein=GCN5-related N-acetyltransferase],[locus_tag=Syncc8109_1072],[protein_id=AHF63443.1],[gene=rimI],[protein=putative ribosomal-protein-alanine acetyltransferase],[evalue=1.27789E-94]
[locus_tag=PMT_0512],[protein_id=CAE20687.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0778],[protein_id=AHF63158.1],[gene=None],[protein=hypothetical protein],[evalue=1.91236E-100]
[locus_tag=PMT_0513],[protein_id=CAE20688.1],[gene=None],"[protein=possible Helix-turn-helix protein, copG family]",[locus_tag=Syncc8109_0779],[protein_id=AHF63159.1],[gene=None],[protein=hypothetical protein],[evalue=1.13844E-19]
[locus_tag=PMT_0515],[protein_id=CAE20690.1],[gene=None],[protein=possible ligand gated channel (GIC family)],[locus_tag=Syncc8109_0780],[protein_id=AHF63160.1],[gene=None],[protein=Ionotropic glutamate receptor],[evalue=4.53104E-109]
[locus_tag=PMT_0516],[protein_id=CAE20691.1],[gene=None],[protein=Proline-rich region],[locus_tag=Syncc8109_0784],[protein_id=AHF63164.1],[gene=None],[protein=hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMT_0517],[protein_id=CAE20692.1],[gene=None],[protein=similar to IMP dehydrogenase],[locus_tag=Syncc8109_0801],[protein_id=AHF63181.1],[gene=None],[protein=CBS protein],[evalue=4.75600E-77]
[locus_tag=PMT_0518],[protein_id=CAE20693.1],[gene=pgsA],[protein=CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase],[locus_tag=Syncc8109_0802],[protein_id=AHF63182.1],[gene=pgsA],[protein=CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase],[evalue=5.32139E-64]
[locus_tag=PMT_0519],[protein_id=CAE20694.1],[gene=None],[protein=possible mRNA-binding protein],[locus_tag=Syncc8109_0803],[protein_id=AHF63183.1],[gene=None],[protein=putative nucleotide sugar epimerase],[evalue=0.00000E+00]
[locus_tag=PMT_0520],[protein_id=CAE20695.1],[gene=hisA],[protein=Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide isomerase],[locus_tag=Syncc8109_0804],[protein_id=AHF63184.1],[gene=hisA],[protein=Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase],[evalue=8.87758E-138],[locus_tag=Syncc8109_1902],[protein_id=AHF64247.1],[gene=hisF],"[protein=imidazoleglycerol phosphate synthase, cyclase subunit]",[evalue=8.51330E-24]
[locus_tag=PMT_0521],[protein_id=CAE20696.1],[gene=None],[protein=Ferric uptake regulator family],[locus_tag=Syncc8109_0805],[protein_id=AHF63185.1],[gene=None],"[protein=putative ferric uptake regulator, FUR family]",[evalue=1.53911E-71]
[locus_tag=PMT_0522],[protein_id=CAE20697.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=Syncc8109_0806],[protein_id=AHF63186.1],[gene=None],[protein=hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMT_0523],[protein_id=CAE20698.1],[gene=None],[protein=conservd hypothetical protein],[locus_tag=Syncc8109_0807],[protein_id=AHF63187.1],[gene=None],[protein=hypothetical protein],[evalue=7.56918E-56]
[locus_tag=PMT_0524],[protein_id=CAE20699.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0808],[protein_id=AHF63188.1],[gene=None],[protein=hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMT_0525],[protein_id=CAE20700.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0809],[protein_id=AHF63189.1],[gene=None],[protein=hypothetical protein],[evalue=1.57523E-86]
[locus_tag=PMT_0526],[protein_id=CAE20701.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0810],[protein_id=AHF63190.1],[gene=yqgF],[protein=Holliday junction resolvase YqgF],[evalue=8.21878E-48]
[locus_tag=PMT_0527],[protein_id=CAE20702.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0811],[protein_id=AHF63191.1],[gene=None],[protein=hypothetical protein],[evalue=7.86843E-70]
[locus_tag=PMT_0528],[protein_id=CAE20703.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0812],[protein_id=AHF63192.1],[gene=None],[protein=HAD-superfamily phosphatase subfamily IIIA],[evalue=7.84900E-68]
[locus_tag=PMT_0529],[protein_id=CAE20704.1],[gene=proB],[protein=putative glutamate 5-kinase],[locus_tag=Syncc8109_0813],[protein_id=AHF63193.1],[gene=proB],[protein=glutamate 5-kinase],[evalue=3.42529E-171]
[locus_tag=PMT_0530],[protein_id=CAE20705.1],[gene=lpxD],[protein=UDP-3-O-[3-hydroxymyristoyl],[locus_tag=Syncc8109_0814],[protein_id=AHF63194.1],[gene=lpxD],[protein=UDP-3-O-[3-hydroxymyristoyl],[evalue=1.95900E-173]
[locus_tag=PMT_0531],[protein_id=CAE20706.1],[gene=leuB],[protein=3-isopropylmalate dehydrogenase],[locus_tag=Syncc8109_0815],[protein_id=AHF63195.1],[gene=leuB],[protein=3-isopropylmalate dehydrogenase],[evalue=0.00000E+00],[locus_tag=Syncc8109_0169],[protein_id=AHF62587.1],[gene=icd],[protein=Isocitrate dehydrogenase],[evalue=4.93443E-16]
[locus_tag=PMT_0532],[protein_id=CAE20707.1],"[gene=prk, cbbP]",[protein=phosphoribulokinase],[locus_tag=Syncc8109_0816],[protein_id=AHF63196.1],[gene=prk],[protein=Phosphoribulokinase],[evalue=0.00000E+00]
[locus_tag=PMT_0534],[protein_id=CAE20709.1],[gene=accD],"[protein=acetyl-CoA carboxylase, beta subunit]",[locus_tag=Syncc8109_0821],[protein_id=AHF63199.1],[gene=accD],"[protein=acetyl-CoA carboxylase, carboxyl transferase, beta subunit]",[evalue=0.00000E+00]
[locus_tag=PMT_0535],[protein_id=CAE20710.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0822],[protein_id=AHF63200.1],[gene=None],[protein=hypothetical protein],[evalue=2.85779E-42]
[locus_tag=PMT_0536],[protein_id=CAE20711.1],[gene=None],[protein=putative oxidoreductase],[locus_tag=Syncc8109_0823],[protein_id=AHF63201.1],[gene=None],[protein=putative oxidoreductase],[evalue=1.39801E-148]
[locus_tag=PMT_0537],[protein_id=CAE20712.1],"[gene=cbbA,cfxA,fbaA,fda]","[protein=Fructose-bisphosphate/sedoheptulose-1,7-bisphosphate aldolase]",[locus_tag=Syncc8109_0824],[protein_id=AHF63202.1],[gene=cbbA],"[protein=fructose-bisphosphate aldolase, class II, Calvin cycle subtype]",[evalue=0.00000E+00]
[locus_tag=PMT_0538],[protein_id=CAE20713.1],[gene=None],[protein=Uncharacterized protein family UPF0094],[locus_tag=Syncc8109_0825],[protein_id=AHF63203.1],[gene=None],[protein=hypothetical protein],[evalue=7.70134E-130],[locus_tag=Syncc8109_0679],[protein_id=AHF63064.1],[gene=None],[protein=hypothetical protein],[evalue=5.47202E-57]
[locus_tag=PMT_0539],[protein_id=CAE20714.1],"[gene=purQ (purL, pur4)]",[protein=phosphoribosylformylglycinamidine synthase],[locus_tag=Syncc8109_0826],[protein_id=AHF63204.1],[gene=purQ (purL],[protein=phosphoribosylformylglycinamidine synthase I],[evalue=3.79408E-125]
[locus_tag=PMT_0540],[protein_id=CAE20715.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0827],[protein_id=AHF63205.1],[gene=None],[protein=Phosphoribosylformylglycinamidine synthetase PurS],[evalue=1.23055E-36]
[locus_tag=PMT_0543],[protein_id=CAE20718.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[locus_tag=Syncc8109_1139],[protein_id=AHF63510.1],[gene=hpnB],[protein=putative glycosyltransferase family 2],[evalue=6.99093E-149]
[locus_tag=PMT_2396],[protein_id=CAX31914.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=Syncc8109_1751],[protein_id=AHF64107.1],[gene=None],[protein=hypothetical protein],[evalue=1.64370E-11]
[locus_tag=PMT_0548],[protein_id=CAE20723.1],[gene=None],[protein=putative agropine synthesis reductase],[locus_tag=Syncc8109_1420],[protein_id=AHF63782.1],[gene=None],[protein=putative short-chain dehydrogenase family protein],[evalue=1.07876E-101]
[locus_tag=PMT_0551],[protein_id=CAE20726.1],[gene=sdmt],[protein=putative sarcosine-dimethylglycine methyltransferase],[locus_tag=Syncc8109_0322],[protein_id=AHF62731.1],[gene=None],[protein=putative sterol-C-methyltransferase],[evalue=3.00515E-18]
[locus_tag=PMT_0553],[protein_id=CAE20728.1],[gene=None],"[protein=ABC transporter, ATP binding component, glycine betaine/proline family]",[locus_tag=Syncc8109_0562],[protein_id=AHF62949.1],[gene=None],[protein=ATPase],[evalue=9.10371E-47],[locus_tag=Syncc8109_1252],[protein_id=AHF63620.1],[gene=None],[protein=ATPase],[evalue=8.92849E-46],[locus_tag=Syncc8109_0653],[protein_id=AHF63038.1],[gene=None],[protein=ATPase],[evalue=2.62433E-40]
[locus_tag=PMT_0556],[protein_id=CAE20731.1],[gene=cobW],[protein=putative cobalamin synthesis protein],[locus_tag=Syncc8109_0738],[protein_id=AHF63118.1],[gene=None],[protein=hypothetical protein],[evalue=1.46415E-32],[locus_tag=Syncc8109_0621],[protein_id=AHF63007.1],[gene=None],[protein=hypothetical protein],[evalue=4.26201E-32]
[locus_tag=PMT_0557],[protein_id=CAE20732.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1428],[protein_id=AHF63790.1],[gene=None],[protein=hypothetical protein],[evalue=1.94772E-64],[locus_tag=Syncc8109_1869],[protein_id=AHF64219.1],[gene=None],[protein=hypothetical protein],[evalue=1.23585E-25],[locus_tag=Syncc8109_1510],[protein_id=AHF63871.1],[gene=None],[protein=hypothetical protein],[evalue=3.58031E-18]
[locus_tag=PMT_0558],[protein_id=CAE20733.1],[gene=None],[protein=putative uracil phosphoribosyltransferase],[locus_tag=Syncc8109_1429],[protein_id=AHF63791.1],[gene=None],[protein=putative uracil phosphoribosyltransferase],[evalue=1.58978E-96]
[locus_tag=PMT_0559],[protein_id=CAE20734.1],[gene=None],[protein=conserved hypothetical],[locus_tag=Syncc8109_1430],[protein_id=AHF63792.1],[gene=None],[protein=hypothetical protein],[evalue=5.33084E-33]
[locus_tag=PMT_0560],[protein_id=CAE20735.1],[gene=None],[protein=Dihydroxy-acid dehydratase],[locus_tag=Syncc8109_1431],[protein_id=AHF63793.1],[gene=ilvD],[protein=dihydroxy-acid dehydratase],[evalue=0.00000E+00]
[locus_tag=PMT_0561],[protein_id=CAE20736.1],[gene=None],[protein=possible Insulin-like growth factor binding pr],[locus_tag=Syncc8109_1432],[protein_id=AHF63794.1],[gene=None],[protein=hypothetical protein],[evalue=7.49321E-45]
[locus_tag=PMT_0562],[protein_id=CAE20737.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1433],[protein_id=AHF63795.1],[gene=None],[protein=hypothetical protein],[evalue=1.23381E-78]
[locus_tag=PMT_0564],[protein_id=CAE20739.1],[gene=None],"[protein=Putative 6-phosphogluconolactonase (DevB, Pgl)]",[locus_tag=Syncc8109_1434],[protein_id=AHF63796.1],[gene=pgl],[protein=6-phosphogluconolactonase],[evalue=7.39944E-125]
[locus_tag=PMT_0565],[protein_id=CAE20740.1],[gene=gnd],[protein=6-phosphogluconate dehydrogenase],[locus_tag=Syncc8109_1435],[protein_id=AHF63797.1],[gene=gnd],"[protein=6-phosphogluconate dehydrogenase, decarboxylating]",[evalue=0.00000E+00]
[locus_tag=PMT_0566],[protein_id=CAE20741.1],[gene=glgC],[protein=ADP-glucose pyrophosphorylase],[locus_tag=Syncc8109_1436],[protein_id=AHF63798.1],[gene=glgC],[protein=Glucose-1-phosphate adenylyltransferase],[evalue=0.00000E+00],[locus_tag=Syncc8109_2513],[protein_id=AHF64820.1],[gene=None],[protein=putative sugar-phosphate nucleotidyl transferase],[evalue=1.97936E-14]
[locus_tag=PMT_0567],[protein_id=CAE20742.1],[gene=hemA],[protein=glutamyl-tRNA reductase],[locus_tag=Syncc8109_1437],[protein_id=AHF63799.1],[gene=hemA],[protein=glutamyl-tRNA reductase],[evalue=0.00000E+00]
[locus_tag=PMT_0568],[protein_id=CAE20743.1],"[gene=glpX, cbbF, fbp]","[protein=Fructose-1,6-bisphosphatase/sedoheptulose-1,7-bisphosphatase]",[locus_tag=Syncc8109_1438],[protein_id=AHF63800.1],[gene=glpX],"[protein=fructose-1,6-bisphosphatase, class II]",[evalue=0.00000E+00]
[locus_tag=PMT_0569],[protein_id=CAE20744.1],"[gene=rpe, cbbE]",[protein=Ribulose-phosphate 3-epimerase],[locus_tag=Syncc8109_1439],[protein_id=AHF63801.1],[gene=rpe],[protein=ribulose-phosphate 3-epimerase],[evalue=4.57434E-153]
[locus_tag=PMT_0570],[protein_id=CAE20745.1],[gene=None],[protein=possible heme transporter],[locus_tag=Syncc8109_1442],[protein_id=AHF63804.1],[gene=None],[protein=putative heme transporter],[evalue=2.17991E-158]
[locus_tag=PMT_0571],[protein_id=CAE20746.1],[gene=None],[protein=possible permease],[locus_tag=Syncc8109_1443],[protein_id=AHF63805.1],[gene=None],[protein=putative permease],[evalue=4.71513E-133]
[locus_tag=PMT_0572],[protein_id=CAE20747.1],[gene=None],"[protein=possible ABC transporter, ATP binding component]",[locus_tag=Syncc8109_1444],[protein_id=AHF63806.1],[gene=None],[protein=ATPase],[evalue=8.16119E-127],[locus_tag=Syncc8109_0669],[protein_id=AHF63054.1],[gene=drrA],[protein=ATPase],[evalue=5.26685E-30],[locus_tag=Syncc8109_2675],[protein_id=AHF64981.1],[gene=urtE],[protein=Putative ATP-binding subunit of urea ABC transport system],[evalue=5.39165E-30]
[locus_tag=PMT_0573],[protein_id=CAE20748.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1445],[protein_id=AHF63807.1],[gene=None],[protein=hypothetical protein],[evalue=1.85999E-37]
[locus_tag=PMT_0574],[protein_id=CAE20749.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1446],[protein_id=AHF63808.1],[gene=None],[protein=hypothetical protein],[evalue=3.04452E-53]
[locus_tag=PMT_0575],[protein_id=CAE20750.1],[gene=typA / bipA],[protein=tyrosine binding protein],[locus_tag=Syncc8109_1447],[protein_id=AHF63809.1],[gene=typA / bipA],[protein=GTP-binding protein TypA],[evalue=0.00000E+00],[locus_tag=Syncc8109_1913],[protein_id=AHF64258.1],[gene=lepA],[protein=GTP-binding protein LepA],[evalue=6.08606E-38],[locus_tag=Syncc8109_0326],[protein_id=AHF62735.1],[gene=fusA],[protein=translation elongation factor G],[evalue=5.19680E-32]
[locus_tag=PMT_0576],[protein_id=CAE20751.1],[gene=None],[protein=putative carboxypeptidase],[locus_tag=Syncc8109_1449],[protein_id=AHF63811.1],[gene=None],[protein=putative carboxypeptidase],[evalue=1.22833E-89]
[locus_tag=PMT_0577],[protein_id=CAE20752.1],[gene=chlP],[protein=Aromatic-ring hydroxylase (flavoprotein monooxygenase)],[locus_tag=Syncc8109_1450],[protein_id=AHF63812.1],[gene=chlP],[protein=geranylgeranyl reductase],[evalue=0.00000E+00]
[locus_tag=PMT_0578],[protein_id=CAE20753.1],[gene=glyS],"[protein=putative Glycyl-tRNA synthetase, beta subunit]",[locus_tag=Syncc8109_1452],[protein_id=AHF63814.1],[gene=glyS],"[protein=glycyl-tRNA synthetase, beta subunit]",[evalue=0.00000E+00]
[locus_tag=PMT_0579],[protein_id=CAE20754.1],[gene=sir],[protein=Ferredoxin-sulfite reductase],[locus_tag=Syncc8109_1453],[protein_id=AHF63815.1],[gene=sir],"[protein=Sulfite reductase, ferredoxin dependent]",[evalue=0.00000E+00],[locus_tag=Syncc8109_2723],[protein_id=AHF65029.1],[gene=None],[protein=Ferredoxin--nitrite reductase],[evalue=7.95103E-32]
[locus_tag=PMT_0580],[protein_id=CAE20755.1],[gene=None],[protein=D-ala-D-ala dipeptidase],[locus_tag=Syncc8109_1454],[protein_id=AHF63816.1],[gene=None],[protein=putative D-alanyl-D-alanine dipeptidase],[evalue=8.04446E-98]
[locus_tag=PMT_0581],[protein_id=CAE20756.1],[gene=None],[protein=putative DNA helicase],[locus_tag=Syncc8109_1455],[protein_id=AHF63817.1],[gene=recG],[protein=ATP-dependent DNA helicase RecG],[evalue=0.00000E+00],[locus_tag=Syncc8109_1387],[protein_id=AHF63750.1],[gene=None],[protein=transcription-repair coupling factor],[evalue=8.27417E-71]
[locus_tag=PMT_0582],[protein_id=CAE20757.1],[gene=None],[protein=conserved hypothetical],[locus_tag=Syncc8109_1456],[protein_id=AHF63818.1],[gene=None],[protein=hypothetical protein],[evalue=1.42767E-78]
[locus_tag=PMT_0583],[protein_id=CAE20758.1],[gene=tsf],"[protein=putative Elongation factor Ts, EF-Ts]",[locus_tag=Syncc8109_1457],[protein_id=AHF63819.1],[gene=tsf],[protein=translation elongation factor Ts],[evalue=1.56832E-131]
[locus_tag=PMT_0584],[protein_id=CAE20759.1],"[gene=rps2, rpsB]",[protein=30S ribosomal protein S2],[locus_tag=Syncc8109_1458],[protein_id=AHF63820.1],[gene=rps2],[protein=ribosomal protein S2],[evalue=2.06981E-173]
[locus_tag=PMT_0585],[protein_id=CAE20760.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[locus_tag=Syncc8109_1459],[protein_id=AHF63821.1],[gene=None],[protein=putative glycosyltransferase],[evalue=0.00000E+00]
[locus_tag=PMT_0586],[protein_id=CAE20761.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1460],[protein_id=AHF63822.1],[gene=None],[protein=hypothetical protein],[evalue=5.36853E-30]
[locus_tag=PMT_0587],[protein_id=CAE20762.1],[gene=None],"[protein=ABC transporter, ATP-binding component]",[locus_tag=Syncc8109_1461],[protein_id=AHF63823.1],[gene=None],[protein=ATPase],[evalue=1.85890E-122],[locus_tag=Syncc8109_0653],[protein_id=AHF63038.1],[gene=None],[protein=ATPase],[evalue=5.31058E-36],[locus_tag=Syncc8109_0880],[protein_id=AHF63257.1],[gene=glnQ],[protein=ATPase],[evalue=1.16796E-32]
[locus_tag=PMT_0588],[protein_id=CAE20763.1],[gene=None],"[protein=ABC-transporter, membrane spanning component]",[locus_tag=Syncc8109_1462],[protein_id=AHF63824.1],[gene=None],[protein=DevC protein],[evalue=0.00000E+00]
[locus_tag=PMT_0589],[protein_id=CAE20764.1],[gene=None],[protein=possible ABC transporter component],[locus_tag=Syncc8109_1463],[protein_id=AHF63825.1],[gene=None],[protein=putative ABC transporter component],[evalue=8.51596E-101]
[locus_tag=PMT_0590],[protein_id=CAE20765.1],[gene=pcyA],[protein=ferredoxin-dependent biliverdin reductase],[locus_tag=Syncc8109_1464],[protein_id=AHF63826.1],[gene=pcyA],[protein=ferredoxin-dependent biliverdin reductase],[evalue=3.11260E-92],[locus_tag=Syncc8109_0440],[protein_id=AHF62840.1],[gene=pebB],[protein=phycoerythrobilin:ferredoxin oxidoreductase],[evalue=6.66511E-15]
[locus_tag=PMT_0591],[protein_id=CAE20766.1],[gene=None],[protein=Possible Zn-dependent peptidase],[locus_tag=Syncc8109_1465],[protein_id=AHF63827.1],[gene=pqqL],[protein=putative Zn-dependent peptidase],[evalue=1.82117E-144]
[locus_tag=PMT_0592],[protein_id=CAE20767.1],[gene=None],[protein=Insulinase family (Peptidase family M16)],[locus_tag=Syncc8109_1466],[protein_id=AHF63828.1],[gene=pqqL],[protein=putative Zn-dependent peptidase],[evalue=1.50258E-145]
[locus_tag=PMT_0593],[protein_id=CAE20768.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1467],[protein_id=AHF63829.1],[gene=None],[protein=hypothetical protein],[evalue=4.24369E-22]
[locus_tag=PMT_0594],[protein_id=CAE20769.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1468],[protein_id=AHF63830.1],[gene=None],[protein=BioY protein],[evalue=8.34698E-73]
[locus_tag=PMT_0595],[protein_id=CAE20770.1],[gene=None],[protein=putative lipoprotein signal peptidase],[locus_tag=Syncc8109_1469],[protein_id=AHF63831.1],[gene=None],[protein=lipoprotein signal peptidase],[evalue=3.12046E-44]
[locus_tag=PMT_0597],[protein_id=CAE20772.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1470],[protein_id=AHF63832.1],[gene=None],[protein=Small GTP-binding protein domain protein],[evalue=0.00000E+00],[locus_tag=Syncc8109_2259],[protein_id=AHF64585.1],[gene=None],[protein=Small GTP-binding protein domain protein],[evalue=1.54213E-24]
[locus_tag=PMT_0598],[protein_id=CAE20773.1],[gene=None],[protein=Pyridoxal-dependent decarboxylase family],[locus_tag=Syncc8109_1471],[protein_id=AHF63833.1],[gene=None],[protein=pyridoxal-dependent decarboxylase family protein],[evalue=0.00000E+00]
[locus_tag=PMT_0599],[protein_id=CAE20774.1],[gene=None],[protein=putative cytidine/deoxycytidylate deaminase],[locus_tag=Syncc8109_1472],[protein_id=AHF63834.1],[gene=cumB],[protein=cytidine/deoxycytidylate deaminase family protein],[evalue=1.82091E-69],[locus_tag=Syncc8109_1819],[protein_id=AHF64171.1],[gene=ribD],[protein=riboflavin biosynthesis protein RibD],[evalue=5.42668E-11]
[locus_tag=PMT_0600],[protein_id=CAE20775.1],"[gene=spt, agt]",[protein=serine:pyruvate/alanine:glyoxylate aminotransferase],[locus_tag=Syncc8109_1473],[protein_id=AHF63835.1],[gene=spt],[protein=serine:pyruvate/alanine:glyoxylate aminotransferase],[evalue=0.00000E+00],[locus_tag=Syncc8109_0050],[protein_id=AHF62475.1],[gene=DHSS],[protein=soluble hydrogenase small subunit],[evalue=3.24123E-53]
[locus_tag=PMT_0601],[protein_id=CAE20776.1],[gene=glnA],"[protein=Glutamine synthetase, glutamate--ammonia ligase]",[locus_tag=Syncc8109_1475],[protein_id=AHF63837.1],[gene=glnA],"[protein=glutamine synthetase, type I]",[evalue=0.00000E+00]
[locus_tag=PMT_0602],[protein_id=CAE20777.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1485],[protein_id=AHF63847.1],[gene=None],[protein=hypothetical protein],[evalue=1.07901E-108],[locus_tag=Syncc8109_1484],[protein_id=AHF63846.1],[gene=None],[protein=hypothetical protein],[evalue=1.83221E-31]
[locus_tag=PMT_0603],[protein_id=CAE20778.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1484],[protein_id=AHF63846.1],[gene=None],[protein=hypothetical protein],[evalue=2.71591E-119],[locus_tag=Syncc8109_1485],[protein_id=AHF63847.1],[gene=None],[protein=hypothetical protein],[evalue=6.91058E-33]
[locus_tag=PMT_0604],[protein_id=CAE20779.1],[gene=psb28],[protein=possible Photosystem II reaction center Psb28 protein],[locus_tag=Syncc8109_1483],[protein_id=AHF63845.1],[gene=psb28],[protein=putative photosystem II reaction center Psb28 protein],[evalue=3.26790E-58]
[locus_tag=PMT_0605],[protein_id=CAE20780.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1482],[protein_id=AHF63844.1],[gene=None],[protein=Rhodanese-like protein],[evalue=1.03617E-168]
[locus_tag=PMT_0606],[protein_id=CAE20781.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1481],[protein_id=AHF63843.1],[gene=None],[protein=hypothetical protein],[evalue=2.11978E-118]
[locus_tag=PMT_0607],[protein_id=CAE20782.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1480],[protein_id=AHF63842.1],[gene=None],[protein=putative anti-sigma regulatory factor (serine/threonine protein kinase)],[evalue=1.04753E-59]
[locus_tag=PMT_0608],[protein_id=CAE20783.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2201],[protein_id=AHF64530.1],[gene=None],[protein=hypothetical protein],[evalue=7.62827E-15],[locus_tag=Syncc8109_1377],[protein_id=AHF63740.1],[gene=None],[protein=hypothetical protein],[evalue=6.67358E-13],[locus_tag=Syncc8109_1224],[protein_id=AHF63594.1],[gene=None],[protein=hypothetical protein],[evalue=5.09268E-11]
