[locus_tag=PMT_0019],[protein_id=CAE20194.1],[gene=pilT1],[protein=homologous to PilT1 protein]
[locus_tag=PMT_0634],[protein_id=CAE20809.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2414],[protein_id=CAX31932.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0636],[protein_id=CAE20811.1],[gene=None],[protein=possible PH domain]
[locus_tag=PMT_0637],[protein_id=CAE20812.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0642],[protein_id=CAE20817.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2415],[protein_id=CAX31933.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2416],[protein_id=CAX31934.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0656],[protein_id=CAE20831.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0659],[protein_id=CAE20834.1],[gene=None],[protein=possible Sodium:sulfate symporter transmembrane]
[locus_tag=PMT_0670],[protein_id=CAE20845.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2419],[protein_id=CAX31937.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2420],[protein_id=CAX31938.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0674],[protein_id=CAE20849.1],[gene=None],[protein=None]
[locus_tag=PMT_2421_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2422],[protein_id=CAX31940.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2424],[protein_id=CAX31942.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2425],[protein_id=CAX31943.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0733],[protein_id=CAE20908.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0734],[protein_id=CAE20909.1],[gene=None],"[protein=possible Arginine repressor, C-terminal domain]"
[locus_tag=PMT_2426],[protein_id=CAX31944.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2427],[protein_id=CAX31945.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0762],[protein_id=CAE20937.1],[gene=None],[protein=possible chloride channel]
[locus_tag=PMT_0768],[protein_id=CAE20943.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0774],[protein_id=CAE20949.1],[gene=None],[protein=Rieske iron-sulfur protein 2Fe-2S subunit]
[locus_tag=PMT_2428],[protein_id=CAX31946.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0784],[protein_id=CAE20959.1],[gene=None],[protein=putative type III sigma factor]
[locus_tag=PMT_2429],[protein_id=CAX31947.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0794],[protein_id=CAE20969.1],[gene=None],[protein=possible Spectrin repeat]
[locus_tag=PMT_2430],[protein_id=CAX31948.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2431],[protein_id=CAX31949.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0800],[protein_id=CAE20975.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2432],[protein_id=CAX31950.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0804],[protein_id=CAE20979.1],[gene=None],[protein=two-component sensor histidine kinase]
[locus_tag=PMT_0806],[protein_id=CAE20981.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0807],[protein_id=CAE20982.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2433],[protein_id=CAX31951.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2434],[protein_id=CAX31952.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2435],[protein_id=CAX31953.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2436],[protein_id=CAX31954.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0826],[protein_id=CAE21001.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0827],[protein_id=CAE21002.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2437],[protein_id=CAX31955.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0828],[protein_id=CAE21003.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0829],[protein_id=CAE21004.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2438_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_0830],[protein_id=CAE21005.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0831],[protein_id=CAE21006.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2439],[protein_id=CAX31957.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0832],[protein_id=CAE21007.1],[gene=None],[protein=possible UBA/TS-N domain]
[locus_tag=PMT_2440],[protein_id=CAX31958.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0833],[protein_id=CAE21008.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0834],[protein_id=CAE21009.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0835],[protein_id=CAE21010.1],[gene=None],[protein=C-type lectin domain]
[locus_tag=PMT_2441],[protein_id=CAX31959.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0836],[protein_id=CAE21011.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2442_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_0838],[protein_id=CAE21013.1],[gene=None],[protein=possible SAP domain]
[locus_tag=PMT_2443],[protein_id=CAX31961.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0839],[protein_id=CAE21014.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2444],[protein_id=CAX31962.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2445],[protein_id=CAX31963.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0841],[protein_id=CAE21016.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2446],[protein_id=CAX31964.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0842],[protein_id=CAE21017.1],[gene=None],[protein=Pyrimidine dimer DNA glycosylase]
[locus_tag=PMT_2447],[protein_id=CAX31965.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2448],[protein_id=CAX31966.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0844],[protein_id=CAE21019.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2449],[protein_id=CAX31967.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0845],[protein_id=CAE21020.1],[gene=None],"[protein=possible Histidine kinase-, DNA gyrase B-, phy]"
[locus_tag=PMT_2450_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_0846],[protein_id=CAE21021.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2451],[protein_id=CAX31969.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0847],[protein_id=CAE21022.1],[gene=None],[protein=possible Photosystem I reaction centre subunit VI]
[locus_tag=PMT_0849],[protein_id=CAE21024.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0850],[protein_id=CAE21025.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2452],[protein_id=CAX31970.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0852],[protein_id=CAE21027.1],[gene=None],[protein=possible HAMP domain]
[locus_tag=PMT_0854],[protein_id=CAE21029.1],[gene=None],"[protein=putative mechanosensitive ion channel, MscS family]"
[locus_tag=PMT_2453],[protein_id=CAX31971.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0855],[protein_id=CAE21030.1],[gene=None],[protein=Isochorismatase hydrolase family]
[locus_tag=PMT_0856],[protein_id=CAE21031.1],[gene=None],[protein=possible large-conductance mechanosensitive channel mscL]
[locus_tag=PMT_0857],[protein_id=CAE21032.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2454],[protein_id=CAX31972.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0860],[protein_id=CAE21035.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0865],[protein_id=CAE21040.1],[gene=None],[protein=RecF protein:ABC transporter]
[locus_tag=PMT_0866],[protein_id=CAE21041.1],[gene=None],[protein=probable DNA repair exonuclease]
[locus_tag=PMT_0867],[protein_id=CAE21042.1],[gene=None],"[protein=product possible regulatory protein, luxR family]"
[locus_tag=PMT_2455],[protein_id=CAX31973.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0870],[protein_id=CAE21045.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2456_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2457],[protein_id=CAX31975.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0872],[protein_id=CAE21047.1],[gene=None],[protein=CDP-alcohol phosphatidyltransferase]
[locus_tag=PMT_0877],[protein_id=CAE21052.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2458],[protein_id=CAX31976.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2459],[protein_id=CAX31977.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2460],[protein_id=CAX31978.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2461],[protein_id=CAX31979.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2462_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_0881],[protein_id=CAE21056.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0882],[protein_id=CAE21057.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0883],[protein_id=CAE21058.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0884],[protein_id=CAE21059.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2463],[protein_id=CAX31981.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0885],[protein_id=CAE21060.1],[gene=None],"[protein=possible Guanylate-binding protein, C-terminal]"
[locus_tag=PMT_2464],[protein_id=CAX31982.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0886],[protein_id=CAE21061.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0887],[protein_id=CAE21062.1],[gene=None],[protein=possible SAP domain]
[locus_tag=PMT_2465],[protein_id=CAX31983.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2466],[protein_id=CAX31984.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0888],[protein_id=CAE21063.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2467_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_0889],[protein_id=CAE21064.1],[gene=None],[protein=possible Fanconi anaemia group C protein]
[locus_tag=PMT_0890],[protein_id=CAE21065.1],[gene=None],[protein=possible Sec7 domain]
[locus_tag=PMT_2468],[protein_id=CAX31986.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0891],[protein_id=CAE21066.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0892],[protein_id=CAE21067.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2469],[protein_id=CAX31987.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0895],[protein_id=CAE21070.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2470_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2471],[protein_id=CAX31989.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2472],[protein_id=CAX31990.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0905],[protein_id=CAE21080.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2473],[protein_id=CAX31991.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2474],[protein_id=CAX31992.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2475],[protein_id=CAX31993.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0906],[protein_id=CAE21081.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2477],[protein_id=CAX31995.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0907],[protein_id=CAE21082.1],[gene=None],[protein=possible Octicosapeptide repeat]
[locus_tag=PMT_2478],[protein_id=CAX31996.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0909],[protein_id=CAE21084.1],[gene=None],[protein=DAACS family symporter for glutamate/aspartate/dicarboxylates]
[locus_tag=PMT_2479_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2480],[protein_id=CAX31998.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2481],[protein_id=CAX31999.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2482],[protein_id=CAX32000.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2483],[protein_id=CAX32001.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0911],[protein_id=CAE21086.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2484_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2485],[protein_id=CAX32003.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2486],[protein_id=CAX32004.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2487],[protein_id=CAX32005.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0912],[protein_id=CAE21087.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0914],[protein_id=CAE21089.1],[gene=None],[protein=possible Kunitz/Bovine pancreatic trypsin inhib]
[locus_tag=PMT_0915],[protein_id=CAE21090.1],[gene=None],[protein=Bacterial outer membrane protein]
[locus_tag=PMT_0916],[protein_id=CAE21091.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2488_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_0917],[protein_id=CAE21092.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2489],[protein_id=CAX32007.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2490],[protein_id=CAX32008.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2492],[protein_id=CAX32010.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2493],[protein_id=CAX32011.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0919],[protein_id=CAE21094.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0920],[protein_id=CAE21095.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMT_0921],[protein_id=CAE21096.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0922],[protein_id=CAE21097.1],[gene=None],[protein=possible SAP domain]
[locus_tag=PMT_2494],[protein_id=CAX32012.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2495],[protein_id=CAX32013.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0923],[protein_id=CAE21098.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2496],[protein_id=CAX32014.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0924],[protein_id=CAE21099.1],[gene=None],[protein=possible Carbamoyl-phosphate synthase L chain]
[locus_tag=PMT_0925],[protein_id=CAE21100.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2497],[protein_id=CAX32015.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2498],[protein_id=CAX32016.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0926],[protein_id=CAE21101.1],[gene=None],[protein=possible (M20568) ORF 11 [Azotobacter vinelandii]
[locus_tag=PMT_0927],[protein_id=CAE21102.1],[gene=None],[protein=possible UBA/TS-N domain]
[locus_tag=PMT_2499],[protein_id=CAX32017.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2500],[protein_id=CAX32018.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2501],[protein_id=CAX32019.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0928],[protein_id=CAE21103.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2502],[protein_id=CAX32020.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0929],[protein_id=CAE21104.1],[gene=None],[protein=Hemolysin-type calcium-binding region:RTX N-terminal domain]
[locus_tag=PMT_2503],[protein_id=CAX32021.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2505],[protein_id=CAX32023.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0930],[protein_id=CAE21105.1],[gene=None],[protein=Domain of unknown function DUF81]
[locus_tag=PMT_0931],[protein_id=CAE21106.1],[gene=None],"[protein=possible SecA protein, amino terminal region]"
[locus_tag=PMT_0932],[protein_id=CAE21107.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMT_0933],[protein_id=CAE21108.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2506],[protein_id=CAX32024.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2507],[protein_id=CAX32025.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0934],[protein_id=CAE21109.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2508],[protein_id=CAX32026.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0935],[protein_id=CAE21110.1],[gene=None],[protein=possible GRAM domain]
[locus_tag=PMT_0936],[protein_id=CAE21111.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0940],[protein_id=None],[gene=None],"[protein=phage integrase family, possible pseudogene]"
[locus_tag=PMT_2509],[protein_id=CAX32028.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0941],[protein_id=CAE21116.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2510],[protein_id=CAX32029.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2511],[protein_id=CAX32030.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2512],[protein_id=CAX32031.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0942],[protein_id=CAE21117.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0943],[protein_id=CAE21118.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0944],[protein_id=CAE21119.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0945],[protein_id=CAE21120.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2513],[protein_id=CAX32032.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0946],[protein_id=CAE21121.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2514],[protein_id=CAX32033.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0947],[protein_id=CAE21122.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2516],[protein_id=CAX32035.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2517],[protein_id=CAX32036.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2518],[protein_id=CAX32037.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0948],[protein_id=CAE21123.1],[gene=None],[protein=possible Thermophilic metalloprotease (M29)]
[locus_tag=PMT_2519],[protein_id=CAX32038.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2520],[protein_id=CAX32039.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2521],[protein_id=CAX32040.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2522],[protein_id=CAX32041.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2523],[protein_id=CAX32042.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0949],[protein_id=CAE21124.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0950],[protein_id=CAE21125.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2524],[protein_id=CAX32043.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0952],[protein_id=CAE21127.1],[gene=None],[protein=possible Hemolysin-type calcium-binding protei]
[locus_tag=PMT_2525],[protein_id=CAX32044.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0953],[protein_id=CAE21128.1],[gene=None],[protein=possible Peptidase family M1]
[locus_tag=PMT_0954],[protein_id=CAE21129.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2526],[protein_id=CAX32045.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0956],[protein_id=CAE21131.1],[gene=None],[protein=possible Kinesin motor domain]
[locus_tag=PMT_0957],[protein_id=CAE21132.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0958],[protein_id=CAE21133.1],[gene=None],[protein=possible Flagella basal body rod protein]
[locus_tag=PMT_2527],[protein_id=CAX32046.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0959],[protein_id=CAE21134.1],[gene=None],[protein=possible Kinesin motor domain]
[locus_tag=PMT_0960],[protein_id=CAE21135.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2528],[protein_id=CAX32047.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0961],[protein_id=CAE21136.1],[gene=None],[protein=possible Flagella basal body rod protein]
[locus_tag=PMT_2529],[protein_id=CAX32048.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0962],[protein_id=CAE21137.1],[gene=None],[protein=possible Kinesin motor domain]
[locus_tag=PMT_0963],[protein_id=CAE21138.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2530],[protein_id=CAX32049.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2531],[protein_id=CAX32050.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2532],[protein_id=CAX32051.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0964],[protein_id=CAE21139.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2533],[protein_id=CAX32052.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0968],[protein_id=CAE21143.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0969],[protein_id=CAE21144.1],[gene=None],[protein=possible Bacterial Cytochrome Ubiquinol Oxidase]
[locus_tag=PMT_2534],[protein_id=CAX32053.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0970],[protein_id=CAE21145.1],[gene=None],[protein=possible Herpesvirus VP23 like capsid protein]
[locus_tag=PMT_2535],[protein_id=CAX32054.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0971],[protein_id=CAE21146.1],[gene=None],[protein=possible bZIP transcription factor]
[locus_tag=PMT_2536],[protein_id=CAX32055.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2537_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_0973],[protein_id=CAE21148.1],[gene=None],[protein=possible Vinculin family]
[locus_tag=PMT_0975],[protein_id=CAE21150.1],[gene=None],[protein=possible Ribosomal protein L36]
[locus_tag=PMT_0976],[protein_id=CAE21151.1],[gene=None],[protein=possible Protein of unknown function DUF42]
[locus_tag=PMT_0979],[protein_id=CAE21154.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0981],[protein_id=CAE21156.1],[gene=None],[protein=possible Pectate lyase]
[locus_tag=PMT_2538],[protein_id=CAX32057.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0982],[protein_id=CAE21157.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0983],[protein_id=CAE21158.1],[gene=None],[protein=possible Kinesin motor domain]
[locus_tag=PMT_2539],[protein_id=CAX32058.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2540],[protein_id=CAX32059.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2541],[protein_id=CAX32060.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2542],[protein_id=CAX32061.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0984],[protein_id=CAE21159.1],[gene=None],"[protein=possible Neurohypophysial hormones, C-terminal]"
[locus_tag=PMT_2543],[protein_id=CAX32062.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0985],[protein_id=CAE21160.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2544],[protein_id=CAX32063.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2545],[protein_id=CAX32064.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2546],[protein_id=CAX32065.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0986],[protein_id=CAE21161.1],[gene=None],[protein=possible bZIP transcription factor]
[locus_tag=PMT_2547],[protein_id=CAX32066.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0987],[protein_id=CAE21162.1],[gene=None],[protein=possible Protein of unknown function DUF131]
[locus_tag=PMT_2548],[protein_id=CAX32067.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0988],[protein_id=CAE21163.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2549],[protein_id=CAX32068.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2550],[protein_id=CAX32069.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2551],[protein_id=CAX32070.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2552_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2553],[protein_id=CAX32072.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0990],[protein_id=CAE21165.1],[gene=hli5],[protein=possible high light inducible protein]
[locus_tag=PMT_0991],[protein_id=CAE21166.1],[gene=None],[protein=hypothetical transmembrane protein]
[locus_tag=PMT_2554],[protein_id=CAX32073.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0992],[protein_id=CAE21167.1],[gene=hli7],[protein=possible high light inducible protein]
[locus_tag=PMT_2555],[protein_id=CAX32074.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0996],[protein_id=CAE21171.1],[gene=None],"[protein=two component sensor histidine kinase fragment, likely pseudogene]"
[locus_tag=PMT_2556_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2557],[protein_id=CAX32076.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_1002],[protein_id=CAE21177.1],[gene=None],[protein=possible BRCA1 C Terminus (BRCT) domain]
[locus_tag=PMT_2558],[protein_id=CAX32077.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2559_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_1004],[protein_id=CAE21179.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_1005],[protein_id=CAE21180.1],[gene=None],[protein=possible Gamma-thionins family]
[locus_tag=PMT_2560],[protein_id=CAX32079.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_1006],[protein_id=CAE21181.1],[gene=None],[protein=possible Cystine-knot domain]
[locus_tag=PMT_1007],[protein_id=CAE21182.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2561],[protein_id=CAX32080.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2562],[protein_id=CAX32081.1],[gene=None],[protein=Conserved hypothetical protein]
