[locus_tag=PMT_0001],[protein_id=CAE20176.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=1.18003E-157]
[locus_tag=PMT_0318],[protein_id=CAE20493.1],[gene=panB],[protein=putative Ketopantoate hydroxymethyltransferase],[locus_tag=PMM1310],[protein_id=CAE19769.1],[gene=panB],[protein=putative Ketopantoate hydroxymethyltransferase],[evalue=1.13444E-108]
[locus_tag=PMT_0319],[protein_id=CAE20494.1],[gene=ftsZ],[protein=None],[locus_tag=PMM1309],[protein_id=CAE19768.1],[gene=ftsZ],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMT_0320],[protein_id=CAE20495.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1308],[protein_id=CAE19767.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.33667E-22]
[locus_tag=PMT_0321],[protein_id=CAE20496.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1307],[protein_id=CAE19766.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.47025E-63]
[locus_tag=PMT_0322],[protein_id=CAE20497.1],[gene=ddlA],[protein=D-alanine--D-alanine ligase],[locus_tag=PMM1306],[protein_id=CAE19765.1],[gene=ddlA],[protein=D-alanine--D-alanine ligase],[evalue=1.13662E-112]
[locus_tag=PMT_0323],[protein_id=CAE20498.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1305],[protein_id=CAE19764.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00],[locus_tag=PMM0102],[protein_id=CAE18561.1],[gene=None],[protein=possible Fe-S oxidoreductase],[evalue=1.03537E-57]
[locus_tag=PMT_0326],[protein_id=CAE20501.1],[gene=codA],[protein=possible cytosine deaminase],[locus_tag=PMM1304],[protein_id=CAE19763.1],[gene=codA],[protein=possible cytosine deaminase],[evalue=1.34823E-122]
[locus_tag=PMT_0327],[protein_id=CAE20502.1],[gene=None],"[protein=FAD linked oxidase, N-terminal]",[locus_tag=PMM1303],[protein_id=CAE19762.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.10129E-162]
[locus_tag=PMT_0329],[protein_id=CAE20504.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1042],[protein_id=CAE19501.1],[gene=None],[protein=conserved hpothetical protein],[evalue=3.53924E-49],[locus_tag=PMM0777],[protein_id=CAE19236.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.03006E-24],[locus_tag=PMM1350],[protein_id=CAE19809.1],[gene=None],[protein=Pentapeptide repeats],[evalue=2.38684E-21]
[locus_tag=PMT_0330],[protein_id=CAE20505.1],[gene=folC],[protein=putuative bifunctional Dihydrofolate/Folylpolyglutamate synthase],[locus_tag=PMM1302],[protein_id=CAE19761.1],[gene=folC],[protein=putuative bifunctional Dihydrofolate/Folylpolyglutamate synthase],[evalue=1.73628E-121]
[locus_tag=PMT_0331],[protein_id=CAE20506.1],[gene=argD],[protein=acetylornithine aminotransferase],[locus_tag=PMM1301],[protein_id=CAE19760.1],[gene=argD],[protein=N-acetylornithine aminotransferase],[evalue=0.00000E+00],[locus_tag=PMM1472],[protein_id=CAE19931.1],[gene=BioA],[protein=putative diaminopelargonic acid synthase],[evalue=1.14380E-26],[locus_tag=PMM0483],[protein_id=CAE18942.1],[gene=None],"[protein=glutamate-1-semialdehyde 2,1-aminomutase]",[evalue=6.80392E-26]
[locus_tag=PMT_0332],[protein_id=CAE20507.1],[gene=None],[protein=UDP-N-glucosamine 1-carboxyvinyltransferase],[locus_tag=PMM1300],[protein_id=CAE19759.1],[gene=None],[protein=UDP-N-glucosamine 1-carboxyvinyltransferase],[evalue=5.30155E-151],[locus_tag=PMM0613],[protein_id=CAE19072.1],[gene=aroA],[protein=None],[evalue=1.77816E-13]
[locus_tag=PMT_0333],[protein_id=CAE20508.1],[gene=None],[protein=possible 4Fe-4S iron sulfur cluster binding pr],[locus_tag=PMM1013],[protein_id=CAE19472.1],[gene=None],[protein=conserved hypothetical],[evalue=1.18473E-20]
[locus_tag=PMT_0334],[protein_id=CAE20509.1],[gene=spoU],[protein=None],[locus_tag=PMM1299],[protein_id=CAE19758.1],[gene=spoU],[protein=None],[evalue=9.78956E-79]
[locus_tag=PMT_0335],[protein_id=CAE20510.1],[gene=lpdA],[protein=putative dihydrolipoamide dehydrogenase],[locus_tag=PMM1298],[protein_id=CAE19757.1],[gene=lpdA],[protein=putative dihydrolipoamide dehydrogenase],[evalue=0.00000E+00],[locus_tag=PMM0567],[protein_id=CAE19026.1],[gene=gshR],[protein=None],[evalue=6.50727E-63]
[locus_tag=PMT_0336],[protein_id=CAE20511.1],[gene=trpC],[protein=Indole-3-glycerol phosphate synthase],[locus_tag=PMM1297],[protein_id=CAE19756.1],[gene=trpC],[protein=Indole-3-glycerol phosphate synthase],[evalue=7.89868E-117]
[locus_tag=PMT_0338],[protein_id=CAE20513.1],[gene=None],[protein=marine cyanobacterial conserved hypothetical],[locus_tag=PMM1296],[protein_id=CAE19755.1],[gene=None],[protein=marine cyanobacterial conserved hypothetical],[evalue=1.19944E-61]
[locus_tag=PMT_0339],[protein_id=CAE20514.1],[gene=None],[protein=putative signal peptidase],[locus_tag=PMM1295],[protein_id=CAE19754.1],[gene=None],[protein=putative signal peptidase],[evalue=2.35586E-18]
[locus_tag=PMT_0340],[protein_id=CAE20515.1],[gene=None],[protein=None],[locus_tag=PMM1294],[protein_id=CAE19753.1],[gene=None],[protein=None],[evalue=2.29786E-77]
[locus_tag=PMT_0341],[protein_id=CAE20516.1],[gene=None],[protein=None],[locus_tag=PMM1293],[protein_id=CAE19752.1],[gene=None],[protein=None],[evalue=1.80426E-70]
[locus_tag=PMT_0343],[protein_id=CAE20518.1],[gene=None],[protein=possible apolipoprotein n-acyltransferase],[locus_tag=PMM1292],[protein_id=CAE19751.1],[gene=None],[protein=possible apolipoprotein n-acyltransferase],[evalue=2.54946E-109]
[locus_tag=PMT_0344],[protein_id=CAE20519.1],[gene=None],[protein=None],[locus_tag=PMM1291],[protein_id=CAE19750.1],[gene=None],[protein=tRNA methyl transferase],[evalue=2.41039E-148]
[locus_tag=PMT_0345],[protein_id=CAE20520.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1290],[protein_id=CAE19749.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.76961E-140]
[locus_tag=PMT_0346],[protein_id=CAE20521.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[locus_tag=PMM1289],[protein_id=CAE19748.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=0.00000E+00],[locus_tag=PMM1697],[protein_id=CAE20156.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=1.29088E-112],[locus_tag=PMM0496],[protein_id=CAE18955.1],[gene=None],[protein=Putative principal RNA polymerase sigma factor],[evalue=1.11254E-77]
[locus_tag=PMT_0347],[protein_id=CAE20522.1],[gene=pdhA],[protein=Pyruvate dehydrogenase E1 alpha subunit],[locus_tag=PMM1288],[protein_id=CAE19747.1],[gene=pdhA],[protein=Pyruvate dehydrogenase E1 alpha subunit],[evalue=0.00000E+00],[locus_tag=PMM1229],[protein_id=CAE19688.1],[gene=None],"[protein=Dehydrogenase, E1 component]",[evalue=1.46125E-41]
[locus_tag=PMT_0348],[protein_id=CAE20523.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1287],[protein_id=CAE19746.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMT_0349],[protein_id=CAE20524.1],[gene=ffh],[protein=None],[locus_tag=PMM1286],[protein_id=CAE19745.1],[gene=ffh],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM0010],[protein_id=CAE18469.1],[gene=ftsY],[protein=signal recognition particle docking protein FtsY],[evalue=1.62184E-25]
[locus_tag=PMT_0350],[protein_id=CAE20525.1],[gene=None],[protein=30S Ribosomal protein S16],[locus_tag=PMM1285],[protein_id=CAE19744.1],[gene=None],[protein=30S Ribosomal protein S16],[evalue=1.72031E-58]
[locus_tag=PMT_0351],[protein_id=CAE20526.1],[gene=None],[protein=PhoH-like phosphate starvation-inducible protein],[locus_tag=PMM1284],[protein_id=CAE19743.1],[gene=None],[protein=PhoH-like phosphate starvation-inducible protein],[evalue=3.88530E-155]
[locus_tag=PMT_0352],[protein_id=CAE20527.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1283],[protein_id=CAE19742.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.14023E-113]
[locus_tag=PMT_0354],[protein_id=CAE20529.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1282],[protein_id=CAE19741.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.23573E-43]
[locus_tag=PMT_0355],[protein_id=CAE20530.1],[gene=None],[protein=GTP-binding protein ERA homolog],[locus_tag=PMM1281],[protein_id=CAE19740.1],[gene=None],[protein=GTP-binding protein ERA homolog],[evalue=3.81564E-126],[locus_tag=PMM0391],[protein_id=CAE18850.1],[gene=None],[protein=None],[evalue=1.36215E-14],[locus_tag=PMM0391],[protein_id=CAE18850.1],[gene=None],[protein=None],[evalue=1.51117E-11]
[locus_tag=PMT_0356],[protein_id=CAE20531.1],[gene=None],[protein=None],[locus_tag=PMM1280],[protein_id=CAE19739.1],[gene=None],[protein=None],[evalue=2.08982E-173]
[locus_tag=PMT_0357],[protein_id=CAE20532.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1279],[protein_id=CAE19738.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.44876E-33]
[locus_tag=PMT_0358],[protein_id=CAE20533.1],[gene=None],[protein=putative circadian phase modifier CpmA homolog],[locus_tag=PMM1278],[protein_id=CAE19737.1],[gene=None],[protein=putative circadian phase modifier CpmA homolog],[evalue=4.50212E-72]
[locus_tag=PMT_0362],[protein_id=CAE20537.1],[gene=None],[protein=DUF170],[locus_tag=PMM1275],[protein_id=CAE19734.1],[gene=None],[protein=DUF170],[evalue=8.27909E-17]
[locus_tag=PMT_0363],[protein_id=CAE20538.1],[gene=thiE],[protein=None],[locus_tag=PMM1274],[protein_id=CAE19733.1],[gene=thiE],[protein=None],[evalue=1.71621E-103]
[locus_tag=PMT_0364],[protein_id=CAE20539.1],[gene=ribF],[protein=putative riboflavin kinase/FAD synthase],[locus_tag=PMM1273],[protein_id=CAE19732.1],[gene=ribF],[protein=putative riboflavin kinase/FAD synthase],[evalue=7.72052E-131]
[locus_tag=PMT_0365],[protein_id=CAE20540.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1272],[protein_id=CAE19731.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.59064E-65]
[locus_tag=PMT_0366],[protein_id=CAE20541.1],[gene=surE],[protein=Survival protein SurE],[locus_tag=PMM1271],[protein_id=CAE19730.1],[gene=surE],[protein=Survival protein SurE],[evalue=7.27389E-141]
[locus_tag=PMT_0367],[protein_id=CAE20542.1],[gene=pheS],"[protein=Phenylalanyl-tRNA synthetase, alpha subunit]",[locus_tag=PMM1270],[protein_id=CAE19729.1],[gene=pheS],[protein=Phenylalanyl-tRNA synthetase alpha chain],[evalue=2.36244E-177]
[locus_tag=PMT_0368],[protein_id=CAE20543.1],[gene=None],[protein=predicted sugar kinase],[locus_tag=PMM1269],[protein_id=CAE19728.1],[gene=None],[protein=predicted sugar kinase],[evalue=0.00000E+00],[locus_tag=PMM0156],[protein_id=CAE18615.1],[gene=None],[protein=None],[evalue=1.10234E-28]
[locus_tag=PMT_0370],[protein_id=CAE20545.1],[gene=cobL],[protein=putative precorrin-6y methylase],[locus_tag=PMM1268],[protein_id=CAE19727.1],[gene=cobL],[protein=putative precorrin-6y methylase],[evalue=5.82119E-107]
[locus_tag=PMT_0371],[protein_id=CAE20546.1],[gene=None],[protein=hypothetical],[locus_tag=PMM1267],[protein_id=CAE19726.1],[gene=None],[protein=conserved hypothetical],[evalue=7.07002E-19]
[locus_tag=PMT_0374],[protein_id=CAE20549.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1266],[protein_id=CAE19725.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.18451E-49]
[locus_tag=PMT_0375],[protein_id=CAE20550.1],[gene=ribD],[protein=None],[locus_tag=PMM1265],[protein_id=CAE19724.1],[gene=ribD],[protein=None],[evalue=5.98864E-132]
[locus_tag=PMT_0377],[protein_id=CAE20552.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1381],[protein_id=CAE19840.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.10209E-60]
[locus_tag=PMT_0378],[protein_id=CAE20553.1],[gene=ftsH3],[protein=cell division protein FtsH3],[locus_tag=PMM1264],[protein_id=CAE19723.1],[gene=ftsH3],[protein=cell division protein FtsH3],[evalue=0.00000E+00],[locus_tag=PMM0226],[protein_id=CAE18685.1],[gene=ftsH2],[protein=cell division protein FtsH2],[evalue=0.00000E+00],[locus_tag=PMM0743],[protein_id=CAE19202.1],[gene=ftsH1],[protein=FtsH ATP-dependent protease homolog],[evalue=2.97625E-168]
[locus_tag=PMT_0379],[protein_id=CAE20554.1],[gene=None],[protein=Ornithine carbamoyltransferase],[locus_tag=PMM1263],[protein_id=CAE19722.1],[gene=None],[protein=ornithine carbamoyltransferase],[evalue=4.67487E-133],[locus_tag=PMM0233],[protein_id=CAE18692.1],[gene=pyrB],[protein=aspartate carbamoyltransferase],[evalue=1.58368E-14]
[locus_tag=PMT_0380],[protein_id=CAE20555.1],[gene=None],"[protein=SOS function regulatory protein, LexA repressor]",[locus_tag=PMM1262],[protein_id=CAE19721.1],[gene=lexA],"[protein=SOS function regulatory protein, LexA repressor]",[evalue=6.09878E-97]
[locus_tag=PMT_0384],[protein_id=CAE20559.1],[gene=None],[protein=Formylmethionine deformylase],[locus_tag=PMM0068],[protein_id=CAE18527.1],[gene=def],[protein=putative formylmethionine deformylase],[evalue=1.58939E-25]
[locus_tag=PMT_0386],[protein_id=CAE20561.1],[gene=dnaQ],"[protein=possible DNA polymerase III, epsilon subunit]",[locus_tag=PMM0621],[protein_id=CAE19080.1],[gene=dnaQ],"[protein=possible DNA polymerase III, epsilon subunit]",[evalue=1.04259E-97]
[locus_tag=PMT_0387],[protein_id=CAE20562.1],[gene=None],[protein=putative bacterioferritin comigratory protein],[locus_tag=PMM0345],[protein_id=CAE18804.1],[gene=None],[protein=putative bacterioferritin comigratory protein],[evalue=2.62869E-62],[locus_tag=PMM0079],[protein_id=CAE18538.1],[gene=bcp],[protein=None],[evalue=7.87201E-31],[locus_tag=PMM0903],[protein_id=CAE19362.1],[gene=None],[protein=Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergens family protein],[evalue=1.44314E-19]
[locus_tag=PMT_0388],[protein_id=CAE20563.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0620],[protein_id=CAE19079.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.96110E-90]
[locus_tag=PMT_0389],[protein_id=CAE20564.1],[gene=acs],[protein=acetyl-coenzyme A synthetase],[locus_tag=PMM0619],[protein_id=CAE19078.1],[gene=acs],[protein=acetyl-coenzyme A synthetase],[evalue=0.00000E+00]
[locus_tag=PMT_0391],[protein_id=CAE20566.1],[gene=None],[protein=unknown],[locus_tag=PMM1380],[protein_id=CAE19839.1],[gene=None],[protein=unknown],[evalue=1.34160E-66]
[locus_tag=PMT_0392],[protein_id=CAE20567.1],[gene=sds],[protein=None],[locus_tag=PMM0618],[protein_id=CAE19077.1],[gene=sds],[protein=None],[evalue=8.31063E-178],[locus_tag=PMM1070],[protein_id=CAE19529.1],[gene=crtE],[protein=Polyprenyl synthetase],[evalue=9.54186E-27]
[locus_tag=PMT_0393],[protein_id=CAE20568.1],[gene=murI],[protein=None],[locus_tag=PMM0617],[protein_id=CAE19076.1],[gene=murI],[protein=None],[evalue=1.69689E-72]
[locus_tag=PMT_0394],[protein_id=CAE20569.1],[gene=None],[protein=Cell wall hydrolase/autolysin],[locus_tag=PMM0616],[protein_id=CAE19075.1],[gene=None],[protein=Cell wall hydrolase/autolysin],[evalue=2.14029E-120]
[locus_tag=PMT_0395],[protein_id=CAE20570.1],[gene=None],[protein=Possible nitrilase],[locus_tag=PMM0615],[protein_id=CAE19074.1],[gene=None],[protein=Possible nitrilase],[evalue=2.33747E-162]
[locus_tag=PMT_0396],[protein_id=CAE20571.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0614],[protein_id=CAE19073.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.78455E-87]
[locus_tag=PMT_0398],[protein_id=CAE20573.1],[gene=aroA],[protein=None],[locus_tag=PMM0613],[protein_id=CAE19072.1],[gene=aroA],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMT_0399],[protein_id=CAE20574.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0612],[protein_id=CAE19071.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.28342E-72]
[locus_tag=PMT_0400],[protein_id=CAE20575.1],[gene=glmU],[protein=UDP-N-acetylglucosamine pyrophosphorylase],[locus_tag=PMM0611],[protein_id=CAE19070.1],[gene=glmU],[protein=UDP-N-acetylglucosamine pyrophosphorylase],[evalue=4.78518E-171]
[locus_tag=PMT_0401],[protein_id=CAE20576.1],[gene=murF],"[protein=UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate--D-alanyl-D-alanyl ligase]",[locus_tag=PMM0610],[protein_id=CAE19069.1],[gene=murF],[protein=Cytoplasmic peptidoglycan synthetase],[evalue=9.87757E-113]
[locus_tag=PMT_0403],[protein_id=CAE20578.1],[gene=None],[protein=Putative ADPglucose--starch glucosyltransferase],[locus_tag=PMM0609],[protein_id=CAE19068.1],[gene=None],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMT_0405],[protein_id=CAE20580.1],[gene=menB],[protein=Naphthoate synthase],[locus_tag=PMM0608],[protein_id=CAE19067.1],[gene=menB],[protein=Napthoate synthase],[evalue=3.77350E-147]
[locus_tag=PMT_0406],[protein_id=CAE20581.1],[gene=menD],[protein=None],[locus_tag=PMM0607],[protein_id=CAE19066.1],[gene=menD],[protein=None],[evalue=8.14309E-138]
[locus_tag=PMT_0407],[protein_id=CAE20582.1],[gene=lepB],[protein=leader peptidase I],[locus_tag=PMM0606],[protein_id=CAE19065.1],[gene=lepB],[protein=leader peptidase I],[evalue=6.79593E-69],[locus_tag=PMM0513],[protein_id=CAE18972.1],[gene=lepB],[protein=Signal peptidase I],[evalue=2.17398E-25]
[locus_tag=PMT_0408],[protein_id=CAE20583.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0605],[protein_id=CAE19064.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.29378E-60]
[locus_tag=PMT_0409],[protein_id=CAE20584.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0604],[protein_id=CAE19063.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.83344E-163]
[locus_tag=PMT_0416],[protein_id=CAE20591.1],[gene=None],"[protein=ABC transporter component, possibly Mn transport]",[locus_tag=PMM0603],[protein_id=CAE19062.1],[gene=None],"[protein=ABC transporter component, possibly Mn transport]",[evalue=1.65069E-133],[locus_tag=PMM1029],[protein_id=CAE19488.1],[gene=None],"[protein=ABC transporter component, possibly Mn transport]",[evalue=4.78257E-14]
[locus_tag=PMT_0417],[protein_id=CAE20592.1],[gene=None],"[protein=ABC transporter, ATP binding domain, possibly Mn transporter]",[locus_tag=PMM0602],[protein_id=CAE19061.1],[gene=None],"[protein=ABC transporter, ATP binding domain, possibly Mn transporter]",[evalue=2.55072E-133],[locus_tag=PMM1031],[protein_id=CAE19490.1],[gene=None],"[protein=ABC transporter, ATP binding domain, possibly Mn transport]",[evalue=2.70961E-31],[locus_tag=PMM0449],[protein_id=CAE18908.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=7.16105E-27]
[locus_tag=PMT_0418],[protein_id=CAE20593.1],[gene=None],[protein=None],[locus_tag=PMM0601],[protein_id=CAE19060.1],[gene=None],"[protein=ABC transporter, substrate binding protein, possibly Mn]",[evalue=4.51654E-109]
[locus_tag=PMT_0419],[protein_id=CAE20594.1],[gene=psbA],[protein=None],[locus_tag=PMM0223],[protein_id=CAE18682.1],[gene=psbA],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM1157],[protein_id=CAE19616.1],[gene=psbD],[protein=None],[evalue=1.92096E-46]
[locus_tag=PMT_0420],[protein_id=CAE20595.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0600],[protein_id=CAE19059.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.60156E-106]
[locus_tag=PMT_0421],[protein_id=CAE20596.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0599],[protein_id=CAE19058.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.24838E-30]
[locus_tag=PMT_0422],[protein_id=CAE20597.1],[gene=trpS],[protein=None],[locus_tag=PMM0598],[protein_id=CAE19057.1],[gene=trpS],[protein=Tryptophanyl-tRNA synthetase],[evalue=5.04981E-175]
[locus_tag=PMT_0424],[protein_id=CAE20599.1],[gene=thrS],[protein=Threonyl-tRNA synthatase],[locus_tag=PMM0597],[protein_id=CAE19056.1],[gene=thrS],[protein=Threonyl-tRNA synthetase],[evalue=0.00000E+00]
[locus_tag=PMT_0425],[protein_id=CAE20600.1],[gene=None],[protein=Putative glucokinase],[locus_tag=PMM0596],[protein_id=CAE19055.1],[gene=None],[protein=Putative glucokinase],[evalue=1.56683E-97]
[locus_tag=PMT_0426],[protein_id=CAE20601.1],[gene=thrB],[protein=None],[locus_tag=PMM0595],[protein_id=CAE19054.1],[gene=thrB],[protein=None],[evalue=4.71536E-172]
[locus_tag=PMT_0427],[protein_id=CAE20602.1],[gene=ndhD],[protein=None],[locus_tag=PMM0594],[protein_id=CAE19053.1],[gene=ndhD],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM0150],[protein_id=CAE18609.1],[gene=ndhD],[protein=None],[evalue=6.91426E-170],[locus_tag=PMM0149],[protein_id=CAE18608.1],[gene=ndhF],[protein=None],[evalue=1.42540E-16]
[locus_tag=PMT_0428],[protein_id=CAE20603.1],[gene=None],[protein=None],[locus_tag=PMM0593],[protein_id=CAE19052.1],[gene=None],[protein=Peptidase family M3],[evalue=0.00000E+00]
[locus_tag=PMT_0434],[protein_id=CAE20609.1],[gene=None],[protein=lipase family protein],[locus_tag=PMM0592],[protein_id=CAE19051.1],[gene=None],[protein=lipase family protein],[evalue=5.57045E-61]
[locus_tag=PMT_0435],[protein_id=CAE20610.1],[gene=folB],[protein=Possible dihydroneopterin aldolase],[locus_tag=PMM0591],[protein_id=CAE19050.1],[gene=folB],[protein=Possible dihydroneopterin aldolase],[evalue=1.62515E-27]
[locus_tag=PMT_0436],[protein_id=CAE20611.1],[gene=proA],[protein=Gamma-glutamyl phosphate reductase],[locus_tag=PMM0590],[protein_id=CAE19049.1],[gene=proA],[protein=Gamma-glutamyl phosphate reductase],[evalue=0.00000E+00]
[locus_tag=PMT_0438],[protein_id=CAE20613.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0589],[protein_id=CAE19048.1],[gene=None],[protein=conserved hypothetical],[evalue=1.40773E-98]
[locus_tag=PMT_0439],[protein_id=CAE20614.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0588],[protein_id=CAE19047.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.37731E-41]
[locus_tag=PMT_0440],[protein_id=CAE20615.1],[gene=None],[protein=conserved hypothetical],[locus_tag=PMM0587],[protein_id=CAE19046.1],[gene=None],[protein=conserved hypothetical],[evalue=9.97647E-21]
[locus_tag=PMT_0441],[protein_id=CAE20616.1],[gene=None],[protein=conserved hypothetical],[locus_tag=PMM0586],[protein_id=CAE19045.1],[gene=None],[protein=conserved hypothetical],[evalue=1.92240E-27]
[locus_tag=PMT_0442],[protein_id=CAE20617.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0585],[protein_id=CAE19044.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMT_0444],[protein_id=CAE20619.1],[gene=glgB],"[protein=1,4-alpha-glucan branching enzyme]",[locus_tag=PMM0584],[protein_id=CAE19043.1],[gene=glgB],"[protein=1,4-alpha-glucan branching enzyme]",[evalue=0.00000E+00],[locus_tag=PMM1322],[protein_id=CAE19781.1],[gene=glgX],[protein=Putative isoamylase],[evalue=1.35848E-12]
[locus_tag=PMT_0445],[protein_id=CAE20620.1],[gene=hemE],[protein=None],[locus_tag=PMM0583],[protein_id=CAE19042.1],[gene=hemE],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMT_0446],[protein_id=CAE20621.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0582],[protein_id=CAE19041.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.51089E-109]
[locus_tag=PMT_0447],[protein_id=CAE20622.1],[gene=petE],[protein=Plastocyanin],[locus_tag=PMM0581],[protein_id=CAE19040.1],[gene=petE],[protein=plastocyanin],[evalue=5.16490E-67]
[locus_tag=PMT_0449],[protein_id=CAE20624.1],[gene=clpB1],"[protein=ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB]",[locus_tag=PMM0580],[protein_id=CAE19039.1],[gene=clpB1],"[protein=ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB]",[evalue=0.00000E+00],[locus_tag=PMM1088],[protein_id=CAE19547.1],[gene=clpC],[protein=ClpC],[evalue=0.00000E+00],[locus_tag=PMM0207],[protein_id=CAE18666.1],[gene=clpB2],"[protein=putative ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB]",[evalue=0.00000E+00]
[locus_tag=PMT_0450],[protein_id=CAE20625.1],[gene=None],[protein=possible Plant thionin],[locus_tag=PMM0579],[protein_id=CAE19038.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.02757E-58]
[locus_tag=PMT_0453],[protein_id=CAE20628.1],[gene=hisI],[protein=Phosphoribosyl-AMP cyclohydrolase],[locus_tag=PMM0578],[protein_id=CAE19037.1],[gene=None],[protein=Phosphoribosyl-AMP cyclohydrolase],[evalue=1.37646E-94]
[locus_tag=PMT_0455],[protein_id=CAE20630.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1368],[protein_id=CAE19827.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.43485E-66]
[locus_tag=PMT_0456],[protein_id=CAE20631.1],[gene=None],[protein=Sigma-70 factor family],[locus_tag=PMM0577],[protein_id=CAE19036.1],[gene=None],"[protein=Putative type II alternative sigma factor, sigma70 family]",[evalue=0.00000E+00],[locus_tag=PMM1289],[protein_id=CAE19748.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=6.31239E-75],[locus_tag=PMM1697],[protein_id=CAE20156.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=1.25100E-69]
[locus_tag=PMT_0457],[protein_id=CAE20632.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0576],[protein_id=CAE19035.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.45551E-45]
[locus_tag=PMT_0458],[protein_id=CAE20633.1],[gene=None],[protein=conserved hypothetical],[locus_tag=PMM0575],[protein_id=CAE19034.1],[gene=None],[protein=conserved hypothetical],[evalue=3.12784E-16]
